layer,filter_prime_q,candidate_count_before,removed_count,candidate_count_after,retention_share_initial,removed_share_initial,removed_share_layer,product_retention_baseline,product_drift_baseline,retention_minus_product_baseline,abs_retention_minus_product_baseline,log_filter_q,loglog_filter_q,log_product_decay,observed_decay,observed_decay_minus_log_product_decay,loglog_fit,theory_slope_1_overlay,residual_log_product_minus_loglog,residual_abs,residual_running_mean
2,3,100000,33332,66668,0.33334166670833354,0.6666583332916665,0.33332,0.33333333333333337,0.6666666666666666,8.333375000169063e-06,8.333375000169063e-06,1.0986122886681098,0.0940478276166991,1.0986122886681096,1.098587288855607,-2.4999812502590757e-05,0.9755050361725434,0.9928476683152048,1.0045644610514104,1.0045644610514104,1.0045644610514104
3,5,66668,13332,53336,0.26668133340666705,0.7333186665933329,0.1999760004799904,0.2666666666666667,0.7333333333333333,1.4666740000335299e-05,1.4666740000335299e-05,1.6094379124341003,0.47588499532711054,1.3217558399823193,1.3217008412197777,-5.499876254155822e-05,1.2869305664660202,1.3746848360256163,0.8458708446552088,0.8458708446552088,0.9252176528533096
4,7,53336,7618,45718,0.22859114295571478,0.7714088570442852,0.1428303584820759,0.22857142857142862,0.7714285714285714,1.9714384286162456e-05,1.9714384286162456e-05,1.9459101490553132,0.6657298105782764,1.4759065198095775,1.4758202730976802,-8.624671189738642e-05,1.4417675683680993,1.5645296512767821,0.8101767092313011,0.8101767092313011,0.8868706716459734
5,11,45718,4155,41563,0.2078160390801954,0.7921839609198046,0.09088324073669014,0.20779220779220783,0.7922077922077921,2.3831287987580163e-05,2.3831287987580163e-05,2.3978952727983707,0.874591382923689,1.5712166996139023,1.5711020181166364,-0.00011468149726590049,1.6121145943415638,1.7733912236221947,0.6966253166902133,0.6966253166902133,0.8393093329070334
6,13,41563,3197,38366,0.19183095915479578,0.8081690408452042,0.07691937540601015,0.19180819180819186,0.8081918081918081,2.2767346603919103e-05,2.2767346603919103e-05,2.5649493574615367,0.9419387347481111,1.6512594072874387,1.6511407158213904,-0.00011869146604825964,1.6670429421541806,1.8407385754466168,0.7093206725393276,0.7093206725393276,0.8133116008334923
7,17,38366,2255,36111,0.1805559027795139,0.8194440972204862,0.05877599958296408,0.18052535699594527,0.8194746430040547,3.054578356861959e-05,3.054578356861959e-05,2.833213344056216,1.0414115247747806,1.7118840291038737,1.7117148384698293,-0.0001691906340444138,1.7481727246988739,1.9402113654732864,0.6704725043290931,0.6704725043290931,0.7895050847494257
8,19,36111,1900,34211,0.1710558552792764,0.8289441447207236,0.052615546509373876,0.17102402241721132,0.8289759775827887,3.1832862065067635e-05,3.1832862065067635e-05,2.9444389791664403,1.0799182995220822,1.7659512503741495,1.7657651367543052,-0.00018611361984421926,1.7795787630829232,1.9787181402205878,0.6860329508520673,0.6860329508520673,0.7747233513355173
9,23,34211,1486,32725,0.16362581812909063,0.8363741818709094,0.04343632165093099,0.16358819535559344,0.8364118046444066,3.762277349719789e-05,3.762277349719789e-05,3.1354942159291497,1.142786806294772,1.8104030129449833,1.8101730547395731,-0.00022995820541016343,1.830854175002207,2.0415866469932777,0.6676162066502114,0.6676162066502114,0.7613349582498541
10,29,32725,1122,31603,0.1580157900789504,0.8419842099210496,0.03428571428571429,0.15794722310195228,0.8420527768980477,6.856697699811343e-05,6.856697699811343e-05,3.367295829986474,1.214109997913178,1.8454943327562534,1.8450603137400137,-0.0004340190162397395,1.8890252087577029,2.112909838611684,0.6313843348430754,0.6313843348430754,0.7468960000935454
11,31,31603,1012,30591,0.1529557647788239,0.8470442352211761,0.03202227636616777,0.15285215138898609,0.8471478486110139,0.00010361338983780333,0.00010361338983780333,3.4339872044851463,1.2337220363428747,1.8782841555792442,1.8776065184853383,-0.0006776370939058918,1.9050207429397932,2.1325218770413805,0.6445621192363695,0.6445621192363695,0.7366626120078278
