p,next_p,gap,log_x,z_gap_over_logx
67481,67489,8,11.119601355755792,0.7194502522214067
67801,67807,6,11.124332223082254,0.5393582176151119
67867,67883,16,11.125305186569689,1.438162794789214
67933,67939,6,11.126277204319269,0.5392639325641441
67993,68023,30,11.127160037682966,2.696105735731556
68087,68099,12,11.128541578173136,1.0783084122663558
68111,68113,2,11.128894006259427,0.17971237742718218
68113,68141,28,11.128923369660887,2.515966645644465
68483,68489,6,11.134340818267278,0.5388733916026938
68581,68597,16,11.135770807421247,1.4368111805369654
68669,68683,14,11.137053139108806,1.2570650265497691
69221,69233,12,11.145059563776691,1.0767102617380357
69473,69481,8,11.148693466862769,0.7175728728911938
69821,69827,6,11.153690103100145,0.5379385606501935
70207,70223,16,11.159203300142398,1.4337941132227452
70327,70351,24,11.16091107234222,2.150362084639689
70381,70393,12,11.16167861935662,1.0751071061291408
70451,70457,6,11.162672711690245,0.537505681208088
70663,70667,4,11.165677376847421,0.3582406928839083
71081,71089,8,11.171575350824662,0.7161031232188266
71597,71633,36,11.17880845262959,3.2203790012639244
71647,71663,16,11.179506562177364,1.431190179191932
71741,71761,20,11.180817690214102,1.788777936832366
71983,71987,4,11.184185259008464,0.35764786681963645
72739,72763,24,11.19463297085231,2.1438844902275296
72893,72901,8,11.196747891438473,0.7144931794094562
73331,73351,20,11.202738717978361,1.785277734622484
73483,73517,34,11.204809365931682,3.0344112862265455
73583,73589,6,11.20616929977651,0.5354193604874112
73643,73651,8,11.206984373246167,0.7138405599188637
73757,73771,14,11.208531184952136,1.2490485835285459
73819,73823,4,11.209371430027863,0.3568442731128285
73847,73849,2,11.20975066425017,0.17841610040251346
74027,74047,20,11.212185170504174,1.7837736084321794
74071,74077,6,11.212779371658742,0.5351037241636549
74509,74521,12,11.218675202440398,1.0696450145369785
74551,74561,10,11.21923873391915,0.8913260727545602
74609,74611,2,11.220016422346655,0.17825285852671702
74759,74761,2,11.222024885343066,0.1782209557040078
74797,74821,24,11.222533056206391,2.1385546275336917
74843,74857,14,11.22314786510039,1.247421861341998
74869,74873,4,11.223495198650959,0.3563952163921977
74873,74887,14,11.223548623875692,1.2473773197024338
74929,74933,4,11.224296277479898,0.35636978044008727
75013,75017,4,11.225416710831293,0.35633421039420654
75149,75161,12,11.227228088372692,1.0688301605297943
75209,75211,2,11.228026183627813,0.1781256979001623
75217,75223,6,11.228132548219142,0.5343720315228769
75377,75389,12,11.23025746767415,1.0685418419427626
75553,75557,4,11.23258967571463,0.35610666066153757
75641,75653,12,11.233753743203248,1.068209280202564
75797,75821,24,11.235813993010828,2.136026817009347
76031,76039,8,11.238896430838867,0.7118136597511899
76249,76253,4,11.24175957962956,0.35581618443861157
77351,77359,8,11.256108784165866,0.7107251851771118
77617,77621,4,11.259541754343456,0.3552542445572413
77699,77711,12,11.260597666260049,1.0656627965632242
77743,77747,4,11.261163793834003,0.355203074320807
78079,78101,22,11.26547641362791,1.9528690303222753
78173,78179,6,11.266679598372296,0.5325437674527306
78487,78497,10,11.27068828496092,0.8872572594651147
78497,78509,12,11.270815686479718,1.0646966762481085
78691,78697,6,11.273284069543339,0.532231775850482
78697,78707,10,11.273360314238015,0.8870469603788155
79043,79063,20,11.277747287167045,1.7734038093545517
79151,79153,2,11.279112699468135,0.1773189126919806
79367,79379,12,11.281837943714027,1.063656476885144
79531,79537,6,11.283902161743626,0.5317309485668972
79843,79847,4,11.287817485429718,0.3543643405966821
80209,80221,12,11.292391007009845,1.0626624593986251
80429,80447,18,11.29513008664912,1.593607144133387
80537,80557,20,11.296471985139561,1.7704642676323967
80863,80897,34,11.300511643669035,3.0087133283958925
81019,81023,4,11.302438974049062,0.3539059143946002
81307,81331,24,11.305987392690444,2.1227690396609233
81373,81401,28,11.306798801635873,2.476386154138424
81533,81547,14,11.308763125251302,1.2379780038667043
81737,81749,12,11.311262054707527,1.0608895755364305
81799,81817,18,11.312020297577238,1.5912276964226422
81839,81847,8,11.312509181587025,0.7071817464706521
81971,81973,2,11.314120805157875,0.17677025324744997
82003,82007,4,11.314511110943016,0.35352831074878116
82039,82051,12,11.314950022936017,1.0605437916805067
82237,82241,4,11.31736060142441,0.3534392992211062
82241,82261,20,11.31740924014814,1.7671889012416953
82373,82387,14,11.319012992299138,1.236856960012756
82531,82549,18,11.320929259319332,1.5899754859065558
82549,82559,10,11.321147335404518,0.8833026992526715
82561,82567,6,11.321292693045136,0.5299748149507612
83233,83243,10,11.329399182785968,0.88265933953445
83341,83357,16,11.330695903944534,1.4120933202725836
83437,83443,6,11.331847135049387,0.5294811982983788
83609,83617,8,11.333906448780748,0.7058466589743737
84179,84181,2,11.340700762947753,0.17635594499895316
84811,84827,16,11.348180530348607,1.409917647786001
85133,85147,14,11.351970018478019,1.2332661183223428
85303,85313,10,11.353964902849597,0.8807495958958107
85361,85363,2,11.354644600996048,0.17613937470350738
85453,85469,16,11.355721796177896,1.408981330045024
85643,85661,18,11.357942772449716,1.5847940389047852
85819,85829,10,11.359995706182126,0.8802820228671377
85991,85999,8,11.36199791859654,0.704101519584522
86441,86453,12,11.367217379272091,1.0556673282136555
86467,86477,10,11.367518117239056,0.8796994996502192
86629,86677,48,11.3693899114723,4.221862419509909
87011,87013,2,11.373789826425874,0.17584288355260427
87083,87103,20,11.374616965834527,1.7583009660961055
87337,87359,22,11.377529477926615,1.933635948180305
87811,87833,22,11.382942056513771,1.9327165060469342
87961,87973,12,11.384648813408075,1.054050959030656
88003,88007,4,11.385126183788353,0.3513355878036493
88177,88211,34,11.387101437013163,2.985834471403304
88471,88493,22,11.390430093680195,1.9314459435738394
88661,88663,2,11.392575387278974,0.17555293092317067
89021,89041,20,11.39662757593744,1.754905112651703
89671,89681,10,11.403902695885694,0.8768927854503533
89689,89753,64,11.404103409534896,5.612015052975583
90067,90071,4,11.408309116795527,0.3506216354280868
90217,90227,10,11.409973158358982,0.8764262510708861
