window_index,midpoint,z_center,empirical_pdf,exp_pdf,delta
7,3573.4255274176344,0.03333333333333333,0.0,0.9697991161959337,-0.9697991161959337
7,3573.4255274176344,0.1,0.0,0.9072538472787854,-0.9072538472787854
7,3573.4255274176344,0.16666666666666669,0.0,0.8487423113261123,-0.8487423113261123
7,3573.4255274176344,0.23333333333333334,2.761506276150628,0.7940043607374581,1.9675019154131699
7,3573.4255274176344,0.3,0.0,0.7427966256154565,-0.7427966256154565
7,3573.4255274176344,0.3666666666666667,0.0,0.694891431721175,-0.694891431721175
7,3573.4255274176344,0.43333333333333335,0.0,0.6500757882137806,-0.6500757882137806
7,3573.4255274176344,0.5,2.0711297071129713,0.6081504406739263,1.4629792664390449
7,3573.4255274176344,0.5666666666666667,0.0,0.5689289852005146,-0.5689289852005146
7,3573.4255274176344,0.6333333333333333,0.0,0.5322370396420313,-0.5322370396420313
7,3573.4255274176344,0.7,2.1338912133891217,0.4979114682776703,1.6359797451114515
7,3573.4255274176344,0.7666666666666666,1.1924686192468603,0.4657996565011093,0.726668962745751
7,3573.4255274176344,0.8333333333333334,0.0,0.4357588322821159,-0.4357588322821159
7,3573.4255274176344,0.9,0.0,0.4076554313891406,-0.4076554313891406
7,3573.4255274176344,0.9666666666666667,0.8158995815899583,0.38136450355061846,0.4345350780393399
7,3573.4255274176344,1.0333333333333332,0.25104602510460255,0.35676915691471883,-0.10572313181011628
7,3573.4255274176344,1.1,0.0,0.3337600383375607,-0.3337600383375607
7,3573.4255274176344,1.1666666666666665,0.690376569037657,0.3122348471892086,0.3781417218484484
7,3573.4255274176344,1.2333333333333334,1.0041841004184102,0.29209788051578434,0.7120862199026259
7,3573.4255274176344,1.2999999999999998,0.0,0.2732596075354472,-0.2732596075354472
7,3573.4255274176344,1.3666666666666667,0.0,0.2556362715764093,-0.2556362715764093
7,3573.4255274176344,1.4333333333333331,0.6276150627615064,0.23914951768717055,0.38846554507433584
7,3573.4255274176344,1.5,0.690376569037657,0.2237260442632904,0.4666505247743666
7,3573.4255274176344,1.5666666666666667,0.0,0.2092972771418011,-0.2092972771418011
7,3573.4255274176344,1.6333333333333333,0.06276150627615064,0.19579906471425323,-0.1330375584381026
7,3573.4255274176344,1.7000000000000002,0.3765690376569038,0.18317139270284163,0.19339764495406217
7,3573.4255274176344,1.7666666666666666,0.25104602510460255,0.17135811733147788,0.07968790777312468
7,3573.4255274176344,1.8333333333333335,0.0,0.16030671570546504,-0.16030671570546504
7,3573.4255274176344,1.9,0.25104602510460255,0.1499680522899403,0.10107797281466224
7,3573.4255274176344,1.9666666666666668,0.3138075313807532,0.14029616044882603,0.17351137093192714
7,3573.4255274176344,2.033333333333333,0.06276150627615085,0.13124803807299337,-0.06848653179684253
7,3573.4255274176344,2.0999999999999996,0.06276150627615043,0.12278345638898103,-0.0600219501128306
7,3573.4255274176344,2.166666666666667,0.43933054393305304,0.1148647810982167,0.32446576283483636
7,3573.4255274176344,2.2333333333333334,0.06276150627615085,0.10745680505150948,-0.04469529877535863
7,3573.4255274176344,2.3,0.0,0.10052659171486797,-0.10052659171486797
7,3573.4255274176344,2.3666666666666667,0.0,0.09404332873068051,-0.09404332873068051
7,3573.4255274176344,2.4333333333333336,0.12552301255230086,0.08797819092317623,0.03754482162912463
7,3573.4255274176344,2.5,0.06276150627615085,0.08230421213907665,-0.019542705862925808
7,3573.4255274176344,2.5666666666666664,0.0,0.0769961653536303,-0.0769961653536303
7,3573.4255274176344,2.6333333333333333,0.1255230125523017,0.07203045050897056,0.05349256204333114
7,3573.4255274176344,2.7,0.1882845188284513,0.06738498958611619,0.1208995292423351
7,3573.4255274176344,2.7666666666666666,0.0,0.06303912844409452,-0.06303912844409452
7,3573.4255274176344,2.833333333333333,0.06276150627615043,0.05897354498975579,0.0037879612863946435
7,3573.4255274176344,2.9,0.06276150627615085,0.05517016326999288,0.007591343006157963
7,3573.4255274176344,2.966666666666667,0.0,0.05161207310441313,-0.05161207310441313
7,3573.4255274176344,3.033333333333333,0.0,0.04828345490114099,-0.04828345490114099
7,3573.4255274176344,3.0999999999999996,0.0,0.0451695093214765,-0.0451695093214765
7,3573.4255274176344,3.166666666666667,0.0,0.042256391480692004,-0.042256391480692004
7,3573.4255274176344,3.2333333333333334,0.06276150627615085,0.039531149392417926,0.02323035688373292
7,3573.4255274176344,3.3,0.0,0.036981666382935374,-0.036981666382935374
7,3573.4255274176344,3.3666666666666667,0.0,0.034596607219344995,-0.034596607219344995
7,3573.4255274176344,3.4333333333333336,0.06276150627615043,0.03236536771209253,0.0303961385640579
7,3573.4255274176344,3.5,0.06276150627615085,0.030278027567779357,0.03248347870837149
7,3573.4255274176344,3.5666666666666664,0.06276150627615043,0.028325306282637477,0.03443619999351295
7,3573.4255274176344,3.6333333333333333,0.0,0.02649852188056732,-0.02649852188056732
7,3573.4255274176344,3.7,0.0,0.024789552312283886,-0.024789552312283886
7,3573.4255274176344,3.7666666666666666,0.0,0.02319079934394827,-0.02319079934394827
7,3573.4255274176344,3.833333333333333,0.0,0.02169515477473027,-0.02169515477473027
7,3573.4255274176344,3.9,0.0,0.020295968833102217,-0.020295968833102217
7,3573.4255274176344,3.966666666666667,0.0,0.018987020611351133,-0.018987020611351133
7,3573.4255274176344,4.033333333333333,0.0,0.017762490406858282,-0.017762490406858282
7,3573.4255274176344,4.1,0.0,0.016616933847173034,-0.016616933847173034
7,3573.4255274176344,4.166666666666666,0.0,0.015545257683838685,-0.015545257683838685
7,3573.4255274176344,4.233333333333333,0.0,0.01454269714734751,-0.01454269714734751
7,3573.4255274176344,4.3,0.0,0.013604794762542978,-0.013604794762542978
7,3573.4255274176344,4.366666666666667,0.0,0.012727380530280517,-0.012727380530280517
7,3573.4255274176344,4.433333333333334,0.0,0.011906553387232842,-0.011906553387232842
7,3573.4255274176344,4.5,0.0,0.011138663861408195,-0.011138663861408195
7,3573.4255274176344,4.566666666666666,0.0,0.01042029784626662,-0.01042029784626662
7,3573.4255274176344,4.633333333333333,0.0,0.009748261421292348,-0.009748261421292348
7,3573.4255274176344,4.7,0.0,0.009119566651533231,-0.009119566651533231
7,3573.4255274176344,4.766666666666667,0.0,0.00853141830297074,-0.00853141830297074
7,3573.4255274176344,4.833333333333333,0.0,0.00798120141465572,-0.00798120141465572
7,3573.4255274176344,4.9,0.0,0.00746646967235465,-0.00746646967235465
7,3573.4255274176344,4.966666666666667,0.0,0.0069849345320145105,-0.0069849345320145105
7,3573.4255274176344,5.033333333333333,0.0,0.006534455044688131,-0.006534455044688131
7,3573.4255274176344,5.1,0.0,0.006113028337680839,-0.006113028337680839
7,3573.4255274176344,5.166666666666666,0.0,0.005718780709596645,-0.005718780709596645
7,3573.4255274176344,5.233333333333333,0.0,0.005349959299691729,-0.005349959299691729
7,3573.4255274176344,5.3,0.0,0.005004924294496477,-0.005004924294496477
7,3573.4255274176344,5.366666666666667,0.0,0.004682141637055892,-0.004682141637055892
7,3573.4255274176344,5.433333333333334,0.0,0.004380176206373162,-0.004380176206373162
7,3573.4255274176344,5.5,0.0,0.0040976854367313865,-0.0040976854367313865
7,3573.4255274176344,5.566666666666666,0.0,0.003833413348524548,-0.003833413348524548
7,3573.4255274176344,5.633333333333333,0.0,0.003586184964058159,-0.003586184964058159
7,3573.4255274176344,5.7,0.0,0.0033549010834917664,-0.0033549010834917664
7,3573.4255274176344,5.766666666666667,0.0,0.003138533397696691,-0.003138533397696691
7,3573.4255274176344,5.833333333333333,0.0,0.0029361199163002714,-0.0029361199163002714
7,3573.4255274176344,5.9,0.0,0.002746760690589351,-0.002746760690589351
7,3573.4255274176344,5.966666666666667,0.0,0.0025696138122566084,-0.0025696138122566084
8,6195.053268536115,0.03333333333333333,0.0,0.9697991161959337,-0.9697991161959337
8,6195.053268536115,0.1,0.0,0.9072538472787854,-0.9072538472787854
8,6195.053268536115,0.16666666666666669,0.0,0.8487423113261123,-0.8487423113261123
8,6195.053268536115,0.23333333333333334,2.164948453608248,0.7940043607374581,1.37094409287079
8,6195.053268536115,0.3,0.0,0.7427966256154565,-0.7427966256154565
8,6195.053268536115,0.3666666666666667,0.0,0.694891431721175,-0.694891431721175
8,6195.053268536115,0.43333333333333335,1.7783505154639179,0.6500757882137806,1.1282747272501372
8,6195.053268536115,0.5,0.425257731958763,0.6081504406739263,-0.18289270871516333
8,6195.053268536115,0.5666666666666667,0.0,0.5689289852005146,-0.5689289852005146
8,6195.053268536115,0.6333333333333333,0.077319587628866,0.5322370396420313,-0.4549174520131653
8,6195.053268536115,0.7,3.6340206185567014,0.4979114682776703,3.1361091502790313
8,6195.053268536115,0.7666666666666666,0.0,0.4657996565011093,-0.4657996565011093
8,6195.053268536115,0.8333333333333334,0.0,0.4357588322821159,-0.4357588322821159
8,6195.053268536115,0.9,1.043814432989691,0.4076554313891406,0.6361590016005504
8,6195.053268536115,0.9666666666666667,0.19329896907216498,0.38136450355061846,-0.18806553447845348
8,6195.053268536115,1.0333333333333332,0.0,0.35676915691471883,-0.35676915691471883
8,6195.053268536115,1.1,0.46391752577319595,0.3337600383375607,0.13015748743563527
8,6195.053268536115,1.1666666666666665,1.043814432989691,0.3122348471892086,0.7315795858004824
8,6195.053268536115,1.2333333333333334,0.0,0.29209788051578434,-0.29209788051578434
8,6195.053268536115,1.2999999999999998,0.0,0.2732596075354472,-0.2732596075354472
8,6195.053268536115,1.3666666666666667,0.9278350515463919,0.2556362715764093,0.6721987799699827
