window_index,x_lo,x_hi,x_mid,n_states_in_window,rank90,rank95,delta_frobenius
5,621,1525,973.1520949985156,127,3,4,0.4791984311901621
6,1525,3741,2388.519415872519,281,4,5,0.30441024512580367
7,3741,9178,5859.598791726273,615,5,6,0.23983448688771555
8,9178,22515,14375.071130258799,1380,5,5,0.20995171376834376
9,22515,55232,35263.982758616476,3095,4,4,0.1486191732900866
10,55232,135487,86505.59510228226,7010,3,4,0.10212585599496084
11,135487,332360,212203.8155170637,15971,4,4,0.08301782969197732
12,332360,815303,520551.73141581233,36478,4,4,0.06898302229367541
13,815303,1999993,1276949.6046747498,83861,4,5,0.0655752162875659
