residue,stationary_pi,uniform,delta_from_uniform
1,0.12448931045557726,0.125,-0.0005106895444227377
7,0.12505333431960905,0.125,5.333431960904966e-05
11,0.12521273294168928,0.125,0.00021273294168927537
13,0.12525300560743102,0.125,0.00025300560743102274
17,0.12517414072375616,0.125,0.0001741407237561554
19,0.12484514328639916,0.125,-0.00015485671360083997
23,0.1248989005992056,0.125,-0.00010109940079440494
29,0.12507343206633245,0.125,7.34320663324517e-05
