metric,alpha,C,slope,intercept,r2,n_fit
residual_l1,0.5595883895547173,4.006210797944137,-0.5595883895547173,1.3878458564144152,0.709406233404231,12
residual_l2,0.5454195893744537,3.4712468784185124,-0.5454195893744537,1.2445138603712047,0.6304044963641834,12
js_divergence,0.8068664358793425,1.595536981175194,-0.8068664358793425,0.4672103448913589,0.6758019906864263,12
