window,midpoint,count,mean_gap,mean_expected,mean_residual,mae,rmse,relative_drift,model
0,12599.475,2745,9.11111111111111,9.038815006268027,0.07229610484308548,5.037524603314309,6.62997106684454,0.5573213523919899,log_baseline
1,37596.425,2373,10.530973451327434,10.511989749635958,0.018983701691474956,6.034839677733123,8.212158859153504,0.5740910923112454,log_baseline
2,62593.375,2258,11.075287865367581,11.036421255449609,0.038866609917973166,6.369831110385597,8.260102651042754,0.5771645502603733,log_baseline
3,87590.32500000001,2197,11.376422394173874,11.376423653834761,-1.2596608877872996e-06,6.7365701691887905,8.842822927029047,0.5921518373586614,log_baseline
4,112587.275,2141,11.67211583372256,11.629313718365509,0.042802115357051064,6.887424242412261,9.259066224480907,0.5922468349559912,log_baseline
5,137584.225,2116,11.810018903591683,11.83032541668287,-0.020306513091186782,6.837703327843876,8.994274425511668,0.5779810011144321,log_baseline
6,162581.175,2068,12.088007736943908,11.997583016907736,0.09042472003617015,7.11236330995891,9.67523146894121,0.5928163447534164,log_baseline
7,187578.125,2069,12.086031899468342,12.141041422534652,-0.055009523066309414,7.2624521377268145,9.749662732289243,0.5981737385597893,log_baseline
8,212575.075,2032,12.298228346456693,12.266477418934143,0.03175092752255065,7.261163757412398,9.903584696242287,0.5919518301321207,log_baseline
9,237572.02500000002,2029,12.319369147363233,12.377951395556561,-0.058582248193326775,7.237722007976473,9.546770041338709,0.5847269694866205,log_baseline
10,262568.975,1991,12.561526870919137,12.478142352439303,0.08338451847983287,7.467485572909595,9.898235247661978,0.5984452943390092,log_baseline
11,287565.92500000005,1957,12.769545222278998,12.568458072729388,0.20108714954961096,7.764455124312185,10.520425123741422,0.6177730855592569,log_baseline
12,312562.875,2012,12.420477137176938,12.652304570034145,-0.2318274328572048,7.535813498174834,9.962324933906226,0.5956079745363335,log_baseline
13,337559.825,1968,12.715447154471544,12.729273895789627,-0.013826741318081048,7.580887790350533,10.047080771957049,0.5955475428066648,log_baseline
14,362556.775,1928,12.952282157676349,12.800530409730332,0.1517517479460178,7.792912406353384,10.773932425687484,0.6087960542970623,log_baseline
15,387553.725,1955,12.791815856777493,12.867509151991134,-0.07569329521364193,7.609622162158439,10.07201532493178,0.5913826889317515,log_baseline
16,412550.67500000005,1918,13.02919708029197,12.93034096884273,0.09885611144924329,7.8409192574612705,10.477509250069334,0.6063969447019955,log_baseline
17,437547.625,1928,12.971991701244812,12.988640260502072,-0.016648559257257913,7.879918176420808,10.354276356540703,0.6066776828351556,log_baseline
18,462544.575,1910,13.080628272251309,13.0445665911745,0.036061681076810105,7.633990709385834,10.107008632267277,0.5852237907659368,log_baseline
19,487541.525,1920,13.015625,13.097023401692441,-0.08139840169244224,7.7329438547140334,10.25501424862407,0.5904352170367777,log_baseline
20,512538.47500000003,1906,13.117523609653725,13.147168847952985,-0.029645238299260673,7.822128954030626,10.425604018139335,0.594966798136812,log_baseline
21,537535.425,1879,13.30814262905801,13.194575678047928,0.11356695101008177,8.240560428097702,11.144630154667613,0.624541525939912,log_baseline
22,562532.375,1880,13.28936170212766,13.240150508304914,0.049211193822745886,8.179783138735411,10.913809051549059,0.6178013711856692,log_baseline
23,587529.325,1894,13.204857444561775,13.283463306552424,-0.07860586199064902,8.050015852292578,10.469736794932409,0.6060178483966371,log_baseline
24,612526.275,1888,13.236228813559322,13.325204797950082,-0.0889759843907601,8.125300286219227,10.947345001972668,0.6097692612926447,log_baseline
25,637523.2250000001,1846,13.556879739978331,13.365553961081932,0.19132577889639912,8.377143904030534,11.23650201303361,0.6267711707590465,log_baseline
