window_index,window_midpoint,mode,singular_value,energy_share,cumulative_energy
1,315.8987179461164,1,0.7908000641285273,0.5745323644865423,0.5745323644865423
1,315.8987179461164,2,0.6040829244239353,0.3352541990388787,0.909786563525421
1,315.8987179461164,3,0.2730832119747146,0.0685127044840553,0.9782992680094763
1,315.8987179461164,4,0.15117513637950428,0.020996255295294967,0.9992955233047712
1,315.8987179461164,5,0.027691262853345295,0.000704476695228538,0.9999999999999998
1,315.8987179461164,6,1.1081255919236168e-13,1.1281298130904804e-26,0.9999999999999998
1,315.8987179461164,7,1.9326701689187838e-17,3.4315994789709167e-34,0.9999999999999998
1,315.8987179461164,8,0.0,0.0,0.9999999999999998
2,676.2987505533335,1,0.4191306233637743,0.5594502400563209,0.5594502400563209
2,676.2987505533335,2,0.27605791935083307,0.24269626833132824,0.8021465083876491
2,676.2987505533335,3,0.22577566863022233,0.16233678927741058,0.9644832976650597
2,676.2987505533335,4,0.10449087428782554,0.034771177975842005,0.9992544756409016
2,676.2987505533335,5,0.01530028709656508,0.0007455243590979513,0.9999999999999996
2,676.2987505533335,6,2.9276520972694896e-14,2.7296163541812608e-27,0.9999999999999996
2,676.2987505533335,7,1.0157798255770608e-17,3.285956758562682e-34,0.9999999999999996
2,676.2987505533335,8,0.0,0.0,0.9999999999999996
3,1448.7235761179563,1,0.5524725370199149,0.5683100599396148,0.5683100599396148
3,1448.7235761179563,2,0.3415632978534853,0.2172232719700342,0.785533331909649
3,1448.7235761179563,3,0.23939657387475766,0.10670869686138346,0.8922420287710324
3,1448.7235761179563,4,0.21829441009466052,0.08872564893815313,0.9809676777091856
3,1448.7235761179563,5,0.09014044963945786,0.015128762149089918,0.9960964398582755
3,1448.7235761179563,6,0.044238539671039946,0.003643892192398294,0.9997403320506737
3,1448.7235761179563,7,0.01180938269728041,0.00025966794932614584,0.9999999999999999
3,1448.7235761179563,8,4.565330850256342e-14,3.8806856766248804e-27,0.9999999999999999
4,3101.702758163651,1,0.2767170240650764,0.5022778589321544,0.5022778589321544
4,3101.702758163651,2,0.22043954637023186,0.31875080828269176,0.8210286672148461
4,3101.702758163651,3,0.11495333825742525,0.08667931147911953,0.9077079786939657
4,3101.702758163651,4,0.10200293831266338,0.06824921209621038,0.9759571907901761
4,3101.702758163651,5,0.05828592047758373,0.02228433077825964,0.9982415215684357
4,3101.702758163651,6,0.016373155416427424,0.0017584784315645074,1.0000000000000002
4,3101.702758163651,7,2.1461279790145367e-14,3.0212280654089465e-27,1.0000000000000002
4,3101.702758163651,8,1.953985384947464e-18,2.504464612050044e-35,1.0000000000000002
5,6639.437626787378,1,0.2624817537563011,0.702815822568397,0.702815822568397
5,6639.437626787378,2,0.12389013361580296,0.15657295017923276,0.8593887727476298
5,6639.437626787378,3,0.08561165005962147,0.07476684027604613,0.9341556130236759
5,6639.437626787378,4,0.07065307119307082,0.05092199168248594,0.9850776047061618
5,6639.437626787378,5,0.037620237416813064,0.014437312468290348,0.9995149171744522
5,6639.437626787378,6,0.006895826138639079,0.0004850828255479795,1.0000000000000002
5,6639.437626787378,7,1.1339901430725292e-14,1.3117825554540654e-27,1.0000000000000002
5,6639.437626787378,8,5.218610264196556e-19,2.7781329170775393e-36,1.0000000000000002
6,14212.079439687916,1,0.2407810941378465,0.604032356432849,0.604032356432849
6,14212.079439687916,2,0.14520692091021878,0.21967977182139914,0.8237121282542481
6,14212.079439687916,3,0.08604422764173685,0.07713632024966671,0.9008484485039148
6,14212.079439687916,4,0.07882056320976379,0.06472834509795773,0.9655767936018725
6,14212.079439687916,5,0.04618236139697814,0.022221210173212377,0.9877980037750849
6,14212.079439687916,6,0.028484701645165058,0.008453543385458232,0.9962515471605431
6,14212.079439687916,7,0.018967858780890894,0.003748452839456885,1.0
6,14212.079439687916,8,6.30107608356528e-15,4.136612912607122e-28,1.0
7,30421.289321789107,1,0.19578172217718573,0.5617897453304244,0.5617897453304244
7,30421.289321789107,2,0.14165444773885225,0.2940965630775907,0.855886308408015
7,30421.289321789107,3,0.062543749382705,0.05733203328721995,0.913218341695235
7,30421.289321789107,4,0.0492333907221097,0.035526220935059465,0.9487445626302944
7,30421.289321789107,5,0.043906663871716115,0.02825468032408132,0.9769992429543757
7,30421.289321789107,6,0.03961306417686288,0.022998864457849395,0.9999981074122251
7,30421.289321789107,7,0.00035934636485074643,1.8925877748671453e-06,0.9999999999999999
7,30421.289321789107,8,2.2532447038188155e-15,7.44125584265748e-29,0.9999999999999999
8,65117.752326074646,1,0.14510404698634136,0.622875715923793,0.622875715923793
8,65117.752326074646,2,0.07828543141349587,0.1813026898416211,0.8041784057654141
8,65117.752326074646,3,0.05559256157253446,0.09142726336341885,0.895605669128833
8,65117.752326074646,4,0.04325336882204461,0.055345488614567014,0.9509511577434
8,65117.752326074646,5,0.03219789904768161,0.030668844797500656,0.9816200025409006
8,65117.752326074646,6,0.023959052681741946,0.016981718361433373,0.998601720902334
8,65117.752326074646,7,0.006875048374402084,0.0013982790976659275,0.9999999999999999
8,65117.752326074646,8,1.7436891172934418e-15,8.994571181401023e-29,0.9999999999999999
9,139385.88338852683,1,0.08619019245996475,0.500772395260934,0.500772395260934
9,139385.88338852683,2,0.068375208599516,0.3151534083245486,0.8159258035854826
9,139385.88338852683,3,0.04285591680014438,0.12380730216986435,0.939733105755347
9,139385.88338852683,4,0.022043753254030844,0.03275636954062801,0.972489475295975
9,139385.88338852683,5,0.018728276485172946,0.023643964801573956,0.9961334400975489
