q_max,fit_count,slope,intercept,r2,slope_gap_to_1
13,5,0.6393261242207624,1.0334808386731709,0.993430438592467,0.3606738757792376
17,6,0.6465991366852387,1.03061896561548,0.9947881966749486,0.3534008633147613
19,7,0.6632669355495883,1.0235942243138587,0.9930605582344026,0.33673306445041173
23,8,0.6745797722684985,1.0182668129302626,0.9928711603490353,0.3254202277315015
29,9,0.6775022591605463,1.0167341375964858,0.9938901260213471,0.3224977408394537
31,10,0.6851388245857738,1.0126113987829632,0.9938076363615547,0.3148611754142262
37,11,0.6888012396432569,1.0104822336674515,0.994330067674567,0.3111987603567431
41,12,0.6927467046577306,1.0080963491342292,0.994637368697906,0.3072532953422694
43,13,0.6987595101407993,1.0043910027473373,0.9943206252628601,0.3012404898592007
47,14,0.7044604826599389,1.0007491652021006,0.9939979489182509,0.2955395173400611
53,15,0.7086155928893785,0.9979715502702724,0.9940280811585779,0.2913844071106215
59,16,0.7116994209631101,0.995832018898782,0.9942066336159702,0.2883005790368899
61,17,0.7158531413286259,0.9929168762376196,0.9940559177881448,0.2841468586713741
67,18,0.7191905994834181,0.9904978796750672,0.9940663108804354,0.2808094005165819
71,19,0.7225893612283008,0.987986525129493,0.9940053929555202,0.27741063877169925
73,20,0.7266048738137834,0.9849912848950094,0.9936972887076603,0.27339512618621664
79,21,0.7300433100165672,0.9823570993000403,0.9935437510871147,0.2699566899834328
83,22,0.7334757867640043,0.9796845573672597,0.9933496888953998,0.26652421323599573
89,23,0.7364820725382628,0.9772910548069123,0.993255301670473,0.2635179274617372
97,24,0.738770983064567,0.9754209162531247,0.9933174846314108,0.261229016935433
101,25,0.7411411429455587,0.9734615055122303,0.9933278013805147,0.25885885705444134
103,26,0.7438684654816017,0.9711936349960263,0.993205143033187,0.2561315345183983
107,27,0.7466111013482235,0.9688865143906336,0.993049691181933,0.2533888986517765
109,28,0.7496060698997267,0.9663526943296448,0.9927717015562751,0.25039393010027333
113,29,0.7525810851549545,0.963807211424894,0.9924772975208273,0.24741891484504552
127,30,0.7544874435143488,0.9621200055228323,0.9925200321336599,0.24551255648565118
131,31,0.7564477674930847,0.9603704638494092,0.9925271233862785,0.24355223250691527
137,32,0.7582723045665796,0.9587224394448762,0.9925497524755271,0.24172769543342043
139,33,0.7603080458508555,0.9568764383310665,0.9924938208579334,0.23969195414914446
149,34,0.7619096243007477,0.9553971463074892,0.992539179236827,0.2380903756992523
151,35,0.763704841237093,0.9537332333183693,0.9925177173571341,0.23629515876290696
157,36,0.7653996312575122,0.9521462714670671,0.9925092988094115,0.2346003687424878
163,37,0.767004831843568,0.950628579802693,0.9925110183676158,0.23299516815643195
167,38,0.7686461371868998,0.9490670523303372,0.992489213133611,0.23135386281310022
173,39,0.7702082534956998,0.9475673746532093,0.99247717215073,0.22979174650430023
179,40,0.7716988811597726,0.9461239542763037,0.9924729188816768,0.2283011188402274
181,41,0.773317830392157,0.9445518439669348,0.9924194630638761,0.22668216960784304
191,42,0.7746849312658505,0.9432062619428524,0.9924279685882297,0.22531506873414953
193,43,0.7761707250736183,0.9417400756145967,0.9923928537157725,0.22382927492638172
197,44,0.7776797676487469,0.9402432457791919,0.9923406728613111,0.2223202323512531
199,45,0.7792852857549015,0.9386466152267464,0.9922461935875163,0.22071471424509848
211,46,0.7806108125664962,0.9373090164861955,0.9922329512250827,0.21938918743350377
223,47,0.7816812325685096,0.9362146975568072,0.9922758878040403,0.21831876743149037
227,48,0.7827868344764457,0.9350797825098512,0.9923028194848694,0.2172131655235543
229,49,0.7839865267274291,0.9338457588437091,0.9922980627795663,0.21601347327257092
233,50,0.7852104544889433,0.9325816360259576,0.9922791481525781,0.21478954551105667
239,51,0.7863983489804389,0.9313473341405069,0.9922636001666174,0.21360165101956108
241,52,0.7876620312082269,0.9300316800121734,0.992218252288407,0.21233796879177314
251,53,0.7887850828401916,0.9288511814416074,0.9922087104775649,0.21121491715980845
257,54,0.789878793981833,0.9276952432061919,0.9922011718435135,0.21012120601816697
263,55,0.7909450303843055,0.9265623713549718,0.9921953090545909,0.20905496961569447
269,56,0.791985498515428,0.9254511912380617,0.9921908395112369,0.208014501484572
271,57,0.7930900586510908,0.9242695622147394,0.9921623021898363,0.20690994134890917
277,58,0.7941684182636387,0.9231101350729358,0.9921363843911524,0.2058315817363613
281,59,0.7952627555659866,0.9219296457472359,0.9921003416532196,0.20473724443401342
283,60,0.7964104065142739,0.9206896039499518,0.9920415523264459,0.20358959348572614
293,61,0.7974565552335008,0.9195501470510228,0.992011320165999,0.20254344476649921
307,62,0.7983346650651711,0.9185837844003392,0.9920237217102564,0.20166533493482885
311,63,0.7992320265850738,0.9175934633240725,0.9920267350872088,0.20076797341492625
313,64,0.8001807108062732,0.9165450320914514,0.9920111577319707,0.19981928919372682
317,65,0.8011441099726448,0.915477341455853,0.9919869847637165,0.19885589002735515
331,66,0.8019632299392726,0.9145610016246558,0.9919988339952593,0.1980367700607274
337,67,0.8027693557291002,0.9136557652647678,0.9920101042401785,0.19723064427089976
347,68,0.8035040427664354,0.9128256999402411,0.9920347444693638,0.1964959572335646
349,69,0.804286013235592,0.9119411558032959,0.9920445516863481,0.195713986764408
353,70,0.8050842730206997,0.9110360188408195,0.9920467108924285,0.19491572697930026
