window_index,left,right,midpoint,transition_count,operator_l1_drift,mean_transition_entropy,min_transition_entropy,max_transition_entropy
7,1525,3741,2388.519415872519,281,0.061381654420119086,0.6523572775412697,0.6008651056149629,0.7109886152619755
8,3741,9178,5859.598791726273,615,0.04388866677312192,0.7361510615981601,0.6488656593340647,0.8015685329056672
9,9178,22515,14375.071130258799,1380,0.03417636745507434,0.7765575695014425,0.7442443680325289,0.8176431172718022
10,22515,55231,35263.66352210161,3095,0.021670020874131495,0.8228306784538847,0.786279139362954,0.8589382418797566
11,55231,135487,86504.81198754205,7010,0.015065668045896454,0.8482828756076415,0.8341292578437598,0.8585955592496435
12,135487,332358,212203.1770403073,15971,0.007692188094797103,0.8710800367132159,0.8615221749056634,0.8845380532092816
13,332358,815297,520548.2497578875,36478,0.0031566988321038237,0.8916345008687548,0.8848112219232243,0.8970567402803068
14,815297,1999979,1276940.436654349,83860,0.004294970553820894,0.9032675317174887,0.892086089000635,0.9104299103270203
