label_type,label,count,mean_z,std_z,median_z,q90_z,q95_z,residual_l1,residual_l2,positive_residual_mass,negative_residual_mass,js_divergence,tail_prob_z_gt_1,tail_prob_z_gt_2,tail_prob_z_gt_3,tail_prob_z_gt_4,tail_prob_z_gt_5,window_index,left,right,midpoint,anchor_mod30
anchor_mod30_by_window,11,50,0.9086131478679927,0.8552142713731625,0.6878277977382755,2.0494608628608932,3.2372665015246382,1.5646040733101678,1.6838070357764328,0.782302036655084,-0.7823020366550842,0.4235545251550781,0.2,0.12,0.08,0.0,0.0,8,4705,8157,6195.053268536115,11
anchor_mod30_by_window,17,50,0.9002615531755357,0.7623609041069702,0.6824524606308338,1.7158206351275318,2.5377028511045374,1.6328960408473532,1.7483523436769526,0.8164480204236768,-0.8164480204236769,0.4478305358346579,0.32,0.1,0.02,0.0,0.0,8,4705,8157,6195.053268536115,17
anchor_mod30_by_window,23,50,1.2579182324399238,0.6911084206905036,0.9173659640975679,2.269961968813255,2.672725757073104,1.6920360921987008,1.7220807867812307,0.8460180460993505,-0.8460180460993505,0.4776549561119782,0.38,0.2,0.02,0.0,0.0,8,4705,8157,6195.053268536115,23
anchor_mod30_by_window,1,78,1.1743453746815335,0.5787557361474981,1.0749957072921488,1.9127461895978732,2.343542551409792,1.6826762758319258,1.6713593500910564,0.8413381379159631,-0.8413381379159631,0.4687396935836202,0.6410256410256411,0.0641025641025641,0.02564102564102564,0.0,0.0,9,8157,14142,10740.404740976943,1
anchor_mod30_by_window,7,81,0.968564519697669,0.7465274056161485,0.6411873723886793,1.7650366218661924,2.3966259415497277,1.592278438893255,1.7359287237577388,0.7961392194466276,-0.7961392194466276,0.43416777777273624,0.38271604938271603,0.09876543209876543,0.024691358024691357,0.0,0.0,9,8157,14142,10740.404740976943,7
anchor_mod30_by_window,11,81,0.7666991107325719,0.6292520491734752,0.6510118680188198,1.3153985144548186,1.9053524235213986,1.6080935949345143,1.6544179524251272,0.8040467974672573,-0.8040467974672576,0.43644331578234363,0.2222222222222222,0.037037037037037035,0.012345679012345678,0.0,0.0,9,8157,14142,10740.404740976943,11
anchor_mod30_by_window,13,80,1.0113054224570135,0.895996222912811,0.6394073234804927,2.000490500562163,3.3150050599864715,1.633752906924531,1.8056148655385487,0.8168764534622656,-0.8168764534622656,0.45717889775000176,0.3375,0.1,0.0875,0.0,0.0,9,8157,14142,10740.404740976943,13
anchor_mod30_by_window,17,79,0.982267412732373,0.8076841350881503,0.6457414978738181,2.1411673168481467,2.190865432535919,1.6046805079972228,1.624233055445436,0.8023402539986115,-0.8023402539986118,0.4382171739503182,0.4177215189873418,0.189873417721519,0.02531645569620253,0.0,0.0,9,8157,14142,10740.404740976943,17
anchor_mod30_by_window,19,81,1.199473205411439,0.8070008463230618,1.0752584503115599,2.4062059118094656,2.9478502070965127,1.6456312119272967,1.649656714015496,0.8228156059636484,-0.8228156059636484,0.45607264085678734,0.6296296296296297,0.18518518518518517,0.04938271604938271,0.0,0.0,9,8157,14142,10740.404740976943,19
anchor_mod30_by_window,23,80,1.0971687456794599,0.6044434836920861,0.8449745470773755,2.1487126284987665,2.209682668655159,1.6747335412982938,1.9305392385308835,0.837366770649147,-0.837366770649147,0.4729675542095204,0.325,0.1125,0.0,0.0,0.0,9,8157,14142,10740.404740976943,23
anchor_mod30_by_window,29,80,0.842182173693509,0.612146452226435,0.8527953920212249,1.4867942939464984,1.5658865804283577,1.6018075591164311,1.690099487287179,0.8009037795582157,-0.8009037795582157,0.44009391872214393,0.3125,0.0375,0.0125,0.0,0.0,9,8157,14142,10740.404740976943,29
anchor_mod30_by_window,1,136,1.1868289408434025,0.6237577238110724,1.0255134695053503,1.849261510939735,2.2581479629160284,1.498598534436201,1.350967510726738,0.7492992672181007,-0.7492992672181007,0.39567812659841967,0.6029411764705882,0.07352941176470588,0.022058823529411766,0.007352941176470588,0.0,10,14142,24516,18620.02341566734,1
anchor_mod30_by_window,7,124,0.8894198702847315,0.6528134688099149,0.6078062786195445,2.0246762466305617,2.271033572258936,1.427797996153963,1.387293705098755,0.7138989980769817,-0.7138989980769819,0.3696622280626266,0.3790322580645161,0.10483870967741936,0.016129032258064516,0.0,0.0,10,14142,24516,18620.02341566734,7
anchor_mod30_by_window,11,133,0.6888708175666707,0.586406073865028,0.6022435658753015,1.2461552546349923,1.8378425924415016,1.4274147516775466,1.3854801160652344,0.7137073758387735,-0.7137073758387735,0.365998723918746,0.21804511278195488,0.03759398496240601,0.007518796992481203,0.0,0.0,10,14142,24516,18620.02341566734,11
anchor_mod30_by_window,13,134,1.1574640537586909,0.9480427039459486,0.6134813724786324,2.871282124501465,3.064792808394008,1.406250055627086,1.211441120469127,0.7031250278135431,-0.7031250278135431,0.3586077916647058,0.41044776119402987,0.16417910447761194,0.07462686567164178,0.007462686567164179,0.0,10,14142,24516,18620.02341566734,13
anchor_mod30_by_window,17,138,0.8565909731213932,0.7780823506345881,0.6122865948118941,1.9974901881370217,2.631080563843922,1.3827717589645854,1.3401411312678853,0.6913858794822929,-0.691385879482293,0.3554140801194192,0.3695652173913043,0.10144927536231885,0.036231884057971016,0.0,0.0,10,14142,24516,18620.02341566734,17
anchor_mod30_by_window,19,134,1.0727289717565915,0.7523244166445804,1.0218072114534738,1.8563641698540694,2.323547488377419,1.5149232382710123,1.4308014862295697,0.7574616191355062,-0.7574616191355062,0.40711468877200474,0.5746268656716418,0.08955223880597014,0.014925373134328358,0.014925373134328358,0.007462686567164179,10,14142,24516,18620.02341566734,19
anchor_mod30_by_window,23,127,1.1816109684268565,0.7295152302882293,0.8196412704829211,2.0165289930663293,2.544104249822477,1.5247269539086026,1.4150365066553479,0.7623634769543013,-0.7623634769543014,0.4105545356134367,0.4015748031496063,0.10236220472440945,0.023622047244094488,0.007874015748031496,0.0,10,14142,24516,18620.02341566734,23
anchor_mod30_by_window,29,130,0.9408559948774055,0.5969530311214428,0.8241138589607024,1.792072936960808,1.8681220297021663,1.418126940274434,1.2395200248008171,0.7090634701372172,-0.7090634701372174,0.3675874397832042,0.46153846153846156,0.046153846153846156,0.007692307692307693,0.0,0.0,10,14142,24516,18620.02341566734,29
anchor_mod30_by_window,1,205,1.1883265619060381,0.7229505162305304,0.9804714600545834,2.1067478660005445,2.6530346833311524,1.6027668102665242,1.591802149611141,0.8013834051332622,-0.8013834051332623,0.4409985709279617,0.48292682926829267,0.1073170731707317,0.02926829268292683,0.00975609756097561,0.004878048780487805,11,24516,42501,32279.32025306605,1
anchor_mod30_by_window,7,225,0.9629942727949515,0.7621327649862297,0.5847350759037593,2.083320657015643,2.3265933770949982,1.5425728408894421,1.5156707374941365,0.771286420444721,-0.7712864204447214,0.4108633551678029,0.31555555555555553,0.10666666666666667,0.022222222222222223,0.008888888888888889,0.0044444444444444444,11,24516,42501,32279.32025306605,7
