mode,residue_mod30,current_state_vector_U,two_step_state_vector_V
1,1,0.09446973950827581,0.08785705094869223
1,7,-0.046287838822902896,-0.041594192098414556
1,11,0.015030979729755343,0.014451003722522174
1,13,-0.008894600349050971,0.004127912151825258
1,17,-0.06450578922763779,-0.06527051001933144
1,19,-0.11544366716762718,-0.11367606234643007
1,23,0.15800049216173376,0.1638941832315758
1,29,-0.03191098576981252,-0.04978938559043987
2,1,0.06340843670636555,-0.07798604368915253
2,7,-0.07507598180994124,0.03753641496993057
2,11,-0.050182765496675844,0.09981730126323428
2,13,-0.06358747481833718,0.006153718622027349
2,17,0.01193809501504043,0.07266805836278745
2,19,0.04595701544852917,-0.0894636231275398
2,23,0.04470535629275415,-0.06305174575891917
2,29,0.02290529624794124,0.014325919357632055
3,1,0.03707657708798265,0.024402850152096325
3,7,0.04016519259232312,0.07086560489623506
3,11,-0.077202841375883,-0.05660238341718783
3,13,0.08046801367826148,0.08915820224774254
3,17,-0.1632998022234324,-0.15801841406336517
3,19,0.09508457740104273,0.06502409092776698
3,23,0.02868643997420406,0.00774502152921866
3,29,-0.04037045653525037,-0.04257497227250544
4,1,0.0873499161841371,0.05572660793255471
4,7,0.006299839785877618,0.10728345876207743
4,11,-0.0541890136402606,-0.08565716820910174
4,13,-0.06883175854561882,0.11478992814944103
4,17,-0.027052034903451545,-0.07061567935181774
4,19,0.025213525966535116,0.021685316199400534
4,23,-0.023594613821224367,0.02790872626993278
4,29,0.054410626264149324,-0.17112118975249407
