scenario,kind,delta_precision_local_minus_density,delta_recovery_local_minus_density,delta_f1_local_minus_density,delta_density_drift_local_minus_density,delta_gap_drift_local_minus_density,density_gap_drift,local_gap_drift
mixed_keep_75_noise_25,mixed,0.0,0.0,0.0,-0.030503935985199918,-0.00463676709916383,0.5871031353818527,0.5824663682826888
mixed_keep_50_noise_50,mixed,0.0,-5.560498220635868e-05,-2.8056989074154437e-05,-0.012035976866582102,-0.004083541356317277,0.5875041106033829,0.5834205692470656
mixed_keep_25_noise_100,mixed,0.0,-0.00011120996441271735,-5.611241098146813e-05,-0.01127357457223625,-0.003950578722699993,0.5881068929798254,0.5841563142571254
biased_low_missing_high_noise,biased_range,0.0,0.0,0.0,-0.01479075323348077,-0.002333650816218835,0.5874881505532256,0.5851544997370067
adversarial_mod6_noise_50,adversarial_mod6,0.0,-5.560498220635868e-05,-2.8056989074154437e-05,-0.032998491539536726,-0.00420606672596735,0.5873771343679304,0.583171067641963
adversarial_mod6_noise_100,adversarial_mod6,0.0,-0.00011120996441271735,-5.611241098146813e-05,-0.03745948350302253,-0.004239225606056496,0.5876542191933819,0.5834149935873254
