name,two_step_l2_residual,js_empirical_vs_markov,top_singular_value,rank90,rank95,entropy_rate_bits,mi_lag2_bits,mi_shuffle_lag2_bits,mi_excess_over_shuffle_bits,rank4_relative_error,rank4_improvement,sample
iid_shuffle,0.01766524458508494,5.605721849598253e-05,0.011256277753577888,4,5,2.9996781354322217,0.0002243409067513904,0.0001329787182098809,9.13621885415095e-05,0.2941211792814835,0.7058788207185165,0
iid_shuffle,0.01887262822482675,6.427094825163212e-05,0.011107264193845875,4,5,2.999759132634928,0.00025691772162283604,0.00021399115831020361,4.292656331263242e-05,0.28281917968975834,0.7171808203102417,1
iid_shuffle,0.015795037620134036,4.5121270083116506e-05,0.01017032926649413,5,5,2.9997679743214256,0.00018031353687956173,0.00024332405045053774,-6.301051357097601e-05,0.32110961290588297,0.678890387094117,2
iid_shuffle,0.018415170391791427,6.0981470991633354e-05,0.012838716905638266,4,4,2.9998504985457792,0.00024472607935270736,0.00017964463298732273,6.508144636538463e-05,0.18477729302156237,0.8152227069784377,3
iid_shuffle,0.01665711826625429,5.004702015128658e-05,0.011607678532394142,4,5,2.9997214404141412,0.00020008928721276047,0.0002544206767423252,-5.433138952956474e-05,0.2876929697514878,0.7123070302485122,4
iid_shuffle,0.017336569517277044,5.4226737132762645e-05,0.01133242299124379,5,6,2.9997536592993317,0.00021605134038614075,0.0002808775874982433,-6.482624711210257e-05,0.32617874980386674,0.6738212501961333,5
iid_shuffle,0.018520523322245245,6.191416386930383e-05,0.013209476529505824,4,4,2.9997699176384116,0.0002473045482451752,0.00023908627879098835,8.218269454186877e-06,0.2008464019194091,0.7991535980805908,6
iid_shuffle,0.01829120914683494,6.0205369817722795e-05,0.01294246713071287,4,5,2.9997801998889297,0.00024140312143207984,0.00025241318589356985,-1.101006446149001e-05,0.282145851265566,0.717854148734434,7
iid_shuffle,0.01629898536958876,4.7896444296382905e-05,0.009281496591922829,5,5,2.9997950065397183,0.00019083325823282695,0.00024722270770233116,-5.638944946950421e-05,0.3346104101704059,0.6653895898295941,8
iid_shuffle,0.019503636721517982,6.872753105884684e-05,0.014425604742449716,4,5,2.9997847481548146,0.0002743587916123538,0.0002841814148558438,-9.822623243490008e-06,0.2343061102693487,0.7656938897306513,9
iid_shuffle,0.015984833990401497,4.614725761820753e-05,0.010783775694991879,4,5,2.9998158398199797,0.00018436164802227193,0.000198781508394759,-1.4419860372487066e-05,0.22740865666140309,0.7725913433385969,10
iid_shuffle,0.01796788423160297,5.804504479825189e-05,0.010834947423535682,4,5,2.9997551944396124,0.00023362653321574013,0.00021715105114667707,1.647548206906306e-05,0.2344438615916708,0.7655561384083291,11
iid_shuffle,0.015891252721605215,4.553552562031397e-05,0.009785343454136695,5,5,2.9997648736922375,0.00018185478804995972,0.00024209216905630065,-6.023738100634094e-05,0.33459228314316936,0.6654077168568306,12
iid_shuffle,0.016756299245320596,5.061308447322709e-05,0.01200955644240651,4,5,2.999834029688409,0.00020297726103506562,0.0002760225362591638,-7.30452752240982e-05,0.23803150650045457,0.7619684934995454,13
iid_shuffle,0.0185624061261493,6.210972653916398e-05,0.011811863608901312,4,5,2.9998012748616927,0.000248670965253943,0.0001701381290524782,7.853283620146481e-05,0.26077548362646924,0.7392245163735307,14
iid_shuffle,0.017159774619334312,5.295880186219441e-05,0.01135090948990604,3,4,2.9998172461037345,0.00021219829978061163,0.00020705111383104678,5.147185949564852e-06,0.15850940918719944,0.8414905908128005,15
iid_shuffle,0.016663508209527323,5.0021139804161236e-05,0.010533616674417321,4,4,2.9996963416494333,0.00020032990910923696,0.0002764636454007901,-7.613373629155316e-05,0.21734735043417747,0.7826526495658226,16
iid_shuffle,0.016915604037776227,5.17787700492702e-05,0.010474298075344765,4,5,2.9997527295454898,0.00020675062027824314,0.00018562194231258166,2.112867796566148e-05,0.2515105284444782,0.7484894715555218,17
iid_shuffle,0.019432321577349317,6.822493187855075e-05,0.012076823939480797,4,4,2.9997763521045058,0.0002733147900570178,0.0002539423786508203,1.9372411406197497e-05,0.204502123125671,0.795497876874329,18
iid_shuffle,0.01802579908016826,5.867201558968437e-05,0.011190534901333912,4,5,2.9997148288205056,0.00023420610995330694,0.000219153760598486,1.5052349354820942e-05,0.29903972503381276,0.7009602749661872,19
iid_shuffle,0.019576741115654567,6.912409157464703e-05,0.013461889996124387,4,5,2.999803904338086,0.00027701975479018005,0.00021185108799127905,6.5168666798901e-05,0.2789786842741382,0.7210213157258618,20
iid_shuffle,0.019355870331550135,6.761223070143101e-05,0.01238715108703947,4,5,2.999770600998707,0.0002699114042935426,0.00024133116485129205,2.858023944225056e-05,0.2247302904914745,0.7752697095085255,21
iid_shuffle,0.019211702240490073,6.641375409272292e-05,0.012373154818703921,4,4,2.9997173103646277,0.0002661877377306775,0.0003205479835466247,-5.4360245815947175e-05,0.22188284757322446,0.7781171524267756,22
iid_shuffle,0.020652235137210255,7.685000644304621e-05,0.013030460114953901,4,5,2.999780962911507,0.00030744981258449254,0.000260487530016199,4.696228256829353e-05,0.2972651773511775,0.7027348226488225,23
iid_shuffle,0.017552564070516752,5.549614713516042e-05,0.011390651702709201,3,4,2.9997596694610973,0.0002211883102923871,0.00018762722960294478,3.356108068944231e-05,0.1353501762156364,0.8646498237843636,24
iid_shuffle,0.022655228349721782,9.26250971530812e-05,0.013127737691285706,5,5,2.9998265180544963,0.0003697884683568902,0.00018368659349943288,0.0001861018748574573,0.32166843590463884,0.6783315640953611,25
iid_shuffle,0.01663485652601362,4.977842890175922e-05,0.010924837263903819,4,5,2.9997104958365313,0.00019923648338829753,0.0001989104594000073,3.260239882902326e-07,0.2899005929807861,0.7100994070192139,26
iid_shuffle,0.021453429417300617,8.236359580417993e-05,0.013337890944407549,5,5,2.999761794705206,0.0003312295751442201,0.00023544020092692978,9.578937421729033e-05,0.33009870043079076,0.6699012995692093,27
iid_shuffle,0.018997458988225198,6.487089170578736e-05,0.011378945556769477,4,4,2.999751399170814,0.000259702539513559,0.0001688886348549404,9.08139046586186e-05,0.22156063095275025,0.7784393690472498,28
iid_shuffle,0.01734793407377874,5.429431391467321e-05,0.011520662225396822,4,4,2.9997339825704197,0.00021652743980519427,0.0001824463215298962,3.408111827529807e-05,0.16808284190605546,0.8319171580939445,29
iid_shuffle,0.019340366331297272,6.74138493459157e-05,0.01268829405038915,4,5,2.9997505329030245,0.00026993477558995857,0.00024557734110246363,2.4357434487494944e-05,0.23131270584007863,0.7686872941599214,30
iid_shuffle,0.017104033336516455,5.2390902383319975e-05,0.010608622634238665,4,5,2.999835253577345,0.00021022733735169576,0.00024546156646552313,-3.5234229113827365e-05,0.2521473576771208,0.7478526423228792,31
iid_shuffle,0.018502562557439105,6.200381216788508e-05,0.012009288845814156,4,5,2.999722253301214,0.00024738753426699366,0.00021696876114992485,3.041877311706881e-05,0.24028285364701746,0.7597171463529826,32
iid_shuffle,0.018170588103251166,5.964477990358965e-05,0.011789875778168212,4,5,2.9997476553762854,0.00023772796988928848,0.0002233554545275373,1.4372515361751176e-05,0.3046002493378717,0.6953997506621283,33
iid_shuffle,0.017769102274328374,5.667177012109596e-05,0.010607206265134464,4,5,2.9998069019308,0.00022708329422730685,0.00020407157924979207,2.3011714977514775e-05,0.23270131956102874,0.7672986804389712,34
iid_shuffle,0.014586598503397576,3.8481585684156474e-05,0.008637127434112645,4,5,2.999720475127898,0.00015387055738317804,0.00018653101380478368,-3.2660456421605645e-05,0.297972476516765,0.7020275234832349,35
iid_shuffle,0.01781518983089975,5.712251252556961e-05,0.010846385755072387,4,4,2.999820521471569,0.00022869732720444066,0.0002630047636935812,-3.4307436489140536e-05,0.22335170887260425,0.7766482911273958,36
iid_shuffle,0.017862345974426087,5.752114596379298e-05,0.011011186261100175,4,5,2.9997552986654252,0.00023023771307627722,0.00020353316987059653,2.6704543205680693e-05,0.24956611792325445,0.7504338820767456,37
iid_shuffle,0.01698353684396633,5.1980103188362234e-05,0.010856503764497073,4,4,2.999738031972098,0.0002067846187609097,0.0002680046666261633,-6.12200478652536e-05,0.2218167822094759,0.7781832177905241,38
iid_shuffle,0.020085054150920365,7.299230264551083e-05,0.011718636045948024,4,4,2.9997475872134043,0.0002914066804289902,0.00019796526718634367,9.344141324264652e-05,0.2166103753173185,0.7833896246826815,39
iid_shuffle,0.01885836712499717,6.424778486594478e-05,0.011992407800967483,4,4,2.9997217831086225,0.000257041617995719,0.00016528657220599467,9.175504578972434e-05,0.1605632038789119,0.8394367961210881,40
iid_shuffle,0.015142066515885668,4.132546157784877e-05,0.01022287858888206,4,5,2.9997452245954412,0.0001655044658435222,0.00016879576349904593,-3.2912976555237296e-06,0.29219010177475246,0.7078098982252475,41
iid_shuffle,0.01998725891453242,7.207630892611157e-05,0.013906374085115044,4,5,2.9997489556684727,0.0002876643771342927,0.000272352019392606,1.5312357741686662e-05,0.23435660830350113,0.7656433916964989,42
iid_shuffle,0.020573342303388493,7.652010767054794e-05,0.01339223373231005,4,5,2.999716057818708,0.00030658970696792237,0.00019282768211226675,0.00011376202485565562,0.2834103176531796,0.7165896823468204,43
iid_shuffle,0.016938412907387426,5.1564811273293115e-05,0.01111201403728151,3,4,2.9998053798343385,0.0002066201847578912,0.00021594949188090482,-9.32930712301363e-06,0.177826559149092,0.822173440850908,44
iid_shuffle,0.018602916340631197,6.243255050530593e-05,0.01201504049365213,3,4,2.999809138146854,0.0002493157806290748,0.00023250213554511375,1.6813645083961037e-05,0.13061533195206912,0.8693846680479309,45
iid_shuffle,0.016384847161610396,4.8522796510416936e-05,0.00952283555649979,5,5,2.9998229809149723,0.00019359584940213228,0.0001428394275313788,5.075642187075347e-05,0.31898441042298237,0.6810155895770176,46
iid_shuffle,0.017879456116881326,5.751912723521851e-05,0.012121199786742882,4,5,2.999701793497773,0.000229609804432353,0.00021642687322580284,1.3182931206550167e-05,0.22533565123409624,0.7746643487659037,47
iid_shuffle,0.01933689274379172,6.739179631108847e-05,0.01258892842617161,4,5,2.999669376905901,0.00026902579360491377,0.00018862200107369503,8.040379253121873e-05,0.26434197965193296,0.735658020348067,48
iid_shuffle,0.018185682560152044,5.9855248349433854e-05,0.011914587889087828,4,4,2.9997707867857324,0.0002389686206901699,0.00020069743541426053,3.8271185275909374e-05,0.18528954371283385,0.8147104562871661,49
iid_shuffle,0.017887742229138453,5.808328545488298e-05,0.012528917780255465,3,4,2.9997899571979736,0.0002323362298961038,0.00033000010052106727,-9.766387062496348e-05,0.16614748976613605,0.833852510233864,50
iid_shuffle,0.016409140442851734,4.872887272055202e-05,0.009379784350966197,5,6,2.9997753925701005,0.00019461573267523453,0.00021219487260456054,-1.757913992932601e-05,0.3479569380489371,0.6520430619510629,51
iid_shuffle,0.020273518190704908,7.423145632339964e-05,0.01330405830894619,4,5,2.9997872145472093,0.0002964262623282,0.0003145628188376781,-1.8136556509478125e-05,0.3026722338945993,0.6973277661054007,52
iid_shuffle,0.017070382649710173,5.2456299837393995e-05,0.009888730537877595,4,5,2.9997342417036705,0.0002097700029195553,0.00021808840190667332,-8.318398987118027e-06,0.2454271798274955,0.7545728201725045,53
iid_shuffle,0.0207857560609735,7.770264080364883e-05,0.012275869703166005,4,5,2.999811633827477,0.00031144787691280367,0.00019376305449121445,0.00011768482242158923,0.24907511350225656,0.7509248864977435,54
iid_shuffle,0.01575637992546182,4.472908110114209e-05,0.010558389075460469,4,4,2.9998035685120117,0.0001790382273983951,0.00022108370109192883,-4.204547369353372e-05,0.21058550105543067,0.7894144989445693,55
iid_shuffle,0.02277956555812325,9.363432542884539e-05,0.014753473274099515,4,4,2.999844368512538,0.0003749292134507812,0.0002694855620938891,0.00010544365135689213,0.20089470761091055,0.7991052923890894,56
iid_shuffle,0.017431718838094797,5.469197482271003e-05,0.010032939667721657,4,5,2.9997659262595624,0.00021912864685580405,0.00036258229509331276,-0.0001434536482375087,0.2977080830718189,0.7022919169281812,57
iid_shuffle,0.019765129538735143,7.071724769429702e-05,0.013712750271256317,4,5,2.9997346073420617,0.00028327272160327127,0.00020193492203784085,8.133779956543042e-05,0.23316636348337488,0.7668336365166251,58
iid_shuffle,0.019899503541535628,7.160769585648149e-05,0.012245212659377426,4,5,2.999815839133681,0.0002866788840382984,0.00022240353948850943,6.427534454978899e-05,0.27963776480468006,0.7203622351953199,59
iid_shuffle,0.01961025766699249,6.956977487822033e-05,0.012105248505402053,4,5,2.999788790532679,0.0002774762892143707,0.00024762725755567063,2.9849031658700054e-05,0.2463947617548328,0.7536052382451672,60
iid_shuffle,0.019729767276696918,7.047513881573009e-05,0.01242408093605008,4,4,2.9997434477429885,0.0002814006709894594,0.0003117071086407372,-3.0306437651277758e-05,0.17284366408135265,0.8271563359186473,61
iid_shuffle,0.019226752394154764,6.678840981263184e-05,0.012969163517962881,4,5,2.999702266335714,0.0002675882195226748,0.0002352088129609376,3.237940656173721e-05,0.24370209022332445,0.7562979097766755,62
iid_shuffle,0.018197110837466654,5.9748348946617516e-05,0.011780749998689517,4,4,2.9997572129727796,0.00023899676840903725,0.0002509745963272468,-1.1977827918209559e-05,0.17209262288032798,0.827907377119672,63
iid_shuffle,0.01969696075374232,6.963476977041218e-05,0.013363990260223954,4,5,2.9997849847623845,0.0002787142860033035,0.00019977703961771739,7.893724638558612e-05,0.256408163935562,0.743591836064438,64
iid_shuffle,0.02066921566705047,7.707413615398601e-05,0.01591538485088736,3,4,2.9997309342991967,0.00030953725077377493,0.0002805659782600062,2.8971272513768744e-05,0.17008232635570264,0.8299176736442974,65
iid_shuffle,0.019258823900235124,6.670366010338378e-05,0.01264284837034918,3,4,2.999814555312195,0.0002666258750928535,0.00018677347107193577,7.985240402091771e-05,0.17729863661428202,0.822701363385718,66
iid_shuffle,0.015873980305838992,4.55266920630474e-05,0.0109117688617549,4,5,2.999802735145503,0.00018187056749018437,0.00026757035212215637,-8.5699784631972e-05,0.22407660996281545,0.7759233900371846,67
iid_shuffle,0.017402349439532065,5.459698653063903e-05,0.011619512496047429,4,4,2.999714765238622,0.0002183285930191024,0.00025833611754822556,-4.000752452912315e-05,0.21507524043469378,0.7849247595653062,68
iid_shuffle,0.018145180476234743,5.9125615502936e-05,0.01113685960668799,4,5,2.9997779494969974,0.00023688937260602915,0.0002697743960565108,-3.288502345048165e-05,0.3068171140925891,0.693182885907411,69
iid_shuffle,0.01725282610390576,5.380169691843814e-05,0.011327270665152074,4,5,2.9997705953385068,0.00021465479926405226,0.000202476386552608,1.2178412711444261e-05,0.2590871907962323,0.7409128092037677,70
iid_shuffle,0.018482167412657596,6.143448472751677e-05,0.012093372676964545,4,4,2.9997015703773915,0.0002464140094157819,0.0003161621669825975,-6.974815756681562e-05,0.2152740167949299,0.7847259832050701,71
iid_shuffle,0.020421260304500317,7.549948052202479e-05,0.01300893601587251,4,5,2.9997327435483165,0.0003018682221020747,0.0001915241288415373,0.00011034409326053738,0.2914431196059788,0.7085568803940212,72
iid_shuffle,0.02074144894802273,7.764817396231234e-05,0.013275142458877072,4,5,2.999679864881177,0.00030996786689014644,0.00021067529472300613,9.929257216714031e-05,0.24022641408671305,0.7597735859132869,73
iid_shuffle,0.017214191963926304,5.34069310822395e-05,0.010169593710460782,4,4,2.999810836106768,0.0002132502600499596,0.00024615116214526803,-3.290090209530843e-05,0.22041400277308298,0.779585997226917,74
iid_shuffle,0.0211303509262146,8.036162181741517e-05,0.01294528809758893,4,4,2.999776151294362,0.00032172025397468357,0.00016754063587608699,0.00015417961809859659,0.15611511350887725,0.8438848864911228,75
iid_shuffle,0.02033715711858741,7.43782869101956e-05,0.012869785814470758,4,5,2.99979905105354,0.0002978265292452308,0.00019578544610378227,0.00010204108314144854,0.27879067790921247,0.7212093220907876,76
iid_shuffle,0.017289681926565766,5.3895772205820756e-05,0.011655800707172806,4,4,2.999666653648265,0.00021529094269490608,0.0002638042023362895,-4.851325964138343e-05,0.20243590603064496,0.797564093969355,77
iid_shuffle,0.015877737836192875,4.532563240325061e-05,0.01048061406892737,4,5,2.999854486039823,0.00018160539326845864,0.00016156478722692514,2.0040606041533504e-05,0.24006483626984598,0.759935163730154,78
iid_shuffle,0.017773873960437427,5.7087392482731486e-05,0.012236574877990333,4,4,2.9997642923935968,0.0002281002457564135,0.0002718105156438939,-4.371026988748039e-05,0.2215260911234874,0.7784739088765126,79
iid_shuffle,0.0178973613520317,5.7733050987779074e-05,0.01067163059273491,4,5,2.999847435109179,0.0002309657216762993,0.0002725919005262291,-4.162617884992978e-05,0.2574911102730089,0.7425088897269911,80
iid_shuffle,0.01772039095657131,5.6500813341798064e-05,0.01386936928801684,3,4,2.999803029032139,0.00022660015833546345,0.00017237421811315697,5.422594022230648e-05,0.1932108690950366,0.8067891309049634,81
iid_shuffle,0.017771239009597373,5.691823880562307e-05,0.011356835530427848,4,5,2.999758404351102,0.00022733219895605078,0.0001383397008688138,8.899249808723699e-05,0.2587358996699841,0.7412641003300159,82
iid_shuffle,0.017118858795305766,5.2715242052870964e-05,0.01095688686300861,4,5,2.999786639849325,0.00021047224927721095,0.0002276158651238614,-1.714361584665046e-05,0.2989351714993981,0.7010648285006019,83
iid_shuffle,0.017231605464950103,5.329480896149982e-05,0.011190462199798674,4,4,2.999783455296588,0.0002133751810346857,0.0001895873830937492,2.378779794093649e-05,0.1751948685517483,0.8248051314482517,84
iid_shuffle,0.0216217113272291,8.429832654334447e-05,0.013604350331247735,4,4,2.9997403523625765,0.0003381616514231086,0.00024163942210255786,9.652222932055076e-05,0.20004015722392113,0.7999598427760789,85
iid_shuffle,0.017513803078727127,5.5344377081855396e-05,0.010247751853654476,4,4,2.999713114528442,0.00022202496159060527,0.0002510850322398012,-2.9060070649195908e-05,0.16140016569386345,0.8385998343061365,86
iid_shuffle,0.02054783145402733,7.614205139681625e-05,0.012354126258919613,4,5,2.9997684925246375,0.0003035866873581944,0.0002150018887399056,8.85847986182888e-05,0.27432914402787983,0.7256708559721201,87
iid_shuffle,0.01657965609064069,4.959920224663643e-05,0.011023671725394273,4,4,2.999783110374196,0.00019877999905719171,0.0002381974126018993,-3.94174135447076e-05,0.15354020959155446,0.8464597904084455,88
iid_shuffle,0.018891516397154355,6.438328548980736e-05,0.010767686545468601,4,5,2.999812245800859,0.0002580861166000863,0.00024365469814948584,1.4431418450600448e-05,0.30263950805858536,0.6973604919414147,89
iid_shuffle,0.014460631630516724,3.757521640409189e-05,0.008259468074090663,4,5,2.999785634984286,0.0001506075758924432,0.00021240652939776082,-6.179895350531762e-05,0.2724166319503614,0.7275833680496386,90
iid_shuffle,0.017783225216965647,5.694115619701117e-05,0.01237010982546308,4,5,2.9997823474983623,0.0002282364540921115,0.0001985829396757871,2.9653514416324407e-05,0.2430861341120663,0.7569138658879337,91
iid_shuffle,0.017730745167115987,5.673564881034559e-05,0.01186191968278598,4,5,2.9997479750763625,0.00022660701916424894,0.00023372387749744162,-7.11685833319268e-06,0.30739459109957284,0.6926054089004272,92
iid_shuffle,0.016407059305864467,4.857791463834207e-05,0.010640918818038927,4,5,2.9997968116618194,0.0001945149199136888,0.0002469872119704452,-5.2472292056756405e-05,0.273963053514161,0.7260369464858389,93
iid_shuffle,0.014557605231490694,3.8201647570164384e-05,0.008564814440478677,4,4,2.9996992003812815,0.0001535595418825465,0.00030720544763902444,-0.00015364590575647793,0.2198801255000421,0.7801198744999579,94
iid_shuffle,0.01694333989518271,5.1794086021182025e-05,0.010892343160067229,4,5,2.9998000404715697,0.0002073624708032987,0.0003266457951929205,-0.0001192833243896218,0.22708107204480973,0.7729189279551902,95
iid_shuffle,0.015958587934281263,4.582651458219316e-05,0.00936686648803662,5,5,2.9997168669497105,0.00018285287090562892,0.0002855283626268655,-0.00010267549172123658,0.31941682141066174,0.6805831785893383,96
iid_shuffle,0.01270181368399902,2.9098928549959658e-05,0.0077099550250869465,4,5,2.999720467583863,0.0001164885024593642,0.000223971506332043,-0.0001074830038726788,0.27785966170416737,0.7221403382958327,97
iid_shuffle,0.01775720710140982,5.6755303749546655e-05,0.011503344279552673,4,5,2.999665610616293,0.0002281513352840462,0.00019082901543177993,3.732231985226626e-05,0.26090621327946645,0.7390937867205336,98
iid_shuffle,0.01629607490553841,4.772844155520588e-05,0.011317230769215876,3,4,2.9998247863303518,0.00019101530855922098,0.00020687744089780438,-1.5862132338583402e-05,0.1336109624210323,0.8663890375789677,99
iid_shuffle,0.020940864632245818,7.917916201729684e-05,0.012865438234769721,4,5,2.9997474329434675,0.0003169111776445841,0.0003058264757100484,1.1084701934535742e-05,0.2860207794017243,0.7139792205982757,100
iid_shuffle,0.018352575958601233,6.037884504218429e-05,0.011955205310949686,4,4,2.999721112436589,0.00024180964272793525,0.00019462882390386643,4.718081882406882e-05,0.22162273107540695,0.778377268924593,101
iid_shuffle,0.01842834500480995,6.177344662034506e-05,0.01085592600432187,5,6,2.9998012935847895,0.0002466333678651871,0.00019059632928982099,5.603703857536612e-05,0.35718856211647254,0.6428114378835275,102
iid_shuffle,0.016612085946670085,4.98611203023713e-05,0.009630719718995196,5,5,2.9997893392039376,0.00019969626841156863,0.00026263727675239924,-6.294100834083061e-05,0.3285779751235867,0.6714220248764133,103
iid_shuffle,0.015922328052408615,4.5655439706683054e-05,0.010672257584655724,4,5,2.999742824288446,0.0001826123489034749,0.0002091971184240578,-2.6584769520582904e-05,0.27650633846934114,0.7234936615306589,104
iid_shuffle,0.01630300348209909,4.792701141605611e-05,0.011121468765238784,4,5,2.99976716593419,0.00019117158964177954,0.0002817319220204526,-9.056033237867309e-05,0.2581169635101276,0.7418830364898724,105
iid_shuffle,0.02285081246941122,9.423359103363805e-05,0.015756761593678326,4,5,2.999798866335528,0.00037694385298811143,0.00018740571679311938,0.00018953813619499205,0.2551807427165952,0.7448192572834048,106
iid_shuffle,0.016226662306635987,4.744721171277273e-05,0.011566073661227484,3,4,2.9998289649954692,0.00018906409771742252,0.00025853750823806614,-6.947341052064362e-05,0.17711397201368684,0.8228860279863132,107
iid_shuffle,0.019154035138999985,6.60368809824654e-05,0.012938959912826925,4,5,2.9998020436119246,0.00026457089596629415,0.00030866495274307367,-4.4094056776779514e-05,0.2675003664737592,0.7324996335262408,108
iid_shuffle,0.018047007740742572,5.864283351859475e-05,0.012418079097841477,4,4,2.9997048815443743,0.00023477057370226414,0.0002598226411819921,-2.505206747972796e-05,0.21992651002435037,0.7800734899756496,109
iid_shuffle,0.01984952768591705,7.102100109770756e-05,0.012189588101720663,4,5,2.9998419785601844,0.00028438981227555993,0.00020571679644766319,7.867301582789674e-05,0.2848390399256154,0.7151609600743847,110
iid_shuffle,0.01831757343560025,6.0309342316761845e-05,0.012578804602188002,4,5,2.999756062541861,0.00024082658437321998,0.000271822581349329,-3.0995996976109007e-05,0.23725650830200956,0.7627434916979905,111
iid_shuffle,0.01719100721807946,5.33042419354604e-05,0.010646254805089626,4,5,2.999791254751589,0.00021250048893858384,0.0002478671202680542,-3.536663132947039e-05,0.2549643716462455,0.7450356283537545,112
iid_shuffle,0.019609134557934654,6.924517161243187e-05,0.011816754586071154,5,5,2.9997723826187506,0.00027665845819350337,0.0002218254402577925,5.483301793571087e-05,0.3562653594339268,0.6437346405660732,113
iid_shuffle,0.01672044806398425,5.02615052898003e-05,0.011303381346671384,3,4,2.9997589086993033,0.00020200859486301838,0.00023585049241124704,-3.384189754822867e-05,0.15281393775267155,0.8471860622473284,114
iid_shuffle,0.017067188223643275,5.246849141604836e-05,0.010462399866941353,4,5,2.9998745285868362,0.00020993140293868516,0.0002465332329518552,-3.660183001317002e-05,0.26776911749400434,0.7322308825059957,115
iid_shuffle,0.018800505477253475,6.372979461591463e-05,0.012809723812020836,4,5,2.9997964778740522,0.00025480039937590183,0.00020999044669390077,4.480995268200106e-05,0.24020200645832893,0.7597979935416711,116
iid_shuffle,0.017799822253925075,5.7187945893135336e-05,0.012182946858403949,4,4,2.9997256824037097,0.00022845840215559362,0.00024578251033477753,-1.7324108179183912e-05,0.20638015426332817,0.7936198457366719,117
iid_shuffle,0.018930453562541322,6.446683131946317e-05,0.013417063803653921,5,5,2.99976803641748,0.00025785019189056735,0.00031608185710789677,-5.8231665217329414e-05,0.33158630206265294,0.6684136979373471,118
iid_shuffle,0.018973097651587178,6.48212471232395e-05,0.012341478954844142,4,5,2.9997529433469863,0.0002593061859684203,0.0003055945663810849,-4.62883804126646e-05,0.2637592809332766,0.7362407190667234,119
iid_shuffle,0.018238934357903767,6.01567975505266e-05,0.013933179248403652,3,4,2.9997148548084676,0.00024013106490304706,0.00028615658484796745,-4.602551994492039e-05,0.17406015817802645,0.8259398418219736,120
iid_shuffle,0.0176967228026837,5.618336906898467e-05,0.011764716276564465,4,4,2.999785650048606,0.0002256213188326851,0.00021164864922185397,1.397266961083112e-05,0.21638641579283763,0.7836135842071623,121
iid_shuffle,0.015097531072450165,4.0829799824896484e-05,0.009368045464510224,4,5,2.999787097321508,0.0001642497247799135,0.00023928393346968332,-7.503420868976984e-05,0.2585213715314453,0.7414786284685547,122
iid_shuffle,0.019809013002680537,7.094971595066991e-05,0.013634351786256294,4,5,2.999824536584371,0.00028387195637748105,0.00026336495587194223,2.050700050553882e-05,0.2513753611924148,0.7486246388075852,123
iid_shuffle,0.02140552996628895,8.271259655654132e-05,0.01508909436068597,4,4,2.9998161937840906,0.00033120860405130533,0.00019547745769024708,0.00013573114636105825,0.1306749401396505,0.8693250598603495,124
iid_shuffle,0.016297690030955502,4.78471833080477e-05,0.009829703015238216,4,5,2.9997981497606587,0.0001910706768870257,0.0001516313876080947,3.9439289278930996e-05,0.2576848235175611,0.7423151764824389,125
iid_shuffle,0.01773639176067804,5.655953079366154e-05,0.0131605853835257,4,5,2.999789805310299,0.00022673052643662684,0.00020936337102260859,1.7367155414018255e-05,0.27057097899793386,0.7294290210020662,126
iid_shuffle,0.02067301665095982,7.71375411738931e-05,0.012910446323372087,4,4,2.9998557079277965,0.00030854508318305004,0.00022921164604095456,7.933343714209548e-05,0.195537075003174,0.804462924996826,127
iid_shuffle,0.020866677241761198,7.833376043553072e-05,0.012118867510580077,4,4,2.9997864296520667,0.0003135288949640927,0.0001460704520523873,0.00016745844291170538,0.17877355908937348,0.8212264409106265,128
iid_shuffle,0.019441505208888366,6.825067267236882e-05,0.013654247708634786,4,4,2.999738042477508,0.0002737268256223235,0.00025522372204242493,1.8503103579898574e-05,0.19531295433135729,0.8046870456686427,129
iid_shuffle,0.018311140383286878,6.047884674449513e-05,0.011967948539067746,4,4,2.9998264014963474,0.00024133131116386576,0.00014903563364628323,9.229567751758253e-05,0.18317826733372533,0.8168217326662747,130
iid_shuffle,0.01962422363626479,6.943662876774367e-05,0.012261887329084445,4,5,2.999796363394724,0.00027777851336559624,0.00020978354115568218,6.799497220991407e-05,0.26341766582299064,0.7365823341770094,131
iid_shuffle,0.017592677533973842,5.5854712907396234e-05,0.009909096194718612,4,5,2.9997652082685757,0.00022299117452615874,0.00032455615223041294,-0.0001015649777042542,0.2701238192826097,0.7298761807173904,132
iid_shuffle,0.018343757087505005,6.0732988233193e-05,0.012231085035940505,4,5,2.999807173795186,0.0002430728578734436,0.00028149809126580734,-3.842523339236373e-05,0.2453942890532848,0.7546057109467152,133
iid_shuffle,0.017087555887759658,5.276216371264062e-05,0.011050164003811877,4,5,2.9998248372954732,0.00021133804556054903,0.000315033213518104,-0.00010369516795755498,0.26765470826798604,0.7323452917320139,134
iid_shuffle,0.01956213805527146,6.931386619397158e-05,0.012977950616992867,4,5,2.999807768303726,0.00027660478552073674,0.0002744441008997177,2.1606846210190213e-06,0.2627896033453163,0.7372103966546837,135
