model,lambda1_abs,lambda2_abs,spectral_gap,mixing_time_proxy
P_first_order,0.9999999999999982,0.381100319414887,0.6188996805851112,1.615770748265041
P2_markov,1.000000000000001,0.1452374534581291,0.854762546541872,1.1699155561339436
P2_empirical,1.0000000000000007,0.14800785053661153,0.8519921494633891,1.1737197351288164
P2_plus_M1,1.000000000000001,0.14106975887421216,0.858930241125789,1.1642389010419667
P2_plus_M2,1.0000000000000004,0.14098827462937444,0.859011725370626,1.164128463518404
P2_plus_M3,1.0000000000000013,0.1459550332321706,0.8540449667678307,1.1708985345169145
P2_plus_M4,1.000000000000001,0.14560066176133762,0.8543993382386634,1.1704128915426024
P2_plus_M5,1.0000000000000007,0.1475741573936048,0.8524258426063959,1.1731225756159365
P2_plus_M6,0.9999999999999989,0.14808963759151703,0.8519103624084818,1.1738324172661145
P2_plus_M7,1.0000000000000004,0.14800785053661164,0.8519921494633889,1.1737197351288167
P2_plus_M8,1.0000000000000007,0.14800785053661164,0.8519921494633891,1.1737197351288164
