,1,7,11,13,17,19,23,29
1,522,5174,3973,3013,2143,1578,1290,847
7,725,555,5377,3889,3018,2201,1569,1291
11,1049,913,563,5355,4017,3001,2163,1587
13,1475,1139,949,556,5336,3988,3002,2208
17,2429,1387,1087,813,544,5383,4013,2986
19,2970,1988,1799,1090,931,545,5324,3946
23,4028,3448,1933,1414,1107,873,498,5300
29,5342,4020,2967,2524,1546,1024,742,462
