window_index,x_mid,mode,projection_amplitude,normalized_amplitude
5,973.1520949985156,1,0.02561126804620968,0.6191064004079395
5,973.1520949985156,2,0.07386753833299829,2.117836387930487
5,973.1520949985156,3,0.03005028196749709,1.1598316941986448
5,973.1520949985156,4,-0.010933611782614412,-0.4612458981863528
6,2388.519415872519,1,0.06401242097973159,1.5473852939516743
6,2388.519415872519,2,0.0936973613453582,2.686371927215359
6,2388.519415872519,3,0.02499712309420378,0.9647981226865421
6,2388.519415872519,4,0.029364905148384052,1.2387893698457941
7,5859.598791726273,1,0.004092671852337876,0.09893299050949506
7,5859.598791726273,2,0.08034481455794139,2.303544638041936
7,5859.598791726273,3,0.05301905405250645,2.0463428380818582
7,5859.598791726273,4,0.03685051963453945,1.5545778801561463
8,14375.071130258799,1,0.07079607410915251,1.7113679231207672
8,14375.071130258799,2,0.10612852691090284,3.0427825423953965
8,14375.071130258799,3,0.029649802318217906,1.144374634906557
8,14375.071130258799,4,0.0454950310604139,1.9192556752238101
9,35263.982758616476,1,0.04560509972752352,1.1024213670955163
9,35263.982758616476,2,0.07002136301163557,2.007563726437131
9,35263.982758616476,3,0.04233813074060247,1.63409800810487
9,35263.982758616476,4,0.04655593961584739,1.9640112170588153
10,86505.59510228226,1,0.045753695217933696,1.106013396159392
10,86505.59510228226,2,0.03687861165288709,1.0573367876799984
10,86505.59510228226,3,0.0210706076701263,0.8132488945784436
10,86505.59510228226,4,0.02771396362369875,1.1691426674068557
11,212203.8155170637,1,0.05038577172638717,1.2179855253170975
11,212203.8155170637,2,0.034537344730025565,0.9902109514196726
11,212203.8155170637,3,0.029446154487470996,1.1365145686079932
11,212203.8155170637,4,0.009961518013403005,0.4202371014030031
12,520551.73141581233,1,0.039632671979323554,0.9580486543421626
12,520551.73141581233,2,0.032716548223845635,0.9380073829398236
12,520551.73141581233,3,0.024713553281305478,0.9538533582789014
12,520551.73141581233,4,0.028436306436853093,1.1996154577597762
13,1276949.6046747498,1,0.040730726586216695,0.9845921520673983
13,1276949.6046747498,2,0.03256988627001111,0.9338024773809634
13,1276949.6046747498,3,0.024635890061095796,0.9508558401734092
13,1276949.6046747498,4,0.021826927132154537,0.9207918490143578
