model,modes_used,l1_error_to_empirical_P2,l2_error_to_empirical_P2,js_to_empirical_P2
rank4_all_modes,"1,2,3,4",0.0016646303663879333,0.0021628012163593174,3.830734206104528e-05
remove_mode_1,"2,3,4",0.0040662784278758905,0.005605096396175536,0.000247862181427681
remove_mode_2,"1,3,4",0.003740118408321291,0.004866823769458445,0.0001853373181141545
remove_mode_3,"1,2,4",0.0030517420969108757,0.0038944245307243755,0.00013637905699161006
remove_mode_4,"1,2,3",0.0027354417561497478,0.0036684413520331003,0.00011008653170396061
only_mode_1,1,0.004954630528551466,0.006553972824082294,0.00032862960912895364
only_mode_2,2,0.005456719301846606,0.0071193884418722046,0.00039137482536964513
only_mode_3,3,0.005687186323160644,0.007694486530218987,0.00043934726811814675
only_mode_4,4,0.0060802195189922125,0.007804755181036929,0.00048127832049100073
