label_type,label,count,mean_z,std_z,median_z,q90_z,q95_z,residual_l1,residual_l2,positive_residual_mass,negative_residual_mass,js_divergence,tail_prob_z_gt_1,tail_prob_z_gt_2,tail_prob_z_gt_3,tail_prob_z_gt_4,tail_prob_z_gt_5,window_index,left,right,midpoint
window,window_7,239,1.020989975035646,0.7136664623349308,0.7433246519774759,1.9939722282198307,2.461459321595676,1.2518682706685553,1.0310489234327294,0.6259341353342777,-0.6259341353342779,0.29402530804692706,0.401673640167364,0.100418410041841,0.016736401673640166,0.0,0.0,7,2714,4705,3573.4255274176344
window,window_8,388,1.0127468809354092,0.7368430522156542,0.6999023282335521,2.0463913483055554,2.67395962017249,1.2019231112145037,1.1424668030335663,0.600961555607252,-0.6009615556072518,0.28346865423575984,0.3788659793814433,0.1211340206185567,0.030927835051546393,0.0,0.0,8,4705,8157,6195.053268536115
window,window_9,640,1.0046316498134247,0.733048811405418,0.6657971097080779,2.1008989737720865,2.5284313737240476,1.204201903684017,1.1165233036152227,0.6021009518420085,-0.6021009518420087,0.28708423667593724,0.4078125,0.103125,0.0296875,0.0,0.0,9,8157,14142,10740.404740976943
window,window_10,1056,0.9969203699246688,0.7384692710105447,0.8020307374020601,1.8628321793625502,2.4506748299243792,0.9536272731239632,0.8362237342563373,0.47681363656198156,-0.47681363656198167,0.19514261031995472,0.42803030303030304,0.08996212121212122,0.02556818181818182,0.004734848484848485,0.000946969696969697,10,14142,24516,18620.02341566734
window,window_11,1728,1.000699428111228,0.7716254835891948,0.7704510336248371,1.9451747648753244,2.474006015942048,1.1708152803936407,1.058267610461591,0.5854076401968205,-0.5854076401968203,0.2754617994006783,0.3697916666666667,0.09259259259259259,0.020833333333333332,0.006944444444444444,0.003472222222222222,11,24516,42501,32279.32025306605
window,window_12,2828,1.0061602602571333,0.7576574535056825,0.7473883333069162,2.0236005622735767,2.5721666508192245,1.0833885379319153,0.9841793593180187,0.5416942689659578,-0.5416942689659578,0.2471618826282012,0.39745403111739747,0.10678925035360678,0.022277227722772276,0.003536067892503536,0.0010608203677510608,12,42501,73680,55959.57183538845
window,window_13,4690,1.001695548697824,0.7859978218142402,0.8538259088667652,2.0778129653015287,2.580802612620115,1.032536627423086,0.9054342379902169,0.516268313711543,-0.5162683137115429,0.21656003212103925,0.41215351812366735,0.11215351812366738,0.029211087420042643,0.0061833688699360345,0.0014925373134328358,13,73680,127731,97011.44303637587
window,window_14,7764,1.0012049757389512,0.7961043567998818,0.8218076128698534,2.0210840657741884,2.517032874669565,0.9156907106225423,0.8556916873615327,0.457845355311271,-0.4578453553112711,0.19615041813247114,0.3718444100978877,0.10703245749613602,0.027820710973724884,0.006955177743431221,0.0019319938176197836,14,127731,221434,168178.43575797701
window,window_15,12864,1.0017201942013014,0.8019847235034918,0.7943301376589506,2.068245871210381,2.539754509118014,1.0112643793034441,0.9014792770736059,0.5056321896517221,-0.5056321896517221,0.22097983017768857,0.35222325870646765,0.10743159203980099,0.028762437810945275,0.007151741293532339,0.0018656716417910447,15,221434,383876,291553.0795309835
window,window_16,21392,1.0005987820885482,0.8049712758457241,0.76718216114843,2.1088031067411137,2.586357773230321,0.9813362734558544,0.8717785390245542,0.49066813672792714,-0.4906681367279272,0.20786486160416356,0.3743922961854899,0.10662864622288706,0.030478683620044876,0.007900149588631264,0.002010097232610322,16,383876,665484,505433.80969618564
window,window_17,35588,1.0007948775202007,0.8141734032763124,0.7421780866680208,2.1501040778190315,2.60583546712375,0.8886282740535311,0.79809905587697,0.4443141370267656,-0.4443141370267656,0.18389400208849854,0.39060919411037426,0.11827020343936158,0.03099359334607171,0.008289311003709115,0.0022479487467685737,17,665484,1153676,876215.110109384
window,window_18,59359,1.0000429181151087,0.8273532023097014,0.8287785139334832,2.092007687880172,2.5782186724585303,0.9256655362264912,0.818645762436931,0.4628327681132456,-0.46283276811324553,0.189657269435408,0.3558853754274836,0.1127882882124025,0.02863929648410519,0.00913088158493236,0.002577536683569467,18,1153676,2000000,1518997.0375217984
