x,observed_count,prime_count,density_drift,name,scenario
193,38,44,0.13636363636363635,missing_keep_90,missing
216,41,47,0.1276595744680851,missing_keep_90,missing
241,47,53,0.11320754716981132,missing_keep_90,missing
269,51,57,0.10526315789473684,missing_keep_90,missing
300,55,62,0.11290322580645161,missing_keep_90,missing
335,60,67,0.1044776119402985,missing_keep_90,missing
375,67,74,0.0945945945945946,missing_keep_90,missing
418,72,80,0.1,missing_keep_90,missing
467,82,91,0.0989010989010989,missing_keep_90,missing
521,88,98,0.10204081632653061,missing_keep_90,missing
582,96,106,0.09433962264150944,missing_keep_90,missing
650,107,118,0.09322033898305085,missing_keep_90,missing
726,117,128,0.0859375,missing_keep_90,missing
810,129,140,0.07857142857142857,missing_keep_90,missing
905,142,154,0.07792207792207792,missing_keep_90,missing
1010,156,169,0.07692307692307693,missing_keep_90,missing
1128,174,188,0.07446808510638298,missing_keep_90,missing
1259,190,205,0.07317073170731707,missing_keep_90,missing
1406,206,222,0.07207207207207207,missing_keep_90,missing
1570,228,247,0.07692307692307693,missing_keep_90,missing
1753,249,273,0.08791208791208792,missing_keep_90,missing
1957,270,297,0.09090909090909091,missing_keep_90,missing
2185,296,327,0.09480122324159021,missing_keep_90,missing
2439,326,361,0.09695290858725762,missing_keep_90,missing
2724,357,397,0.10075566750629723,missing_keep_90,missing
3041,395,436,0.09403669724770643,missing_keep_90,missing
3395,435,478,0.0899581589958159,missing_keep_90,missing
3790,479,526,0.08935361216730038,missing_keep_90,missing
4232,528,580,0.0896551724137931,missing_keep_90,missing
4725,581,637,0.08791208791208792,missing_keep_90,missing
5275,639,699,0.08583690987124463,missing_keep_90,missing
5890,707,775,0.08774193548387096,missing_keep_90,missing
6575,777,850,0.08588235294117647,missing_keep_90,missing
7341,850,935,0.09090909090909091,missing_keep_90,missing
8196,934,1028,0.0914396887159533,missing_keep_90,missing
9151,1029,1134,0.09259259259259259,missing_keep_90,missing
10216,1134,1253,0.09497206703910614,missing_keep_90,missing
11406,1239,1376,0.09956395348837209,missing_keep_90,missing
12735,1368,1519,0.09940750493745885,missing_keep_90,missing
14218,1507,1671,0.09814482345900659,missing_keep_90,missing
15874,1673,1848,0.0946969696969697,missing_keep_90,missing
17722,1844,2034,0.09341199606686332,missing_keep_90,missing
19786,2027,2239,0.09468512728896829,missing_keep_90,missing
22090,2243,2475,0.09373737373737374,missing_keep_90,missing
24663,2479,2730,0.09194139194139195,missing_keep_90,missing
27535,2728,3007,0.09278350515463918,missing_keep_90,missing
30742,3009,3315,0.09230769230769231,missing_keep_90,missing
34322,3317,3668,0.09569247546346783,missing_keep_90,missing
38319,3655,4044,0.09619188921859545,missing_keep_90,missing
42781,4049,4473,0.09479096803040465,missing_keep_90,missing
47763,4445,4923,0.09709526711354866,missing_keep_90,missing
53325,4912,5439,0.09689281117852547,missing_keep_90,missing
59535,5437,6018,0.09654370222665337,missing_keep_90,missing
66469,5985,6628,0.09701267350633676,missing_keep_90,missing
74209,6613,7323,0.09695479994537758,missing_keep_90,missing
82851,7310,8097,0.09719649252809683,missing_keep_90,missing
92500,8061,8935,0.09781757134862899,missing_keep_90,missing
103272,8892,9872,0.09927066450567261,missing_keep_90,missing
115298,9805,10895,0.10004589261128959,missing_keep_90,missing
128725,10842,12051,0.10032362459546926,missing_keep_90,missing
143716,11989,13321,0.09999249305607687,missing_keep_90,missing
160453,13246,14721,0.1001969974865838,missing_keep_90,missing
179138,14633,16260,0.10006150061500615,missing_keep_90,missing
200000,16186,17984,0.09997775800711743,missing_keep_90,missing
100,20,25,0.2,missing_keep_75,missing
111,24,29,0.1724137931034483,missing_keep_75,missing
124,24,30,0.2,missing_keep_75,missing
139,25,34,0.2647058823529412,missing_keep_75,missing
155,26,36,0.2777777777777778,missing_keep_75,missing
173,30,40,0.25,missing_keep_75,missing
193,33,44,0.25,missing_keep_75,missing
216,33,47,0.2978723404255319,missing_keep_75,missing
241,38,53,0.2830188679245283,missing_keep_75,missing
269,41,57,0.2807017543859649,missing_keep_75,missing
300,46,62,0.25806451612903225,missing_keep_75,missing
335,51,67,0.23880597014925373,missing_keep_75,missing
375,56,74,0.24324324324324326,missing_keep_75,missing
418,61,80,0.2375,missing_keep_75,missing
467,68,91,0.25274725274725274,missing_keep_75,missing
521,75,98,0.23469387755102042,missing_keep_75,missing
582,82,106,0.22641509433962265,missing_keep_75,missing
650,94,118,0.2033898305084746,missing_keep_75,missing
726,102,128,0.203125,missing_keep_75,missing
810,112,140,0.2,missing_keep_75,missing
905,122,154,0.2077922077922078,missing_keep_75,missing
1010,131,169,0.22485207100591717,missing_keep_75,missing
1128,145,188,0.22872340425531915,missing_keep_75,missing
1259,155,205,0.24390243902439024,missing_keep_75,missing
1406,166,222,0.25225225225225223,missing_keep_75,missing
1570,187,247,0.242914979757085,missing_keep_75,missing
1753,210,273,0.23076923076923078,missing_keep_75,missing
1957,228,297,0.23232323232323232,missing_keep_75,missing
2185,252,327,0.22935779816513763,missing_keep_75,missing
2439,277,361,0.23268698060941828,missing_keep_75,missing
2724,301,397,0.24181360201511334,missing_keep_75,missing
3041,335,436,0.231651376146789,missing_keep_75,missing
3395,370,478,0.22594142259414227,missing_keep_75,missing
3790,407,526,0.2262357414448669,missing_keep_75,missing
4232,452,580,0.2206896551724138,missing_keep_75,missing
4725,494,637,0.22448979591836735,missing_keep_75,missing
5275,546,699,0.21888412017167383,missing_keep_75,missing
5890,600,775,0.22580645161290322,missing_keep_75,missing
6575,662,850,0.2211764705882353,missing_keep_75,missing
7341,722,935,0.22780748663101605,missing_keep_75,missing
8196,788,1028,0.23346303501945526,missing_keep_75,missing
9151,868,1134,0.2345679012345679,missing_keep_75,missing
10216,964,1253,0.2306464485235435,missing_keep_75,missing
11406,1061,1376,0.22892441860465115,missing_keep_75,missing
12735,1170,1519,0.22975641869651087,missing_keep_75,missing
14218,1282,1671,0.23279473369239975,missing_keep_75,missing
15874,1416,1848,0.23376623376623376,missing_keep_75,missing
17722,1559,2034,0.2335299901671583,missing_keep_75,missing
19786,1708,2239,0.23715944618133095,missing_keep_75,missing
22090,1889,2475,0.23676767676767677,missing_keep_75,missing
24663,2073,2730,0.24065934065934066,missing_keep_75,missing
27535,2273,3007,0.24409710675091453,missing_keep_75,missing
30742,2496,3315,0.24705882352941178,missing_keep_75,missing
34322,2758,3668,0.2480916030534351,missing_keep_75,missing
38319,3038,4044,0.24876360039564788,missing_keep_75,missing
