scenario,kind,method,window_left,window_right,window_mid,true_prime_count,observed_count,true_positive,false_positive,false_negative,density_error,precision,recovery,f1,gap_drift
adversarial_mod6_noise_100,adversarial_mod6,sieve_cleaned,25002,35002,30002.0,970,261,261,0,709,0.7309278350515463,1.0,0.2690721649484536,0.4240454914703493,2.8507369817423514
adversarial_mod6_noise_100,adversarial_mod6,sieve_cleaned,30002,40002,35002.0,958,253,253,0,705,0.7359081419624217,1.0,0.2640918580375783,0.4178364987613542,2.8915158136184407
adversarial_mod6_noise_100,adversarial_mod6,sieve_cleaned,35002,45002,40002.0,943,247,247,0,696,0.7380699893955461,1.0,0.26193001060445387,0.4151260504201681,2.9210881349813316
adversarial_mod6_noise_100,adversarial_mod6,sieve_cleaned,40002,50002,45002.0,930,224,224,0,706,0.7591397849462366,1.0,0.24086021505376345,0.3882149046793761,3.3147683463122903
adversarial_mod6_noise_100,adversarial_mod6,sieve_cleaned,45002,55002,50002.0,916,197,197,0,719,0.7849344978165939,1.0,0.21506550218340612,0.35399820305480684,3.717846982223161
adversarial_mod6_noise_100,adversarial_mod6,sieve_cleaned,50002,60002,55002.0,924,214,214,0,710,0.7683982683982684,1.0,0.23160173160173161,0.37609841827768015,3.3774238698574983
adversarial_mod6_noise_100,adversarial_mod6,sieve_cleaned,55002,65002,60002.0,902,205,205,0,697,0.7727272727272727,1.0,0.22727272727272727,0.37037037037037035,3.5539113132273137
adversarial_mod6_noise_100,adversarial_mod6,sieve_cleaned,60002,70002,65002.0,879,206,206,0,673,0.7656427758816837,1.0,0.23435722411831628,0.3797235023041475,3.5275882756467603
adversarial_mod6_noise_100,adversarial_mod6,sieve_cleaned,65002,75002,70002.0,900,223,223,0,677,0.7522222222222222,1.0,0.2477777777777778,0.39715048975957257,3.1671362627177437
adversarial_mod6_noise_100,adversarial_mod6,sieve_cleaned,70002,80002,75002.0,901,234,234,0,667,0.7402885682574917,1.0,0.2597114317425083,0.41233480176211457,2.95129294799387
adversarial_mod6_noise_100,adversarial_mod6,sieve_cleaned,75002,85002,80002.0,884,232,232,0,652,0.7375565610859729,1.0,0.26244343891402716,0.41577060931899645,2.970959522700882
adversarial_mod6_noise_100,adversarial_mod6,sieve_cleaned,80002,90002,85002.0,877,221,221,0,656,0.7480045610034207,1.0,0.2519954389965792,0.4025500910746812,3.1244310419749275
adversarial_mod6_noise_100,adversarial_mod6,sieve_cleaned,85002,95002,90002.0,880,238,238,0,642,0.7295454545454545,1.0,0.27045454545454545,0.42576028622540246,2.8361603021692217
adversarial_mod6_noise_100,adversarial_mod6,sieve_cleaned,90002,100002,95002.0,878,223,223,0,655,0.7460136674259681,1.0,0.2539863325740319,0.40508628519527706,3.0273733773354903
adversarial_mod6_noise_100,adversarial_mod6,sieve_cleaned,95002,105002,100002.0,867,208,208,0,659,0.7600922722029988,1.0,0.23990772779700115,0.3869767441860465,3.279757068089961
adversarial_mod6_noise_100,adversarial_mod6,sieve_cleaned,100002,110002,105002.0,861,229,229,0,632,0.7340301974448316,1.0,0.2659698025551684,0.4201834862385321,2.9477216576001273
adversarial_mod6_noise_100,adversarial_mod6,sieve_cleaned,105002,115002,110002.0,848,224,224,0,624,0.7358490566037735,1.0,0.2641509433962264,0.41791044776119407,3.0025074615573972
adversarial_mod6_noise_100,adversarial_mod6,sieve_cleaned,110002,120002,115002.0,848,221,221,0,627,0.7393867924528302,1.0,0.2606132075471698,0.41347053320860616,3.0287946440197393
adversarial_mod6_noise_100,adversarial_mod6,sieve_cleaned,115002,125002,120002.0,862,206,206,0,656,0.7610208816705336,1.0,0.23897911832946636,0.38576779026217234,3.2856218949246636
adversarial_mod6_noise_100,adversarial_mod6,sieve_cleaned,120002,130002,125002.0,858,200,200,0,658,0.7668997668997669,1.0,0.2331002331002331,0.37807183364839314,3.379521895338748
adversarial_mod6_noise_100,adversarial_mod6,sieve_cleaned,125002,135002,130002.0,842,214,214,0,628,0.7458432304038005,1.0,0.25415676959619954,0.40530303030303033,3.145704568253681
adversarial_mod6_noise_100,adversarial_mod6,sieve_cleaned,130002,140002,135002.0,851,223,223,0,628,0.7379553466509988,1.0,0.2620446533490012,0.415270018621974,2.923028175113617
adversarial_mod6_noise_100,adversarial_mod6,sieve_cleaned,135002,145002,140002.0,846,230,230,0,616,0.7281323877068558,1.0,0.2718676122931442,0.4275092936802974,2.826376776804433
adversarial_mod6_noise_100,adversarial_mod6,sieve_cleaned,140002,150002,145002.0,839,230,230,0,609,0.7258641239570918,1.0,0.27413587604290823,0.4303086997193639,2.8067614233987443
adversarial_mod6_noise_100,adversarial_mod6,sieve_cleaned,145002,155002,150002.0,850,224,224,0,626,0.7364705882352941,1.0,0.2635294117647059,0.4171322160148976,2.928830332622181
adversarial_mod6_noise_100,adversarial_mod6,sieve_cleaned,150002,160002,155002.0,835,198,198,0,637,0.7628742514970059,1.0,0.237125748502994,0.3833494675701839,3.3585522279277678
adversarial_mod6_noise_100,adversarial_mod6,sieve_cleaned,155002,165002,160002.0,822,184,184,0,638,0.7761557177615572,1.0,0.22384428223844283,0.3658051689860835,3.6239225942809097
adversarial_mod6_noise_100,adversarial_mod6,sieve_cleaned,160002,170002,165002.0,813,200,200,0,613,0.7539975399753998,1.0,0.24600246002460024,0.39486673247778875,3.23779103648431
