layer,filter_prime_q,candidate_count_before,removed_count,candidate_count_after,retention_share,process,target_removed_count,actual_removed_count
18,61,26840,,26395,0.1319756598782994,random_layer_matched,445.0,445.0
19,67,26395,,25984,0.129920649603248,random_layer_matched,411.0,411.0
20,71,25984,,25594,0.12797063985319926,random_layer_matched,390.0,390.0
21,73,25594,,25215,0.1260756303781519,random_layer_matched,379.0,379.0
22,79,25215,,24866,0.12433062165310826,random_layer_matched,349.0,349.0
23,83,24866,,24531,0.12265561327806639,random_layer_matched,335.0,335.0
24,89,24531,,24220,0.12110060550302751,random_layer_matched,311.0,311.0
25,97,24220,,23934,0.11967059835299176,random_layer_matched,286.0,286.0
26,101,23934,,23660,0.11830059150295752,random_layer_matched,274.0,274.0
27,103,23660,,23391,0.1169555847779239,random_layer_matched,269.0,269.0
28,107,23391,,23133,0.11566557832789164,random_layer_matched,258.0,258.0
29,109,23133,,22879,0.11439557197785989,random_layer_matched,254.0,254.0
30,113,22879,,22634,0.11317056585282927,random_layer_matched,245.0,245.0
31,127,22634,,22416,0.11208056040280201,random_layer_matched,218.0,218.0
32,131,22416,,22206,0.11103055515277577,random_layer_matched,210.0,210.0
33,137,22206,,22006,0.11003055015275076,random_layer_matched,200.0,200.0
34,139,22006,,21812,0.10906054530272652,random_layer_matched,194.0,194.0
35,149,21812,,21629,0.10814554072770363,random_layer_matched,183.0,183.0
36,151,21629,,21448,0.10724053620268101,random_layer_matched,181.0,181.0
37,157,21448,,21279,0.10639553197765989,random_layer_matched,169.0,169.0
38,163,21279,,21116,0.10558052790263951,random_layer_matched,163.0,163.0
39,167,21116,,20958,0.10479052395261976,random_layer_matched,158.0,158.0
40,173,20958,,20806,0.10403052015260077,random_layer_matched,152.0,152.0
41,179,20806,,20659,0.1032955164775824,random_layer_matched,147.0,147.0
42,181,20659,,20515,0.10257551287756439,random_layer_matched,144.0,144.0
43,191,20515,,20382,0.10191050955254777,random_layer_matched,133.0,133.0
44,193,20382,,20251,0.10125550627753138,random_layer_matched,131.0,131.0
45,197,20251,,20125,0.10062550312751564,random_layer_matched,126.0,126.0
46,199,20125,,20002,0.10001050005250026,random_layer_matched,123.0,123.0
47,211,20002,,19887,0.09943549717748588,random_layer_matched,115.0,115.0
48,223,19887,,19780,0.09890049450247251,random_layer_matched,107.0,107.0
49,227,19780,,19676,0.09838049190245951,random_layer_matched,104.0,104.0
50,229,19676,,19575,0.09787548937744689,random_layer_matched,101.0,101.0
51,233,19575,,19477,0.09738548692743464,random_layer_matched,98.0,98.0
52,239,19477,,19383,0.09691548457742288,random_layer_matched,94.0,94.0
53,241,19383,,19290,0.09645048225241126,random_layer_matched,93.0,93.0
54,251,19290,,19205,0.09602548012740064,random_layer_matched,85.0,85.0
55,257,19205,,19122,0.09561047805239026,random_layer_matched,83.0,83.0
56,263,19122,,19043,0.09521547607738039,random_layer_matched,79.0,79.0
57,269,19043,,18967,0.09483547417737088,random_layer_matched,76.0,76.0
58,271,18967,,18894,0.09447047235236176,random_layer_matched,73.0,73.0
59,277,18894,,18824,0.09412047060235301,random_layer_matched,70.0,70.0
60,281,18824,,18756,0.09378046890234451,random_layer_matched,68.0,68.0
61,283,18756,,18690,0.09345046725233626,random_layer_matched,66.0,66.0
62,293,18690,,18628,0.0931404657023285,random_layer_matched,62.0,62.0
63,307,18628,,18572,0.0928604643023215,random_layer_matched,56.0,56.0
64,311,18572,,18518,0.09259046295231477,random_layer_matched,54.0,54.0
65,313,18518,,18467,0.09233546167730838,random_layer_matched,51.0,51.0
66,317,18467,,18418,0.09209046045230226,random_layer_matched,49.0,49.0
67,331,18418,,18374,0.09187045935229676,random_layer_matched,44.0,44.0
68,337,18374,,18333,0.09166545832729163,random_layer_matched,41.0,41.0
69,347,18333,,18296,0.09148045740228701,random_layer_matched,37.0,37.0
70,349,18296,,18260,0.09130045650228251,random_layer_matched,36.0,36.0
71,353,18260,,18227,0.09113545567727839,random_layer_matched,33.0,33.0
72,359,18227,,18196,0.09098045490227451,random_layer_matched,31.0,31.0
73,367,18196,,18168,0.090840454202271,random_layer_matched,28.0,28.0
74,373,18168,,18142,0.09071045355226776,random_layer_matched,26.0,26.0
75,379,18142,,18117,0.09058545292726464,random_layer_matched,25.0,25.0
76,383,18117,,18094,0.09047045235226177,random_layer_matched,23.0,23.0
77,389,18094,,18073,0.09036545182725914,random_layer_matched,21.0,21.0
78,397,18073,,18054,0.09027045135225677,random_layer_matched,19.0,19.0
79,401,18054,,18038,0.09019045095225477,random_layer_matched,16.0,16.0
80,409,18038,,18024,0.09012045060225302,random_layer_matched,14.0,14.0
81,419,18024,,18013,0.09006545032725163,random_layer_matched,11.0,11.0
82,421,18013,,18003,0.09001545007725038,random_layer_matched,10.0,10.0
83,431,18003,,17995,0.08997544987724938,random_layer_matched,8.0,8.0
84,433,17995,,17989,0.08994544972724863,random_layer_matched,6.0,6.0
85,439,17989,,17986,0.08993044965224826,random_layer_matched,3.0,3.0
86,443,17986,,17984,0.08992044960224801,random_layer_matched,2.0,2.0
