state_n,state_n_plus_1,state_n_plus_2,empirical_P_c_given_ab,first_order_P_c_given_b,delta,abs_delta,support_count_ab
0,0,0,0.15311418685121106,0.06210379284409584,0.09101039400711522,0.09101039400711522,1156
3,0,3,0.20115218434949592,0.1135167078543032,0.08763547649519271,0.08763547649519271,2083
1,2,1,0.047253634894991924,0.13458335571912106,-0.08732972082412913,0.08732972082412913,2476
0,2,1,0.20860927152317882,0.13458335571912106,0.07402591580405776,0.07402591580405776,1812
0,2,0,0.024834437086092714,0.09815720195562241,-0.0733227648695297,0.0733227648695297,1812
1,1,2,0.06378299120234604,0.13302530489442863,-0.06924231369208259,0.06924231369208259,1364
2,0,2,0.16365626710454298,0.09734608359299451,0.06631018351154847,0.06631018351154847,1827
0,3,0,0.1769995267392333,0.11191102992532101,0.0650884968139123,0.0650884968139123,2113
1,1,1,0.13563049853372433,0.07328211465105035,0.06234838388267398,0.06234838388267398,1364
0,0,2,0.037197231833910036,0.09734608359299451,-0.06014885175908448,0.06014885175908448,1156
0,3,1,0.047326076668244205,0.10626981142212433,-0.05894373475388012,0.05894373475388012,2113
3,3,3,0.17218543046357615,0.1135765325310267,0.05860889793254945,0.05860889793254945,2114
1,3,0,0.05330700888450148,0.11191102992532101,-0.05860402104081953,0.05860402104081953,2026
2,3,2,0.2024899304284145,0.14839090957932627,0.05409902084908824,0.05409902084908824,2731
1,2,0,0.15105008077544427,0.09815720195562241,0.052892878819821854,0.052892878819821854,2476
0,4,0,0.10018281535648994,0.15059367109009833,-0.05041085573360839,0.05041085573360839,2735
2,4,1,0.06321553011448482,0.10976199430505561,-0.04654646419057079,0.04654646419057079,2009
0,5,2,0.09438009438009438,0.1360339547628002,-0.04165386038270581,0.04165386038270581,2331
1,2,5,0.17891760904684975,0.13732337613495943,0.04159423291189032,0.04159423291189032,2476
4,2,0,0.13652756311179803,0.09815720195562241,0.03837036115617562,0.03837036115617562,1941
2,2,3,0.18504845408398707,0.14672540697362058,0.03832304711036649,0.03832304711036649,2167
2,1,1,0.035129740518962074,0.07328211465105035,-0.038152374132088274,0.038152374132088274,2505
1,4,2,0.06673161227471992,0.10428195347337882,-0.037550341198658896,0.037550341198658896,2053
0,0,3,0.07698961937716263,0.1135167078543032,-0.036527088477140576,0.036527088477140576,1156
5,2,1,0.17101105845181674,0.13458335571912106,0.03642770273269569,0.03642770273269569,2532
0,2,5,0.10099337748344371,0.13732337613495943,-0.03632999865151572,0.03632999865151572,1812
