shuffle_id,two_step_l1_delta,two_step_l2_delta,max_abs_two_step_delta
0,0.0017455493215605916,0.0021544301236767357,0.005023191585225087
1,0.0021042601577158024,0.0025967584370125067,0.005797846669233081
2,0.001704691372663931,0.002051404733557536,0.0045899944393167635
3,0.001500795042570542,0.0019445196718382448,0.0054731872664941505
4,0.0018894428003138702,0.0023067814535725904,0.0058889071261039455
5,0.0015928903120203167,0.0019347547075193284,0.004598308442948354
6,0.001637163316467592,0.002097009621013503,0.006070956781445078
7,0.0017379265547436816,0.0021355908056263037,0.0052966919730485645
8,0.0020325047245628265,0.00244747693168615,0.006349509360160821
9,0.0021292526071395833,0.0026214775181144325,0.006730498788483794
10,0.0016951440337007646,0.002250875326861576,0.006842590248163666
11,0.0014148532185158833,0.001847760164129097,0.004040596680449732
12,0.0016536580280869905,0.001994525164085549,0.004734801156031837
13,0.0017059241156799855,0.002268052613773985,0.006387392350234056
14,0.0018616396024994993,0.0023089988919146286,0.0050311830662892465
15,0.0017107614832651658,0.002116688696566767,0.005467653405756251
16,0.0018652777108892668,0.0023182424157475326,0.005133136593097012
17,0.0019134428830490172,0.0023004515594077556,0.005278666486226727
18,0.0018784230677986661,0.00237331805271142,0.005575052392524274
19,0.0016124481890331245,0.0019787459641401536,0.004804662373586774
20,0.001790886793958141,0.0021748772506118385,0.00584764441272953
21,0.0017455795554509451,0.0022631208581342785,0.005810110582108993
22,0.0017636826818311217,0.0021937601193167083,0.004534870519445164
23,0.0016711287403500224,0.001995143102245937,0.004753172721751145
24,0.0017739005132733458,0.0022213036576977123,0.0066487087646738136
25,0.0017179293564923322,0.0021079690472887614,0.0044167156578621
26,0.0016370190716459994,0.001959271713994799,0.005362056463856943
27,0.0016555285070795824,0.002080089801085879,0.005024203108642877
28,0.0021479267034785043,0.0025626454935768553,0.006552418138507307
29,0.0020991313460538624,0.002561844942877588,0.005770478404586554
30,0.001694515359506369,0.002160361114504317,0.0071104953037657015
31,0.0014493401570371271,0.0018992764545802958,0.0060043881824342615
32,0.0015665008426624786,0.0019473044100187433,0.00484949438061788
33,0.0018395113022272997,0.0022210723738753896,0.004917508976143584
34,0.0018047442707644237,0.0022250972878953253,0.005723318047746825
35,0.0014681255381952202,0.0018328980663261825,0.004737548116170109
36,0.0018774194455999076,0.002411821992462018,0.006246381172500648
37,0.0018412140273584442,0.00213945642557726,0.0050694301281650755
38,0.0018698628658940127,0.002338162498198346,0.0059948531899611385
39,0.0015395252485254163,0.0018886292090582115,0.0041606709774760775
40,0.0019015681817665742,0.002328722662683265,0.004906269864563204
41,0.0020051189367712432,0.0024230288292999896,0.0059207165070796625
42,0.0019094477715880002,0.0022991811520652935,0.005109230135952145
43,0.001834727066471628,0.0024589029964498564,0.007801448679967016
44,0.0020507708939450633,0.0025597679587164427,0.0062668902667718795
45,0.0016889309359442123,0.002186046835156196,0.006420494567445312
46,0.0017872897143170854,0.0022482113654155216,0.006685092394842357
47,0.002067146672736906,0.002500480984079323,0.006543613013570829
48,0.0014338092339770795,0.0017937211647838295,0.005028166546838658
49,0.00191909731468167,0.0023015767608636013,0.005726643830034142
50,0.0016130399338192374,0.002056484970123045,0.0057445422228345755
51,0.0016636043155648056,0.002127986753669141,0.006223149422651675
52,0.0017900683803443447,0.002345745219880134,0.006482933549953107
53,0.0019568929743265942,0.0024449670528615556,0.00611227344745377
54,0.0018521621154025249,0.0022974884252737393,0.005961259516680001
55,0.0018618744375265219,0.0023338513371655937,0.005564138467605395
56,0.0016453215329204007,0.002079601582920866,0.005106211841785321
57,0.0016645341634312035,0.0020852162536370445,0.0059120711689525235
58,0.0014651235115458743,0.0018424930366206372,0.004315007643666283
59,0.0017567366135748201,0.0022423408492350055,0.005921822287713263
60,0.0018237317215254178,0.0021812318838812287,0.004745555892256281
61,0.0013935971792875203,0.001717150213611357,0.004332768179759
62,0.0018762206877905817,0.002405273385879487,0.006193477971982081
63,0.0013680500595548836,0.0017344450088724454,0.004700047604478577
