metric,real_value,bootstrap_mean,bootstrap_q025,bootstrap_q50,bootstrap_q975
two_step_l2_residual,0.06678632496563655,0.07194694877891125,0.06725682512430907,0.07178759330547824,0.077375615826212
js_empirical_vs_markov,0.000747782668085696,0.0008793183817164968,0.000776841077292073,0.0008756009374260888,0.0010098673767823488
top_singular_value,0.041368120292948014,0.04644868212067268,0.043083853792071594,0.04640227554621725,0.05020939697314856
mi_excess_over_shuffle_bits,0.040161392407088645,0.04004497764291177,0.03390943513338831,0.03971708509433127,0.04798815387625867
rank4_improvement,0.7409288542261142,0.7500701266106675,0.7069989945626501,0.7510473410005645,0.7958053929764308
