scenario,kind,method,count,true_positive,false_positive,false_negative,precision,recovery,f1,density_drift,gap_drift,mean_gap_residual,std_gap_residual,median_abs_gap_residual
mixed_keep_75_noise_25,mixed,raw,17984,13488,4496,4496,0.75,0.75,0.75,0.12499416422418592,0.6399551747321671,-0.013832898689218139,9.59196339107821,6.028920269688678
mixed_keep_75_noise_25,mixed,sieve_cleaned,13488,13488,0,4496,1.0,0.75,0.8571428571428571,0.2845889767585735,0.7837081666815924,3.7219982968883656,12.238195521531326,6.072889763597315
mixed_keep_75_noise_25,mixed,density_only,17820,17820,0,164,1.0,0.9908807829181495,0.9954195062004245,0.048297535655435805,0.5871031353818527,0.1281861776221457,8.810723323647647,5.706376525106926
mixed_keep_75_noise_25,mixed,local_gap,17820,17820,0,164,1.0,0.9908807829181495,0.9954195062004245,0.017793599670235888,0.5824663682826888,0.12959362023442836,8.793214931127254,5.667198994394024
mixed_keep_50_noise_50,mixed,raw,17984,8992,8992,8992,0.5,0.5,0.5,0.17429017692602258,0.6809294893370431,-0.029900158414153357,10.288910272952476,6.41057620250521
mixed_keep_50_noise_50,mixed,sieve_cleaned,8992,8992,0,8992,1.0,0.5,0.6666666666666666,0.4968372371440035,1.3075577777082723,11.16068196255496,19.471369198457605,7.929020540912816
mixed_keep_50_noise_50,mixed,density_only,17821,17821,0,163,1.0,0.9909363879003559,0.9954475631894987,0.04169776100936387,0.5875041106033829,0.12798762007520711,8.862555101930063,5.707208529858314
mixed_keep_50_noise_50,mixed,local_gap,17820,17820,0,164,1.0,0.9908807829181495,0.9954195062004245,0.02966178414278177,0.5834205692470656,0.12932874533586142,8.845695100143123,5.67166275306707
mixed_keep_25_noise_100,mixed,raw,22480,4496,17984,13488,0.2,0.25,0.22222222222222224,0.2092931949370693,0.6246460787664097,-2.2969366468276995,8.427208236392834,6.676106556715213
mixed_keep_25_noise_100,mixed,sieve_cleaned,4496,4496,0,13488,1.0,0.25,0.4,0.7695731082188828,3.1528018723915663,33.35954357391496,41.76522943840431,20.655391007218782
mixed_keep_25_noise_100,mixed,density_only,17822,17822,0,162,1.0,0.9909919928825622,0.995475618611406,0.04171504776281925,0.5881068929798254,0.1244685026784824,8.984399920056013,5.701982619939827
mixed_keep_25_noise_100,mixed,local_gap,17820,17820,0,164,1.0,0.9908807829181495,0.9954195062004245,0.030441473190583,0.5841563142571254,0.12901401946772728,8.857850462504395,5.674287225205827
biased_low_missing_high_noise,biased_range,raw,17984,8992,8992,8992,0.5,0.5,0.5,0.10758005388003603,0.6485772097182887,-0.060185279991732246,9.779103080375052,6.1045658060259385
biased_low_missing_high_noise,biased_range,sieve_cleaned,8992,8992,0,8992,1.0,0.5,0.6666666666666666,0.13544027856446736,1.1249689002887904,11.652495874599401,73.29494855006497,5.29265160493485
biased_low_missing_high_noise,biased_range,density_only,17820,17820,0,164,1.0,0.9908807829181495,0.9954195062004245,0.031431228355156444,0.5874881505532256,0.1271741269357626,8.993336998355362,5.69982817888806
biased_low_missing_high_noise,biased_range,local_gap,17820,17820,0,164,1.0,0.9908807829181495,0.9954195062004245,0.016640475121675675,0.5851544997370067,0.12973552805587552,9.005556771203798,5.676327504411605
adversarial_mod6_noise_50,adversarial_mod6,raw,17984,8992,8992,8992,0.5,0.5,0.5,0.27134594524873806,0.6346879181073808,-0.05246589711171244,9.602765189145984,5.950773861664635
adversarial_mod6_noise_50,adversarial_mod6,sieve_cleaned,8992,8992,0,8992,1.0,0.5,0.6666666666666666,0.5311438993685963,1.3155711466193076,11.142358177890108,19.60032412037313,8.015087669457019
adversarial_mod6_noise_50,adversarial_mod6,density_only,17821,17821,0,163,1.0,0.9909363879003559,0.9954475631894987,0.0417742709181075,0.5873771343679304,0.1265885700277989,8.865855370925793,5.702057113384459
adversarial_mod6_noise_50,adversarial_mod6,local_gap,17820,17820,0,164,1.0,0.9908807829181495,0.9954195062004245,0.008775779378570778,0.583171067641963,0.13022210514268195,8.84807976509024,5.665105633185503
adversarial_mod6_noise_100,adversarial_mod6,raw,22480,4496,17984,13488,0.2,0.25,0.22222222222222224,0.2367820632559171,0.5584980724257614,-2.3178557875867725,7.415792844578321,5.914737241113823
adversarial_mod6_noise_100,adversarial_mod6,sieve_cleaned,4496,4496,0,13488,1.0,0.25,0.4,0.738270004167759,3.1535313919240964,33.36820865975935,40.61142835186396,21.425943241917174
adversarial_mod6_noise_100,adversarial_mod6,density_only,17822,17822,0,162,1.0,0.9909919928825622,0.995475618611406,0.04166686852587059,0.5876542191933819,0.126400492675829,8.919991943314933,5.697552694988952
adversarial_mod6_noise_100,adversarial_mod6,local_gap,17820,17820,0,164,1.0,0.9908807829181495,0.9954195062004245,0.0042073850228480664,0.5834149935873254,0.13030709741423321,8.861974858694522,5.66462457071542
