mode,singular_value,energy_share,cumulative_energy
1,0.047411822425005586,0.5573661432708562,0.5573661432708562
2,0.03218295617207174,0.256814271083408,0.8141804143542641
3,0.023735218037102084,0.13968627533502673,0.9538666896892909
4,0.009322370621400313,0.0215486474404167,0.9754153371297076
5,0.008570011801902849,0.018210846179398908,0.9936261833091066
6,0.00418729861573807,0.004347455578615095,0.9979736388877216
7,0.0028587407880046366,0.0020263611122784365,1.0
8,1.7901378480182185e-17,7.945847681063173e-32,1.0
