model,MAE,RMSE,bias,corr,RMSE_improvement_vs_log,MAE_improvement_vs_log
local_rolling,7.646248658096127,10.224070181210774,0.008432771313267584,0.10681017349385268,9.508230513965987e-05,-0.00028904361339976425
combined,7.64625063804629,10.22407111469321,0.00842983482756263,0.10680925562932256,9.499101139254229e-05,-0.00028930263223925223
sinusoidal_log,7.648572621692993,10.225011898596815,-5.693613929120591e-16,0.10585677245583851,2.9831872060404052e-06,-0.0005930665961260129
affine_log,7.648604992173278,10.225022637413554,3.5204788416699836e-15,0.10584696174924475,1.9329405354095996e-06,-0.0005973013311202369
log_baseline,7.6440391973855455,10.22504240181249,0.019056081893192363,0.10584696174924486,0.0,0.0
