shuffle_id,mode,singular_value,energy_share,cumulative_energy
23,5,0.0044494804252041414,0.0777124363962862,0.9502471524586792
23,6,0.003391586654470084,0.04515207976742398,0.9953992322261032
23,7,0.001082627848613496,0.004600767773896808,1.0
23,8,5.113149324345658e-18,1.0262398529369663e-31,1.0
24,1,0.011008857033277584,0.3837855563052782,0.3837855563052782
24,2,0.010711964595239452,0.3633644367538379,0.7471499930591161
24,3,0.005967344644749139,0.11276294381772282,0.8599129368768389
24,4,0.004840368274316307,0.07419266547968832,0.9341056023565272
24,5,0.003658283020691827,0.042379786572843144,0.9764853889293703
24,6,0.002724827959670081,0.02351160822664775,0.9999969971560181
24,7,3.079387218558137e-05,3.0028439817701207e-06,0.9999999999999999
24,8,1.485484540283534e-17,6.987799499475047e-31,0.9999999999999999
25,1,0.009906372975376852,0.34508089617651516,0.34508089617651516
25,2,0.008313188522032736,0.2430114996585507,0.5880923958350659
25,3,0.0072159501375790224,0.183095897728817,0.7711882935638829
25,4,0.006631049901550849,0.15461661435247362,0.9258049079163565
25,5,0.004078673946616651,0.05849645454811018,0.9843013624644666
25,6,0.0020443133353396734,0.014695571838329598,0.9989969343027962
25,7,0.000534095484051569,0.0010030656972038392,1.0
25,8,1.4506776068930222e-17,7.400028311827175e-31,1.0
26,1,0.011136669682988053,0.5048255950640493,0.5048255950640493
26,2,0.0068029765077293955,0.18837732749058186,0.6932029225546312
26,3,0.005664274495271532,0.13059281146615992,0.8237957340207911
26,4,0.005058145800018925,0.10413899353417509,0.9279347275549662
26,5,0.0037707538917698532,0.05787447503782093,0.9858092025927871
26,6,0.0018394811382858632,0.013772772277358484,0.9995819748701457
26,7,0.00032046887135044944,0.00041802512985436997,1.0
26,8,1.0246228879823352e-17,4.273254853686753e-31,1.0
27,1,0.009031132739846398,0.29453730449250015,0.29453730449250015
27,2,0.008153258357445016,0.2400591507635909,0.5345964552560911
27,3,0.007547179752577931,0.20569571485002458,0.7402921701061157
27,4,0.005910742255121922,0.12616529295668505,0.8664574630628008
27,5,0.005148677763525927,0.09572982839770425,0.9621872914605051
27,6,0.002820345669165552,0.028725033017673634,0.9909123244781787
27,7,0.0015863480446704256,0.00908767552182136,1.0
27,8,1.5864548582713464e-18,9.088899364255434e-33,1.0
28,1,0.013983910855150241,0.4652648634249443,0.4652648634249443
28,2,0.011281063326444284,0.30279105199948597,0.7680559154244302
28,3,0.006500899333518516,0.10055179889615093,0.8686077143205811
28,4,0.0054541577504111875,0.07077801073126094,0.939385725051842
28,5,0.0045067670208665716,0.04832514633534344,0.9877108713871855
28,6,0.0022723538995025362,0.012285558448142601,0.9999964298353281
28,7,3.8736702017058576e-05,3.5701646717535103e-06,0.9999999999999999
28,8,1.3010339402387694e-17,4.027357799067814e-31,0.9999999999999999
29,1,0.013028719884158779,0.4041269742594075,0.4041269742594075
29,2,0.010451929268703438,0.260080187497775,0.6642071617571825
29,3,0.007281477885673023,0.12622733558318186,0.7904344973403644
29,4,0.006669823909585163,0.10591149098248114,0.8963459883228455
29,5,0.00527098843524172,0.06614522105066872,0.9624912093735143
29,6,0.0036384097414479117,0.031516469172825544,0.9940076785463399
29,7,0.0015865011039548627,0.00599232145366015,1.0
29,8,1.827326566282359e-17,7.94962571816833e-31,1.0
30,1,0.011977381875477493,0.48027625516687694,0.48027625516687694
30,2,0.00823597460418483,0.2270896392709902,0.7073658944378671
30,3,0.006633147254001946,0.14730130691673904,0.8546672013546062
30,4,0.00532641056218014,0.09498097007569188,0.949648171430298
30,5,0.0036054160430449684,0.04351891875699319,0.9931670901872912
30,6,0.001411940763279197,0.006674216282781203,0.9998413064700724
30,7,0.00021771880847110407,0.00015869352992762273,1.0
30,8,2.649417456420129e-17,2.3500013392143957e-30,1.0
31,1,0.009310758614579263,0.37550332976537737,0.37550332976537737
31,2,0.008159254140828728,0.2883663487567395,0.6638696785221169
31,3,0.0058447276009945676,0.14796950056108998,0.8118391790832069
31,4,0.0047889708476788525,0.09934088943421772,0.9111800685174246
31,5,0.003776428285607549,0.06177405936599241,0.9729541278834171
31,6,0.0024975095550536564,0.027018297180844763,0.9999724250642619
31,7,7.978760441903037e-05,2.757493573819613e-05,1.0
31,8,3.121528939431683e-18,4.220640758604812e-32,1.0
32,1,0.010132002457656839,0.4230024708218838,0.4230024708218838
32,2,0.008841054702282414,0.3220775742342855,0.7450800450561693
32,3,0.005129885577720947,0.10843455156593057,0.8535145966220998
32,4,0.004856638800682237,0.09719052803324785,0.9507051246553477
32,5,0.0031134749095336886,0.03994321994111877,0.9906483445964664
32,6,0.0013209482704591824,0.007189918249182561,0.997838262845649
32,7,0.0007243113286286833,0.002161737154350832,0.9999999999999999
32,8,1.5982076752378372e-18,1.0524918831375342e-32,0.9999999999999999
33,1,0.011152262149375874,0.3939313501376778,0.3939313501376778
33,2,0.008611104755873065,0.2348617813213272,0.6287931314590051
33,3,0.007617377456721942,0.18378309374274845,0.8125762252017535
33,4,0.006298904503265045,0.12566798561565737,0.9382442108174109
33,5,0.0040221122345751315,0.05123927494639855,0.9894834857638095
33,6,0.0018035699704758625,0.010302926384067613,0.9997864121478771
33,7,0.0002596814763249474,0.0002135878521229521,1.0
33,8,7.815172623197716e-18,1.9345134603778916e-31,1.0
34,1,0.011368568179437257,0.4078810781489049,0.4078810781489049
34,2,0.008507020797879485,0.22838995891072064,0.6362710370596255
34,3,0.00835479532005923,0.2202894237376515,0.856560460797277
34,4,0.004783875271085205,0.07222402919951473,0.9287844899967918
34,5,0.003754964092364322,0.04449729325564352,0.9732817832524353
34,6,0.002716503826929435,0.023288561285339644,0.9965703445377749
34,7,0.0010424716141100186,0.00342965546222493,0.9999999999999999
34,8,6.538817569774122e-17,1.349337092564301e-29,0.9999999999999999
35,1,0.009496208388461642,0.4194149170624034,0.4194149170624034
35,2,0.008075333026430582,0.3032943243219084,0.7227092413843118
35,3,0.004994586316027647,0.11602256055122835,0.8387318019355402
35,4,0.004091201166594089,0.07784757148510772,0.9165793734206479
35,5,0.0032865487544509837,0.05023698399160325,0.9668163574122511
35,6,0.0026697277360968417,0.033149527827632995,0.9999658852398842
35,7,8.56444965844161e-05,3.4114760115859794e-05,1.0
35,8,1.4329333778510906e-17,9.549824662361589e-31,1.0
36,1,0.01183077756781114,0.3759725192240355,0.3759725192240355
