window_index,window_midpoint,bin_left,bin_right,bin_center,density
0,134.64370678952923,0.0,0.2,0.1,0.0
0,134.64370678952923,0.2,0.4,0.30000000000000004,0.625
0,134.64370678952923,0.4,0.6000000000000001,0.5,0.9374999999999997
0,134.64370678952923,0.6000000000000001,0.8,0.7000000000000001,0.31250000000000006
0,134.64370678952923,0.8,1.0,0.9,0.9375000000000002
0,134.64370678952923,1.0,1.2000000000000002,1.1,1.249999999999999
0,134.64370678952923,1.2000000000000002,1.4000000000000001,1.3000000000000003,0.31250000000000006
0,134.64370678952923,1.4000000000000001,1.6,1.5,0.0
0,134.64370678952923,1.6,1.8,1.7000000000000002,0.0
0,134.64370678952923,1.8,2.0,1.9,0.0
0,134.64370678952923,2.0,2.2,2.1,0.3124999999999997
0,134.64370678952923,2.2,2.4000000000000004,2.3000000000000003,0.0
0,134.64370678952923,2.4000000000000004,2.6,2.5,0.0
0,134.64370678952923,2.6,2.8000000000000003,2.7,0.0
0,134.64370678952923,2.8000000000000003,3.0,2.9000000000000004,0.31250000000000044
0,134.64370678952923,3.0,3.2,3.1,0.0
0,134.64370678952923,3.2,3.4000000000000004,3.3000000000000003,0.0
0,134.64370678952923,3.4000000000000004,3.6,3.5,0.0
0,134.64370678952923,3.6,3.8000000000000003,3.7,0.0
0,134.64370678952923,3.8000000000000003,4.0,3.9000000000000004,0.0
0,134.64370678952923,4.0,4.2,4.1,0.0
0,134.64370678952923,4.2,4.4,4.300000000000001,0.0
0,134.64370678952923,4.4,4.6000000000000005,4.5,0.0
0,134.64370678952923,4.6000000000000005,4.800000000000001,4.700000000000001,0.0
0,134.64370678952923,4.800000000000001,5.0,4.9,0.0
0,134.64370678952923,5.0,5.2,5.1,0.0
0,134.64370678952923,5.2,5.4,5.300000000000001,0.0
0,134.64370678952923,5.4,5.6000000000000005,5.5,0.0
0,134.64370678952923,5.6000000000000005,5.800000000000001,5.700000000000001,0.0
0,134.64370678952923,5.800000000000001,6.0,5.9,0.0
0,134.64370678952923,6.0,6.2,6.1,0.0
0,134.64370678952923,6.2,6.4,6.300000000000001,0.0
0,134.64370678952923,6.4,6.6000000000000005,6.5,0.0
0,134.64370678952923,6.6000000000000005,6.800000000000001,6.700000000000001,0.0
