anchor_residue,normalized_entropy,max_transition_probability,most_likely_next_residue
1,0.8981329337321184,0.2790722761596548,7
7,0.893260341104071,0.2886979865771812,11
11,0.8934131634068897,0.28716216216216217,13
13,0.8954565223895088,0.28606658446362515,17
17,0.88820934274873,0.2887565711833494,19
19,0.8967654366317075,0.28634432313236163,23
23,0.8853552726857077,0.28493091769259715,29
29,0.8842281815803954,0.28678799591990123,1
