candidate,method,bin_left,bin_right,score,scenario,kind,gap_score,neighbor_score,density_score
65677,density_only,62501,68751,0.9918400663357035,mixed_keep_75_noise_25,mixed,,,
103177,density_only,100001,106250,0.9917589852156574,mixed_keep_75_noise_25,mixed,,,
140677,density_only,137500,143750,0.9916815768763256,mixed_keep_75_noise_25,mixed,,,
184321,density_only,181250,187500,0.9913609539722731,mixed_keep_75_noise_25,mixed,,,
153071,density_only,150000,156250,0.991359060159905,mixed_keep_75_noise_25,mixed,,,
96931,density_only,93751,100001,0.9912003995452447,mixed_keep_75_noise_25,mixed,,,
28181,density_only,25001,31251,0.9911994238499113,mixed_keep_75_noise_25,mixed,,,
96821,density_only,93751,100001,0.9911989617784394,mixed_keep_75_noise_25,mixed,,,
71821,density_only,68751,75001,0.9911983654347482,mixed_keep_75_noise_25,mixed,,,
159431,density_only,156250,162500,0.991041530992276,mixed_keep_75_noise_25,mixed,,,
103069,density_only,100001,106250,0.9909591852652764,mixed_keep_75_noise_25,mixed,,,
15683,density_only,12501,18751,0.9908809803984177,mixed_keep_75_noise_25,mixed,,,
71933,density_only,68751,75001,0.9908803140672362,mixed_keep_75_noise_25,mixed,,,
46819,density_only,43751,50001,0.9908802921494616,mixed_keep_75_noise_25,mixed,,,
53069,density_only,50001,56251,0.9908791928984119,mixed_keep_75_noise_25,mixed,,,
9319,density_only,6251,12501,0.9908790448934861,mixed_keep_75_noise_25,mixed,,,
153067,density_only,150000,156250,0.9907196950441853,mixed_keep_75_noise_25,mixed,,,
178067,density_only,175000,181250,0.9907194077333618,mixed_keep_75_noise_25,mixed,,,
178183,density_only,175000,181250,0.9907191432339378,mixed_keep_75_noise_25,mixed,,,
140683,density_only,137500,143750,0.990718553864999,mixed_keep_75_noise_25,mixed,,,
103067,density_only,100001,106250,0.9906381005470614,mixed_keep_75_noise_25,mixed,,,
46817,density_only,43751,50001,0.9905594331112091,mixed_keep_75_noise_25,mixed,,,
3067,density_only,2,6251,0.9904782584997349,mixed_keep_75_noise_25,mixed,,,
178187,density_only,175000,181250,0.9900800258614386,mixed_keep_75_noise_25,mixed,,,
34313,density_only,31251,37501,0.9899201157514006,mixed_keep_75_noise_25,mixed,,,
9439,density_only,6251,12501,0.9899197201205694,mixed_keep_75_noise_25,mixed,,,
171811,density_only,168750,175000,0.9897604123211149,mixed_keep_75_noise_25,mixed,,,
128189,density_only,125000,131250,0.9897603556132833,mixed_keep_75_noise_25,mixed,,,
71941,density_only,68751,75001,0.9896004012580727,mixed_keep_75_noise_25,mixed,,,
46811,density_only,43751,50001,0.9895995905924777,mixed_keep_75_noise_25,mixed,,,
184441,density_only,181250,187500,0.989441356612015,mixed_keep_75_noise_25,mixed,,,
184309,density_only,181250,187500,0.9894398145831951,mixed_keep_75_noise_25,mixed,,,
109441,density_only,106250,112500,0.989439587457493,mixed_keep_75_noise_25,mixed,,,
153191,density_only,150000,156250,0.9894389726250706,mixed_keep_75_noise_25,mixed,,,
84443,density_only,81251,87501,0.9892811145996149,mixed_keep_75_noise_25,mixed,,,
78059,density_only,75001,81251,0.9892809665773247,mixed_keep_75_noise_25,mixed,,,
21943,density_only,18751,25001,0.9892799973618739,mixed_keep_75_noise_25,mixed,,,
65557,density_only,62501,68751,0.9889599728515068,mixed_keep_75_noise_25,mixed,,,
28057,density_only,25001,31251,0.9889597231951709,mixed_keep_75_noise_25,mixed,,,
84307,density_only,81251,87501,0.9889584412745205,mixed_keep_75_noise_25,mixed,,,
46807,density_only,43751,50001,0.9889582582056823,mixed_keep_75_noise_25,mixed,,,
184447,density_only,181250,187500,0.9884799959693176,mixed_keep_75_noise_25,mixed,,,
165553,density_only,162500,168750,0.9884796267372131,mixed_keep_75_noise_25,mixed,,,
140551,density_only,137500,143750,0.9881598289326203,mixed_keep_75_noise_25,mixed,,,
146801,density_only,143750,150000,0.9881595015772312,mixed_keep_75_noise_25,mixed,,,
28051,density_only,25001,31251,0.9879994648407864,mixed_keep_75_noise_25,mixed,,,
109451,density_only,106250,112500,0.9878408785493228,mixed_keep_75_noise_25,mixed,,,
140549,density_only,137500,143750,0.9878389450467933,mixed_keep_75_noise_25,mixed,,,
171799,density_only,168750,175000,0.9878380454946495,mixed_keep_75_noise_25,mixed,,,
59453,density_only,56251,62501,0.987679569706971,mixed_keep_75_noise_25,mixed,,,
109453,density_only,106250,112500,0.9875209581664649,mixed_keep_75_noise_25,mixed,,,
146953,density_only,143750,150000,0.9875200302545452,mixed_keep_75_noise_25,mixed,,,
128047,density_only,125000,131250,0.9875180221353471,mixed_keep_75_noise_25,mixed,,,
90547,density_only,87501,93751,0.9873615093652858,mixed_keep_75_noise_25,mixed,,,
46957,density_only,43751,50001,0.987039093434032,mixed_keep_75_noise_25,mixed,,,
165707,density_only,162500,168750,0.9868796727934864,mixed_keep_75_noise_25,mixed,,,
103043,density_only,100001,106250,0.9867956307656947,mixed_keep_75_noise_25,mixed,,,
96959,density_only,93751,100001,0.9867196049998604,mixed_keep_75_noise_25,mixed,,,
40709,density_only,37501,43751,0.9867173642039322,mixed_keep_75_noise_25,mixed,,,
190709,density_only,187500,193750,0.9865613317047621,mixed_keep_75_noise_25,mixed,,,
165541,density_only,162500,168750,0.9865600033648427,mixed_keep_75_noise_25,mixed,,,
28211,density_only,25001,31251,0.9863996596113042,mixed_keep_75_noise_25,mixed,,,
9461,density_only,6251,12501,0.9863991191097595,mixed_keep_75_noise_25,mixed,,,
3041,density_only,2,6251,0.9863182795727169,mixed_keep_75_noise_25,mixed,,,
178039,density_only,175000,181250,0.9862389600978846,mixed_keep_75_noise_25,mixed,,,
65539,density_only,62501,68751,0.9860812568235406,mixed_keep_75_noise_25,mixed,,,
71963,density_only,68751,75001,0.9860802026841288,mixed_keep_75_noise_25,mixed,,,
84463,density_only,81251,87501,0.986079891954899,mixed_keep_75_noise_25,mixed,,,
65713,density_only,62501,68751,0.9860787683526624,mixed_keep_75_noise_25,mixed,,,
71789,density_only,68751,75001,0.9860786424820266,mixed_keep_75_noise_25,mixed,,,
121787,density_only,118750,125000,0.9859208196955466,mixed_keep_75_noise_25,mixed,,,
184463,density_only,181250,187500,0.985920055625945,mixed_keep_75_noise_25,mixed,,,
165713,density_only,162500,168750,0.9859198816545708,mixed_keep_75_noise_25,mixed,,,
128213,density_only,125000,131250,0.9859196792643498,mixed_keep_75_noise_25,mixed,,,
159287,density_only,156250,162500,0.985919616404282,mixed_keep_75_noise_25,mixed,,,
134287,density_only,131250,137500,0.9859182790298068,mixed_keep_75_noise_25,mixed,,,
96787,density_only,93751,100001,0.9857571723781697,mixed_keep_75_noise_25,mixed,,,
3217,density_only,2,6251,0.9855181197927404,mixed_keep_75_noise_25,mixed,,,
65717,density_only,62501,68751,0.9854409906318672,mixed_keep_75_noise_25,mixed,,,
140717,density_only,137500,143750,0.9852804344426108,mixed_keep_75_noise_25,mixed,,,
34469,density_only,31251,37501,0.9851197973913356,mixed_keep_75_noise_25,mixed,,,
9281,density_only,6251,12501,0.9848012097573331,mixed_keep_75_noise_25,mixed,,,
78031,density_only,75001,81251,0.984801062447983,mixed_keep_75_noise_25,mixed,,,
59471,density_only,56251,62501,0.9847985317435393,mixed_keep_75_noise_25,mixed,,,
184279,density_only,181250,187500,0.9846427753072106,mixed_keep_75_noise_25,mixed,,,
134471,density_only,131250,137500,0.9846391327330588,mixed_keep_75_noise_25,mixed,,,
96779,density_only,93751,100001,0.9844817133149811,mixed_keep_75_noise_25,mixed,,,
96973,density_only,93751,100001,0.9844787007598196,mixed_keep_75_noise_25,mixed,,,
140527,density_only,137500,143750,0.9843205757235701,mixed_keep_75_noise_25,mixed,,,
178223,density_only,175000,181250,0.9843197291287543,mixed_keep_75_noise_25,mixed,,,
146777,density_only,143750,150000,0.9843194714121075,mixed_keep_75_noise_25,mixed,,,
15527,density_only,12501,18751,0.9841597511628006,mixed_keep_75_noise_25,mixed,,,
115523,density_only,112500,118750,0.9836802666314591,mixed_keep_75_noise_25,mixed,,,
146977,density_only,143750,150000,0.9836795715118367,mixed_keep_75_noise_25,mixed,,,
3229,density_only,2,6251,0.9835956764991315,mixed_keep_75_noise_25,mixed,,,
3023,density_only,2,6251,0.9834373330486718,mixed_keep_75_noise_25,mixed,,,
140521,density_only,137500,143750,0.9833612641796088,mixed_keep_75_noise_25,mixed,,,
178021,density_only,175000,181250,0.9833585633221926,mixed_keep_75_noise_25,mixed,,,
