0->0,0->1,0->2,0->3,0->4,0->5,0->6,0->7,1->0,1->1,1->2,1->3,1->4,1->5,1->6,1->7,2->0,2->1,2->2,2->3,2->4,2->5,2->6,2->7,3->0,3->1,3->2,3->3,3->4,3->5,3->6,3->7,4->0,4->1,4->2,4->3,4->4,4->5,4->6,4->7,5->0,5->1,5->2,5->3,5->4,5->5,5->6,5->7,6->0,6->1,6->2,6->3,6->4,6->5,6->6,6->7,7->0,7->1,7->2,7->3,7->4,7->5,7->6,7->7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005421378182192127,7.304266379735519e-17,0.0002863075280925831,4.386780270605045e-05,0.0005148606760072459,0.0007549641575677925,0.0009701267406259373,0.0,2.8448874740757964e-17,1.5778349753229772e-32,1.44954866071928e-17,2.9259719652060955e-17,6.503821813812188e-17,3.6776053877522556e-17,1.2955832742134248e-17,0.0,0.008021822115946133,3.280385246097606e-17,0.0042363915288806675,0.0006490964072859984,0.007618211861159893,0.011170938407261799,0.014354623273974682,0.0,0.002192209765241926,1.3882497428661346e-17,0.0011577243604722343,0.0001773855692716042,0.002081910841992163,0.0030528027060885005,0.003922842574011404,0.0,0.0034040267391499124,5.897693949961636e-17,0.0017976950665013257,0.0002754413516690077,0.0032327564118904972,0.004740341095909435,0.0060913244832606905,0.0,0.004608584516732378,1.0772022330502064e-17,0.002433832129945912,0.00037290974661829956,0.004376708024768319,0.006417770555924643,0.008246816447387657,0.0,0.0015344560253497674,1.4278453328424682e-17,0.0008103590946204053,0.0001241625504636093,0.001457251348084998,0.002136835434623563,0.0027458273015692897
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001518174811213288,9.053193820969702e-18,0.0029136828811541383,0.002108433289108213,0.0003319729691851625,0.0021058542760215293,0.0014807601719594166,0.0,9.469142616060008e-18,1.2188963446364293e-32,1.4548723296204753e-17,4.410123819399067e-17,2.8805934061528535e-17,2.0252876800778375e-17,1.2200801182358158e-19,0.0,0.000407549606466745,1.134246927125269e-18,0.007821696834622487,0.005660027757308723,0.0008911717671767072,0.005653104471790378,0.003975057555093812,0.0,0.00022234123154799001,2.136572999682552e-18,0.004267175527772608,0.003087863470456427,0.00048618431990093275,0.003084086428829562,0.002168617459765057,0.0,6.138331045665857e-05,3.398333251329795e-17,0.0011780692154565106,0.0008524882260963623,0.000134224330967464,0.000851445471600501,0.0005987055026945021,0.0,0.00015387420734938595,2.7427185320931445e-17,0.002953155595013246,0.0021369969960341323,0.0003364703268399494,0.0021343830441260675,0.0015008205645799244,0.0,8.902708640634582e-05,5.5254266812537445e-17,0.0017086088881590918,0.0012364035500096737,0.00019467182562937085,0.0012348911943891316,0.0008683305954144752
0.012137578364175172,0.008493492696513269,0.012126186473765819,0.006345820033264317,0.0014303599491084854,0.028541588738239573,0.02601431708916807,0.003233192472858795,0.011257922254428815,0.011514911858237192,0.017829262763501955,0.006347473546118674,0.0018688035328887215,0.014573862821363345,0.01781946286810028,0.010361982307317635,0.012760991272422154,0.01051848226292345,0.017268445797038526,0.0031866685663228256,0.001012526009467482,0.01572374811586756,0.018868861527784716,0.009706680818721489,0.003534186302031339,0.0007066382812087046,0.0013542756112568943,0.000663964338358608,0.0012733121737431574,0.008452465946339596,0.007086759803009657,0.0007169141015983954,0.011911125456044747,0.019094053671896177,0.030925289077239335,0.008591683169912736,0.00774579515394885,0.004729900520053877,0.008415200146081013,0.02411722861103052,0.006702653458976818,0.009430655281957606,0.01091965641037317,0.013871550468470288,0.0004071064681619718,0.0243195017825968,0.021308009727404723,0.003194706288160515,0.013392602895747691,0.015837325471419278,0.02682029344220474,0.003922627096887815,0.005287763361934317,0.0007278365018013669,0.01143105142621019,0.019926937358445133,0.0002886988142639258,0.0033431650802845103,0.0030850618561053395,0.007024910005106239,0.0007578615920081355,0.006360282614813986,0.005225573046727702,0.0010071892770637525
9.334584422951431e-05,7.44799835187793e-18,0.002655835383088138,0.007352254084895102,0.0012879296632497383,0.004206929227766075,0.012673667541415325,0.011968573196458936,5.011652316230373e-18,4.7148123194842185e-34,6.224532923394526e-18,1.007514272793549e-17,7.417251601188989e-18,2.80082397286649e-18,1.0131360034056736e-17,5.773090929365329e-18,0.0025864031078744933,1.919277443292794e-17,0.0006110086362787759,0.00078818572306159,0.005184397669558428,0.0046625521492142386,0.007510835176716239,0.004047083229819282,0.00289841244706919,5.231282453769715e-18,0.0012531831860092338,0.0006714405891691949,0.0055761310664827046,0.006153791631734365,0.011164829379534093,0.007107013770402265,0.00024741164168186336,1.2857901734082454e-17,9.403830211647535e-05,0.0004924351657067949,0.0005586159060342322,0.00019687646856557384,1.8634564411507126e-05,0.00030270363220955,0.0010636432793310509,8.46012983568198e-18,0.006037514021775131,0.015500767801927584,0.00024654060364842157,0.011371164805464067,0.031059113840893604,0.027841018932576133,0.0032654596427157713,6.261937688186695e-18,0.003983089673102291,0.01399834886278418,0.00850003007877599,0.0018813621887969062,0.013500249444547786,0.016399576009392965,9.213887333453519e-05,1.253258156488865e-17,1.9704922423896543e-06,8.221983031760083e-05,0.0001928284927914404,0.00013375658574411517,0.00017187446866325298,5.461717979984848e-05
0.008267975258562456,5.460567618562981e-18,0.001361417966670539,0.004032237464516933,0.012796035386363598,0.005672765734359044,0.00019755695796028205,0.006340804079793413,9.387749136031274e-18,2.5752588859708806e-33,7.450201973717594e-19,6.1089753741956815e-18,2.295213326380901e-19,1.7007255092256842e-18,9.376118553851058e-18,6.823528771231719e-18,0.0044595135682129056,6.882209989298818e-18,0.002112525662367748,0.002097135928160118,0.009961653950341195,0.00533957307315279,0.0010695481853688384,0.0008915911421722425,0.007413970942017692,5.945777600566833e-18,0.0002514478308816015,0.0035755419967867033,0.013056719933606766,0.006265845005508433,0.0004310725715544871,0.004378262751394003,0.007565727591557284,4.723852355348823e-18,0.00033719721956665394,0.003646528759568791,0.013410611121346103,0.00645864985715093,0.00047319526784464494,0.0043962931351996595,0.007406302278659502,4.155290025817411e-18,0.0009388274744927608,0.0036043398369326896,0.011764164436360419,0.005306359538410237,6.1000699073984754e-05,0.005430663993046127,0.004641167577858863,9.416443103221373e-18,0.0029480029411927088,0.0023231004389532156,0.004835793222443573,0.001435520164301412,0.0010130759569485712,0.005498921942904501,0.0018974085142064896,3.591145241145168e-18,0.0005523191931624781,0.0009319044641560165,0.0026787110472370947,0.0011097256245340414,0.0001444416987134156,0.0016682050500994722
0.0012710998518386946,0.0007996749253909134,0.010246608482033844,0.003087556428612293,0.0019095425778633754,0.0006998967028795412,0.0035825214314435987,0.013822437692063566,0.0013982934791101596,0.009378248835462684,0.007884179317893834,0.003843780334792407,0.0027908469833259966,0.009163984801343672,0.011897144893949807,0.019912420305375184,0.0006076239856807747,0.0018646511991558534,0.000661136186156458,0.0006084262078437518,0.002111186204639729,0.001805387113908291,0.0030511983001164505,0.002757934389911884,0.0002510502796630523,0.007859977343072665,0.007714998533091525,0.0016675697651676227,0.0018776801118332775,0.00778565086295852,0.006764989657894474,0.0014854959816302826,0.0004600402225586296,0.0033609408593258203,0.0014407780099150117,0.001282536004672201,0.0028159173099985093,0.0033453656856413383,0.0021709394309711375,0.0017879273301428487,0.003341273191789963,0.007295048629018568,0.0020147793799841513,0.0051620222056961975,0.014264302822564181,0.007010654672776236,0.013970871725788932,0.009940249724446354,0.002444440140496376,0.012414994222258651,0.0022364787494839593,0.011108058238602184,0.021179928687772014,0.012385063062771831,0.006543349716347473,0.016377327615011372,0.0009471087167880893,0.00033965042380189325,0.0012963979196743097,0.0015325835077705657,0.00415229756203344,0.0002802207837956719,0.0023427534040127637,0.0019071163462118582
0.0015121997502213769,0.005599717891505216,0.00950800202100431,0.002841658557802468,0.01593875809562627,0.015419678409007768,0.007446425521260822,0.002727762270795256,0.006307248849135902,0.010235127248693788,0.012594699539023625,0.007760343176451787,0.002131649860203779,0.003738849863269745,0.01068821973211583,0.012746052837947296,0.0004282990842541072,0.0018180951910094292,0.003128642773397111,0.0008716310866302424,0.00554027030210031,0.005465216070906755,0.002415080692878353,0.0007362553393086609,0.003930238458679789,0.003279303034895707,0.0018352463388108912,0.003918522701272487,0.012880667029516072,0.017470228117070333,0.0023268393792819225,0.008372172920323778,0.00404946631152911,0.004793834932478877,0.004474474713378647,0.004435136497218717,0.0072065592861176135,0.011485708324018774,0.004171300643111192,0.00838413971442626,0.0025541543236254176,0.0027331418535190867,0.0019257928376785619,0.002668160418676766,0.0067463088048456635,0.009483010583393573,0.001804730994559918,0.005234775693900639,0.0009692600224386304,0.0031392779188639565,0.005222059927466552,0.0016883291964904582,0.008155275144372597,0.007687175658794105,0.004144792282855409,0.0018110405857826445,0.0056812503170320106,0.01046540318727633,0.0141073642683423,0.007403781261004015,0.008534015610843916,0.0035693495374030347,0.01180505736420431,0.01140523141260489
0.009255280891104292,0.003266639385350111,0.00439304180003864,0.0060663501925022414,0.0077697923070064075,0.0026981039141250494,0.002757212565450046,0.011162580502666025,0.0022858018303692656,0.0002995633774615161,0.0002277389528756225,0.0005868091610102127,0.0001870574523644697,0.0010170075043419158,0.004151480295797312,0.0033542621029999456,0.0024909696550209567,0.006184299131623366,0.0067050957236123795,1.1299695714768986e-05,0.010478192070037936,0.0023795725383659993,0.004924727671079593,0.005974163570009518,0.001865005486632057,0.0034046395760589446,0.003471957022647014,0.0014735535087289711,0.005140461606523275,0.0001712290500790123,0.006709948895630397,0.0009394888145358091,5.938670266433105e-06,5.6672839011603915e-05,0.00010159671673563853,0.00031374544352364905,0.000183791575329037,0.00017019825239675962,0.0006792558399311074,0.00030105452548341224,0.010882860249605256,0.007610612419938226,0.006764358158033359,0.010567628539395088,0.008986935740508194,0.00036003532370619193,0.015594497764004251,0.006778549251486465,0.00014149955627753771,0.000629134981464022,0.0010128214502071447,0.0025953491335248525,0.001781955952982247,0.0014412208870812973,0.006071418196154196,0.0026101479717092952,0.006006285003783418,0.0013163602793231166,0.0008273135160386811,0.00420327963189206,0.0006141322163965126,0.0011162077150388763,0.006895442558609624,0.006083559448643201
0.0006908552257401668,0.0033882055470352383,0.0032326414966584067,0.00013659876337541836,0.004390414942898196,0.0010291733100530713,0.000528691242985828,0.0031801123630900057,0.0012877459539758478,0.00416586218082466,0.004543984843951191,0.0007066397551659595,0.0047826923242822025,0.0011942265728113414,5.1605741885178e-05,0.0033338764739015963,1.3104560655875785e-05,0.0020740683040845016,0.00146116950352071,0.0007919905439286909,0.0027806178854312526,0.0003435271062328135,0.0007717393956876324,0.001817045391048319,0.0009463731627534985,0.0055865129957509835,0.005232358312297399,0.0010766925066454658,0.005882334967430309,0.0006083007740155322,0.0003970765544767489,0.0032938903950383964,0.001652062425868888,0.003258004476891018,0.004281084981184244,0.002115666034382539,0.004011905988512346,0.0016393180306732286,0.0005062984884731686,0.0033529735821735736,0.000555942648147045,0.0016423561519312898,0.0007440623926222223,0.0033605438838324184,0.00018389202803145927,0.0018085153355481744,3.240879626725205e-05,0.0021106804837441972,0.000893851897700252,0.0016557955288949897,0.002517588778369083,0.0007512468558458071,0.0009294937741262423,0.0011662433511423131,0.0017360996654338344,0.002282655592490631,0.0012995561968838776,0.0033975942676788655,0.004070084734150365,0.00060183961567586,0.003121568392485523,0.0006381990480513397,0.0006476524581831358,0.0018104907715152316
0.0017681735545283413,0.00016861568266525982,0.0008725421583600946,0.000855777653101976,0.0003005729028184124,0.0006845530528567061,0.0009729683981614945,0.00216656377956848,0.0033193381867511872,0.00019354911179679524,0.0011565568401034933,0.0030515501736411606,0.00038300252051521027,0.0022441341386989022,0.0012761321738288412,0.0020549458532218776,0.0029676211328751247,0.002250178070465933,0.0013926640950758704,0.003142304814688474,0.0012710707681940197,0.003151479514188724,0.000768643539021902,0.0016168546278135985,0.0011275431892059816,0.00035959957008745895,2.00907209401683e-05,0.00027778440497547513,0.0001761372550314437,0.0005118715561603453,0.0006600935907902332,0.0018583523370648747,0.0014406052585310657,0.0017274261944483728,0.0013887224973725592,0.0019958644197171603,0.0010850635590486553,0.002053490943555257,0.00014182605531935268,0.00021629058156347409,0.004877936294132497,0.0014133187649827603,0.0034620963708711736,0.0015531508490580857,0.001584349347168298,0.0010535990743957245,0.003065487871461981,0.006979444132212368,0.0007863436090823333,2.085496720004125e-05,0.0005166119886615961,0.0026421378640528164,0.0010955678657772593,0.0014699878231136199,0.00034601365760835584,0.0023231449767036074,0.004628866209654543,0.0007861283536198804,0.0028433532813833227,0.0040070657827367484,4.171126068045622e-05,0.002528190517870335,0.0019817775952760477,0.003032832351619932
