N,11->13,17->19,29->1
1000,0.4645669291338583,0.42857142857142855,0.48
3000,0.3994708994708995,0.3785900783289817,0.37433155080213903
10000,0.34615384615384615,0.35135135135135137,0.3451043338683788
30000,0.31937033084311633,0.3186404673393521,0.3134962805526036
100000,0.29360441847434565,0.2944280118314813,0.2927568602425016
