set,x,count_leq_x,density_leq_x
sieve_primes,100,25,0.25252525252525254
sieve_primes,111,29,0.2636363636363636
sieve_primes,124,30,0.24390243902439024
sieve_primes,139,34,0.2463768115942029
sieve_primes,155,36,0.23376623376623376
sieve_primes,173,40,0.23255813953488372
sieve_primes,193,44,0.22916666666666666
sieve_primes,216,47,0.2186046511627907
sieve_primes,241,53,0.22083333333333333
sieve_primes,269,57,0.2126865671641791
sieve_primes,300,62,0.20735785953177258
sieve_primes,335,67,0.20059880239520958
sieve_primes,375,74,0.19786096256684493
sieve_primes,418,80,0.19184652278177458
sieve_primes,467,91,0.19527896995708155
sieve_primes,521,98,0.18846153846153846
sieve_primes,582,106,0.18244406196213425
sieve_primes,650,118,0.18181818181818182
sieve_primes,726,128,0.17655172413793102
sieve_primes,810,140,0.173053152039555
sieve_primes,905,154,0.17035398230088494
sieve_primes,1010,169,0.16749256689791872
sieve_primes,1128,188,0.1668145519077196
sieve_primes,1259,205,0.16295707472178061
sieve_primes,1406,222,0.15800711743772242
sieve_primes,1570,247,0.1574251115360102
sieve_primes,1753,273,0.1558219178082192
sieve_primes,1957,297,0.15184049079754602
sieve_primes,2185,327,0.14972527472527472
sieve_primes,2439,361,0.14807219031993438
sieve_primes,2724,397,0.1457950789570327
sieve_primes,3041,436,0.14342105263157895
sieve_primes,3395,478,0.1408367707719505
sieve_primes,3790,526,0.13882290841910794
sieve_primes,4232,580,0.1370834318128102
sieve_primes,4725,637,0.1348433530906012
sieve_primes,5275,699,0.13253697383390217
sieve_primes,5890,775,0.1316012905416879
sieve_primes,6575,850,0.1292972315181016
sieve_primes,7341,935,0.1273841961852861
sieve_primes,8196,1028,0.1254423428920073
sieve_primes,9151,1134,0.12393442622950819
sieve_primes,10216,1253,0.12266275085658346
sieve_primes,11406,1376,0.12064883822884699
sieve_primes,12735,1519,0.11928694832731271
sieve_primes,14218,1671,0.11753534500949567
sieve_primes,15874,1848,0.11642411642411643
sieve_primes,17722,2034,0.11477907567293043
sieve_primes,19786,2239,0.11316654030831438
sieve_primes,22090,2475,0.1120467200869211
sieve_primes,24663,2730,0.1106966182791339
sieve_primes,27535,3007,0.10921043074017578
sieve_primes,30742,3315,0.10783643993363912
sieve_primes,34322,3668,0.10687334285131551
sieve_primes,38319,4044,0.10553786732084137
sieve_primes,42781,4473,0.10455820476858345
sieve_primes,47763,4923,0.10307357313345338
sieve_primes,53325,5439,0.10199909984247243
sieve_primes,59535,6018,0.1010850942318675
sieve_primes,66469,6628,0.09971715712824217
sieve_primes,74209,7323,0.09868208279430789
sieve_primes,82851,8097,0.09773083886541943
sieve_primes,92500,8935,0.09659563887177158
sieve_primes,103272,9872,0.09559314812483659
sieve_primes,115298,10895,0.09449508660242678
sieve_primes,128725,12051,0.09361890556539573
sieve_primes,143716,13321,0.0926903941829315
sieve_primes,160453,14721,0.09174706454266697
sieve_primes,179138,16260,0.09076851794994892
sieve_primes,200000,17984,0.08992044960224801
random_count_matched,100,6,0.06060606060606061
random_count_matched,111,6,0.05454545454545454
random_count_matched,124,7,0.056910569105691054
random_count_matched,139,9,0.06521739130434782
random_count_matched,155,13,0.08441558441558442
random_count_matched,173,14,0.08139534883720931
random_count_matched,193,16,0.08333333333333333
random_count_matched,216,19,0.08837209302325581
random_count_matched,241,25,0.10416666666666667
random_count_matched,269,28,0.1044776119402985
random_count_matched,300,30,0.10033444816053512
random_count_matched,335,34,0.10179640718562874
random_count_matched,375,35,0.09358288770053476
random_count_matched,418,38,0.09112709832134293
random_count_matched,467,41,0.08798283261802575
random_count_matched,521,44,0.08461538461538462
random_count_matched,582,51,0.08777969018932874
random_count_matched,650,59,0.09090909090909091
random_count_matched,726,66,0.0910344827586207
random_count_matched,810,72,0.08899876390605686
random_count_matched,905,87,0.09623893805309734
random_count_matched,1010,98,0.09712586719524281
random_count_matched,1128,109,0.09671694764862467
random_count_matched,1259,120,0.09538950715421304
random_count_matched,1406,137,0.09750889679715302
random_count_matched,1570,152,0.09687699171446781
random_count_matched,1753,173,0.09874429223744292
random_count_matched,1957,186,0.0950920245398773
random_count_matched,2185,208,0.09523809523809523
random_count_matched,2439,234,0.09598031173092698
random_count_matched,2724,263,0.09658464928387808
random_count_matched,3041,289,0.09506578947368421
random_count_matched,3395,323,0.09516794342958161
random_count_matched,3790,356,0.09395618896806546
random_count_matched,4232,401,0.09477664854644292
random_count_matched,4725,442,0.09356477561388654
random_count_matched,5275,483,0.09158134243458475
random_count_matched,5890,551,0.0935642723722194
random_count_matched,6575,598,0.09096440523273501
random_count_matched,7341,658,0.0896457765667575
random_count_matched,8196,734,0.08956680902989628
random_count_matched,9151,810,0.08852459016393442
random_count_matched,10216,895,0.08761625061184533
random_count_matched,11406,1004,0.08803156510302498
random_count_matched,12735,1111,0.08724674100832418
random_count_matched,14218,1228,0.08637546599141872
random_count_matched,15874,1373,0.0864990864990865
random_count_matched,17722,1536,0.0866768241069917
random_count_matched,19786,1739,0.08789486985089714
random_count_matched,22090,1938,0.08773597718321337
random_count_matched,24663,2196,0.08904387316519341
random_count_matched,27535,2458,0.08927144621195612
random_count_matched,30742,2741,0.08916430825282197
random_count_matched,34322,3023,0.08808018414381866
random_count_matched,38319,3395,0.08860065765436609
random_count_matched,42781,3779,0.0883356708742403
random_count_matched,47763,4196,0.08785226749298605
random_count_matched,53325,4703,0.08819668441977346
random_count_matched,59535,5281,0.08870561359895186
random_count_matched,66469,5914,0.08897514593488597
random_count_matched,74209,6654,0.08966688227684347
random_count_matched,82851,7442,0.08982498491249245
random_count_matched,92500,8330,0.09005502762192023
random_count_matched,103272,9352,0.09055785264014099
random_count_matched,115298,10480,0.09089568679150369
random_count_matched,128725,11674,0.09069015878934775
random_count_matched,143716,12987,0.0903663500678426
random_count_matched,160453,14479,0.09023882531847531
random_count_matched,179138,16088,0.08980835896548452
random_count_matched,200000,17984,0.08992044960224801
random_layer_matched,100,6,0.06060606060606061
random_layer_matched,111,7,0.06363636363636363
random_layer_matched,124,7,0.056910569105691054
random_layer_matched,139,8,0.057971014492753624
random_layer_matched,155,10,0.06493506493506493
random_layer_matched,173,12,0.06976744186046512
random_layer_matched,193,13,0.06770833333333333
random_layer_matched,216,18,0.08372093023255814
random_layer_matched,241,20,0.08333333333333333
random_layer_matched,269,23,0.08582089552238806
random_layer_matched,300,29,0.09698996655518395
random_layer_matched,335,32,0.09580838323353294
random_layer_matched,375,36,0.0962566844919786
random_layer_matched,418,36,0.08633093525179857
random_layer_matched,467,40,0.08583690987124463
random_layer_matched,521,45,0.08653846153846154
random_layer_matched,582,46,0.07917383820998279
random_layer_matched,650,55,0.0847457627118644
random_layer_matched,726,62,0.08551724137931034
random_layer_matched,810,72,0.08899876390605686
random_layer_matched,905,80,0.08849557522123894
random_layer_matched,1010,87,0.08622398414271557
random_layer_matched,1128,97,0.08606921029281278
random_layer_matched,1259,110,0.08744038155802862
random_layer_matched,1406,118,0.08398576512455516
random_layer_matched,1570,135,0.08604206500956023
random_layer_matched,1753,154,0.08789954337899543
random_layer_matched,1957,182,0.09304703476482618
random_layer_matched,2185,199,0.09111721611721611
random_layer_matched,2439,219,0.08982772764561116
random_layer_matched,2724,242,0.08887256702166728
random_layer_matched,3041,269,0.08848684210526316
random_layer_matched,3395,302,0.08898055391868002
random_layer_matched,3790,335,0.08841382950646609
random_layer_matched,4232,377,0.08910423067832664
random_layer_matched,4725,423,0.08954276037256562
random_layer_matched,5275,466,0.08835798255593477
random_layer_matched,5890,533,0.09050772626931568
random_layer_matched,6575,606,0.09218132035290538
random_layer_matched,7341,681,0.09277929155313351
random_layer_matched,8196,746,0.09103111653447224
random_layer_matched,9151,822,0.0898360655737705
random_layer_matched,10216,919,0.0899657366617719
random_layer_matched,11406,1033,0.09057430951337132
random_layer_matched,12735,1141,0.08960263860530862
random_layer_matched,14218,1264,0.08890764577618344
random_layer_matched,15874,1414,0.08908208908208909
random_layer_matched,17722,1571,0.08865188194797133
random_layer_matched,19786,1752,0.08855193328279
random_layer_matched,22090,1939,0.08778124858526869
random_layer_matched,24663,2187,0.08867893925877869
random_layer_matched,27535,2422,0.08796397181666303
random_layer_matched,30742,2738,0.08906671871442048
random_layer_matched,34322,3041,0.08860464438681856
random_layer_matched,38319,3396,0.08862675504984603
random_layer_matched,42781,3816,0.08920056100981767
random_layer_matched,47763,4259,0.08917130773418198
random_layer_matched,53325,4760,0.08926562148375966
random_layer_matched,59535,5309,0.08917593308025666
random_layer_matched,66469,5972,0.0898477462839261
random_layer_matched,74209,6660,0.0897477360931436
random_layer_matched,82851,7431,0.08969221484610743
random_layer_matched,92500,8278,0.08949285938226359
random_layer_matched,103272,9190,0.08898916443144736
random_layer_matched,115298,10240,0.08881410617795779
random_layer_matched,128725,11474,0.08913644697181566
random_layer_matched,143716,12843,0.08936436697630727
random_layer_matched,160453,14323,0.08926657193428564
random_layer_matched,179138,16089,0.08981394128516164
random_layer_matched,200000,17984,0.08992044960224801
