shuffle_id,frobenius_residual,l2_residual,top_singular_value,rank90,rank95
0,0.017235440989413885,0.0021544301236767357,0.012484281242143382,3,4
1,0.020774067496100054,0.0025967584370125067,0.014212282254713804,4,4
2,0.01641123786846029,0.002051404733557536,0.010469438789028332,4,5
3,0.015556157374705958,0.0019445196718382448,0.010895824949195297,4,4
4,0.018454251628580724,0.0023067814535725904,0.013491973875642113,4,5
5,0.015478037660154627,0.0019347547075193284,0.008239294867589517,4,5
6,0.016776076968108025,0.002097009621013503,0.010966674962823173,4,5
7,0.01708472644501043,0.0021355908056263037,0.011241517164751285,4,4
8,0.0195798154534892,0.00244747693168615,0.01156675544138596,5,5
9,0.02097182014491546,0.0026214775181144325,0.013324826158935746,4,5
10,0.018007002614892607,0.002250875326861576,0.012264648144581598,4,5
11,0.014782081313032776,0.001847760164129097,0.008618429170817789,4,5
12,0.015956201312684392,0.001994525164085549,0.011172630121677567,4,5
13,0.01814442091019188,0.002268052613773985,0.011062644930009715,4,5
14,0.01847199113531703,0.0023089988919146286,0.011684363033381419,4,4
15,0.016933509572534138,0.002116688696566767,0.011910116388743518,3,4
16,0.01854593932598026,0.0023182424157475326,0.012958173916946944,4,5
17,0.018403612475262045,0.0023004515594077556,0.011566676754533217,4,5
18,0.01898654442169136,0.00237331805271142,0.012749321358528487,4,4
19,0.01582996771312123,0.0019787459641401536,0.010711306389878219,4,4
20,0.01739901800489471,0.0021748772506118385,0.010658690533961727,4,4
21,0.018104966865074228,0.0022631208581342785,0.01279917324088457,3,4
22,0.017550080954533667,0.0021937601193167083,0.0109777673968488,4,5
23,0.015961144817967496,0.001995143102245937,0.009278994460422331,5,5
24,0.017770429261581698,0.0022213036576977123,0.011008857033277584,4,5
25,0.01686375237831009,0.0021079690472887614,0.009906372975376852,4,5
26,0.01567417371195839,0.001959271713994799,0.011136669682988053,4,5
27,0.01664071840868703,0.002080089801085879,0.009031132739846398,5,5
28,0.020501163948614842,0.0025626454935768553,0.013983910855150241,4,5
29,0.020494759543020703,0.002561844942877588,0.013028719884158779,5,5
30,0.017282888916034536,0.002160361114504317,0.011977381875477493,4,5
31,0.015194211636642366,0.0018992764545802958,0.009310758614579263,4,5
32,0.015578435280149946,0.0019473044100187433,0.010132002457656839,4,4
33,0.017768578991003117,0.0022210723738753896,0.011152262149375874,4,5
34,0.017800778303162602,0.0022250972878953253,0.011368568179437257,4,5
35,0.01466318453060946,0.0018328980663261825,0.009496208388461642,4,5
36,0.019294575939696145,0.002411821992462018,0.01183077756781114,4,5
37,0.01711565140461808,0.00213945642557726,0.011280108904628721,4,5
38,0.018705299985586767,0.002338162498198346,0.012777641158744402,4,4
39,0.015109033672465692,0.0018886292090582115,0.009499104437959559,5,5
40,0.01862978130146612,0.002328722662683265,0.011762382404682716,4,5
41,0.019384230634399917,0.0024230288292999896,0.013087068605265503,4,5
42,0.018393449216522348,0.0022991811520652935,0.012505700198615407,4,5
43,0.01967122397159885,0.0024589029964498564,0.013177986995956317,4,4
44,0.020478143669731542,0.0025597679587164427,0.012580440805874898,4,5
45,0.017488374681249568,0.002186046835156196,0.012831377420738525,4,4
46,0.017985690923324173,0.0022482113654155216,0.011843965500694296,4,5
47,0.020003847872634584,0.002500480984079323,0.012683543516186842,4,5
48,0.014349769318270636,0.0017937211647838295,0.009327412032955786,4,4
49,0.01841261408690881,0.0023015767608636013,0.011190729088220207,4,5
50,0.01645187976098436,0.002056484970123045,0.00973203640108116,4,5
51,0.01702389402935313,0.002127986753669141,0.010783058450480243,4,5
52,0.01876596175904107,0.002345745219880134,0.013819498458076179,3,4
53,0.019559736422892444,0.0024449670528615556,0.01339542795754772,3,4
54,0.018379907402189914,0.0022974884252737393,0.011083765329879074,4,5
55,0.01867081069732475,0.0023338513371655937,0.011939822922154642,4,5
56,0.016636812663366928,0.002079601582920866,0.01110229403743249,4,4
57,0.016681730029096356,0.0020852162536370445,0.010822006563602948,4,5
58,0.014739944292965098,0.0018424930366206372,0.010193699262511062,4,4
59,0.017938726793880044,0.0022423408492350055,0.01241765631401765,4,5
60,0.01744985507104983,0.0021812318838812287,0.01115224744089503,4,5
61,0.013737201708890857,0.001717150213611357,0.008396044588431887,4,5
62,0.019242187087035897,0.002405273385879487,0.013047913552726224,4,5
63,0.013875560070979563,0.0017344450088724454,0.008205272837737544,4,5
