N,slice_norm,delta_fro_norm,slice_norm_ratio,11->13,17->19,29->1
1000,0.010580117935037355,0.1769725681667502,0.059783943040305466,-0.006914924143340353,0.0005079114070945766,-0.007991542129882755
3000,0.011860048235313211,0.1524690964635604,0.07778657124835743,-0.011399257903510006,0.0016436475624249242,0.002831269341435974
10000,0.011549615259995993,0.1112256207806443,0.10383952167522574,-0.0072207368106566375,-0.003322633412767735,0.008379420013910267
30000,0.009191825919380888,0.08217897730165631,0.11185130578503531,-0.005375020932511666,0.0013880180529460759,0.007326132649082974
100000,0.004510382338151519,0.06961548313263885,0.0647899308476114,-0.0036965918242473084,0.002467017333300278,0.0007697942571967542
