window_left,window_right,window_mid,density_error,gap_drift,instability,gap_multiplier,density_multiplier,w_density,w_gap,w_neighbor,scenario,kind
2,10002,5002.0,0.008136696501220505,0.5382461333738056,0.2996968867811423,1.524469551866999,0.6559658727032707,0.2798031730112059,0.5780130210650083,0.1421838059237858,mixed_keep_75_noise_25,mixed
5002,15002,10002.0,0.011981566820276499,0.5621527112873734,0.3145756962771798,1.5505074684850646,0.6449501342789776,0.27368841931449406,0.5848596012905077,0.14145197939499832,mixed_keep_75_noise_25,mixed
10002,20002,15002.0,0.01452081316553727,0.5761485039196936,0.3234160430803233,1.5659780753905657,0.6385785444349807,0.27013858471108637,0.5888510482973809,0.14101036699153274,mixed_keep_75_noise_25,mixed
15002,25002,20002.0,0.007936507936507936,0.5660681862323516,0.31490893099922196,1.5510906292486384,0.6447076535330554,0.27355349539417284,0.5850110835044566,0.1414354211013707,mixed_keep_75_noise_25,mixed
20002,30002,25002.0,0.0,0.5630978747852762,0.3097038311319019,1.5419817044808284,0.648516125122698,0.27567105761712524,0.582635699949379,0.1416932424334958,mixed_keep_75_noise_25,mixed
25002,35002,30002.0,0.009278350515463918,0.5803504961800664,0.3233680306309953,1.5658940536042416,0.6386128088923291,0.27015769922629823,0.5888295225224139,0.14101277825128788,mixed_keep_75_noise_25,mixed
30002,40002,35002.0,0.014613778705636743,0.5736493656275116,0.3220833515126679,1.5636458651471687,0.6395309975803767,0.27066981526558187,0.5882529389143599,0.14107724582005837,mixed_keep_75_noise_25,mixed
35002,45002,40002.0,0.010604453870625663,0.562326281536122,0.31405145908664867,1.5495900534016351,0.6453319688035013,0.27390085631550376,0.5846211294962647,0.1414780141882317,mixed_keep_75_noise_25,mixed
40002,50002,45002.0,0.005376344086021506,0.5773105728747776,0.3199401699198374,1.5598952973597155,0.6410686676808396,0.27152701961117953,0.5872884067229612,0.1411845736658594,mixed_keep_75_noise_25,mixed
45002,55002,50002.0,0.002183406113537118,0.5782642853205133,0.31902788967737405,1.5582988069354045,0.6417254480009703,0.27189299137535944,0.5868768339332003,0.14123017469144028,mixed_keep_75_noise_25,mixed
50002,60002,55002.0,0.006493506493506494,0.5701541401039415,0.3165068549792458,1.55388699621368,0.6435474409893875,0.2729077278791632,0.5857363489482859,0.14135592317255108,mixed_keep_75_noise_25,mixed
55002,65002,60002.0,0.009977827050997782,0.5848124079405544,0.326136846540254,1.5707394814454445,0.636642811753715,0.2690583072822031,0.590068190698118,0.14087350201967894,mixed_keep_75_noise_25,mixed
60002,70002,65002.0,0.009101251422070534,0.5872617181917309,0.3270895081453838,1.5724066392544216,0.6359678056779027,0.26868141079697383,0.5904931111425573,0.14082547806046877,mixed_keep_75_noise_25,mixed
65002,75002,70002.0,0.006666666666666667,0.565716076690503,0.31414384217977664,1.5497517238146092,0.6452646476421188,0.27386340406187076,0.5846631684265889,0.14147342751154035,mixed_keep_75_noise_25,mixed
70002,80002,75002.0,0.00776914539400666,0.5773552348571228,0.32104149459872056,1.561822615547761,0.640277577008501,0.27108607731265044,0.5877844672516742,0.14112945543567545,mixed_keep_75_noise_25,mixed
75002,85002,80002.0,0.010180995475113122,0.5884313388706809,0.3282186843426754,1.574382697599682,0.6351695820365716,0.2682355855812259,0.590995926145574,0.14076848827320024,mixed_keep_75_noise_25,mixed
80002,90002,85002.0,0.011402508551881414,0.5937501691572118,0.33169372188481316,1.580464013298423,0.6327255739996278,0.2668696930752593,0.5925376582095931,0.14059264871514754,mixed_keep_75_noise_25,mixed
85002,95002,90002.0,0.015909090909090907,0.6042354029826333,0.33948856254953924,1.5941049844616937,0.627311256000925,0.26383924365084294,0.5959649385490197,0.14019581780013732,mixed_keep_75_noise_25,mixed
90002,100002,95002.0,0.014806378132118452,0.6039203334145475,0.3388190535374545,1.5929333436905453,0.6277726585113578,0.26409773416493115,0.5956722369202554,0.1402300289148135,mixed_keep_75_noise_25,mixed
95002,105002,100002.0,0.00461361014994233,0.5848155658097783,0.3237246857628521,1.566518200084991,0.6383583669476328,0.27001575188325155,0.5889893849051662,0.14099486321158222,mixed_keep_75_noise_25,mixed
100002,110002,105002.0,0.0011614401858304297,0.5854576997979147,0.3225243829724768,1.5644176702018344,0.6392154851274368,0.2704938607772648,0.5884510140623794,0.14105512516035598,mixed_keep_75_noise_25,mixed
105002,115002,110002.0,0.003537735849056604,0.6070595736430373,0.335474746635746,1.5870808066125555,0.6300876400454914,0.2653939840602425,0.5942054498422745,0.1404005660974831,mixed_keep_75_noise_25,mixed
110002,120002,115002.0,0.01179245283018868,0.6050236800292844,0.33806962778969135,1.5916218486319598,0.6282899426515952,0.2643874788151722,0.5953442252558453,0.14026829592898252,mixed_keep_75_noise_25,mixed
115002,125002,120002.0,0.013921113689095127,0.5899545616071339,0.33073951004401647,1.5787941425770289,0.6333947998867815,0.2672438342856022,0.5921151656444195,0.14064100006997832,mixed_keep_75_noise_25,mixed
120002,130002,125002.0,0.004662004662004662,0.5800452928274507,0.321122813153,1.56196492301775,0.6402192426114016,0.2710535569731899,0.5878210602763716,0.1411253827504386,mixed_keep_75_noise_25,mixed
125002,135002,130002.0,0.009501187648456057,0.5925597580610575,0.3301834013753869,1.577820952406927,0.6337854738679471,0.26746220211931376,0.591868642387103,0.14066915549358322,mixed_keep_75_noise_25,mixed
130002,140002,135002.0,0.01880141010575793,0.5865612193383026,0.3310693051836575,1.5793712840714007,0.6331633416951449,0.26711444485027036,0.5922612605639994,0.14062429458573028,mixed_keep_75_noise_25,mixed
135002,145002,140002.0,0.013002364066193853,0.5827985135251963,0.3263902462686452,1.571182930970129,0.6364631261507842,0.26895798779323343,0.5901812790171664,0.1408607331896002,mixed_keep_75_noise_25,mixed
140002,150002,145002.0,0.003575685339690107,0.5752931929640949,0.3180203145331128,1.5565355504329474,0.6424523999608309,0.272297949549322,0.5864215708561723,0.14128047959450563,mixed_keep_75_noise_25,mixed
145002,155002,150002.0,0.007058823529411765,0.5827631747826242,0.3236962167186786,1.5664683792576874,0.6383786696504378,0.2700270788272737,0.5889766276639772,0.1409962935087491,mixed_keep_75_noise_25,mixed
150002,160002,155002.0,0.010778443113772455,0.6041122950085452,0.33711206165589747,1.5899461078978205,0.6289521355677711,0.2647583097011609,0.5949245422845171,0.14031714801432216,mixed_keep_75_noise_25,mixed
155002,165002,160002.0,0.0036496350364963502,0.5885207513087339,0.32532874898622705,1.5693253107258973,0.6372165115577255,0.26937855945492417,0.5897072433719114,0.1409141971731645,mixed_keep_75_noise_25,mixed
160002,170002,165002.0,0.0036900369003690036,0.596897428609639,0.3299541023404675,1.5774196790958182,0.6339466999506455,0.2675523100846618,0.5917669302103077,0.14068075970503063,mixed_keep_75_noise_25,mixed
165002,175002,170002.0,0.009732360097323601,0.5852033243743874,0.32624139044970873,1.5709224332869902,0.6365686674342061,0.26901691295089686,0.5901148525530441,0.14086823449605912,mixed_keep_75_noise_25,mixed
170002,180002,175002.0,0.009456264775413711,0.5790496837419726,0.32273264520702116,1.564782129112287,0.6390666032000939,0.2704108247819073,0.5885444998390119,0.14104467537908083,mixed_keep_75_noise_25,mixed
175002,185002,180002.0,0.016887816646562123,0.6060531093950546,0.340928727658233,1.5966252734019077,0.6263210389181136,0.26328434875046314,0.596593502814153,0.14012214843538381,mixed_keep_75_noise_25,mixed
180002,190002,185002.0,0.02539298669891173,0.5936724954722727,0.3379467165242603,1.5914067539174555,0.6283748623903785,0.2644350393287955,0.5952903914844468,0.14027456918675765,mixed_keep_75_noise_25,mixed
185002,195002,190002.0,0.012077294685990338,0.5949198690976646,0.33264071061241124,1.5821212435717196,0.6320628106493589,0.2664990702133755,0.5929563163277269,0.14054461345889752,mixed_keep_75_noise_25,mixed
190002,200000,195001.0,0.0012285012285012285,0.6060319445479476,0.33387039505419674,1.5842731913448445,0.6312042679653806,0.26601882662358795,0.5934990082388246,0.14048216513758752,mixed_keep_75_noise_25,mixed
195002,200000,197501.0,0.0024330900243309003,0.5893861186311037,0.325257255758056,1.569200197576598,0.6372673171621791,0.26940691678330037,0.5896752875350806,0.14091779568161902,mixed_keep_75_noise_25,mixed
2,10002,5002.0,0.006509357200976403,0.5411306384075747,0.3005510618646055,1.5259643582630598,0.6553233006950814,0.27944729548442726,0.5784105002081589,0.14214220430741387,mixed_keep_50_noise_50,mixed
