window_index,window_midpoint,count,two_step_l1,two_step_l2,max_abs_delta,mean_lift,max_lift
0,147.70240350109404,22,0.06635416666664815,0.12652464282915324,0.4833333333332048,0.3747299779451373,3.6363636363444467
1,315.8987179461164,42,0.07074524367189924,0.13041257186128918,0.44999999999977996,0.6315700210652819,9.999999999801
2,676.2987505533335,77,0.04093049847556508,0.07004524747637601,0.23314413484690963,0.5745034470279906,2.1033781033682915
3,1448.7235761179563,153,0.06863747283988367,0.09160686811011698,0.3070940170939589,1.0922906867495348,5.849999999829093
4,3101.702758163651,296,0.0311142856919916,0.048806074025886236,0.1531019656019513,0.7946090711848719,4.264571054264103
5,6639.437626787378,582,0.027105741822215108,0.039137075221006276,0.12143560059648678,0.7845275578023978,1.870918365728049
6,14212.079439687916,1145,0.024919297266446132,0.03872596913497601,0.13593167307917536,1.037813845370667,4.725980644327441
7,30421.289321789107,2284,0.020575539178160393,0.032650907282412475,0.139421303741371,1.0422347757121253,3.877595680849025
8,65117.752326074646,4559,0.01749929500165278,0.02298205388133891,0.06085063725412611,1.029925850170216,1.6857657710116645
9,139385.88338852683,9112,0.011925597430933809,0.0152246624708819,0.05118354186636437,1.014072164544356,1.4689836863663057
10,298356.1753207062,18387,0.007081645465191962,0.009423528514162222,0.02426651576642179,1.001943770259711,1.208544216728774
11,638633.0590800949,37099,0.004965262237267622,0.006337608969182589,0.01967158401486567,1.000321355539434,1.109218316100205
12,1366996.8466130418,75149,0.007183679277430233,0.009672308707887366,0.03052362762728178,1.0009225047455266,1.2843964316773682
