window_index,left,right,midpoint,gap_count,residual_l1,residual_l2,residual_signed_mean,positive_residual_mass,negative_residual_mass,js_divergence,tail_bias_z_ge_3
7,2714,4705,3573.4255274176344,239,1.2518682706685553,1.0310489234327294,-1.0463273765933441e-16,0.6259341353342777,-0.6259341353342779,0.29402530804692706,-0.03068947150392662
8,4705,8157,6195.053268536115,388,1.2019231112145037,1.1424668030335663,2.432371433898813e-16,0.600961555607252,-0.6009615556072518,0.28346865423575984,-0.016498038126020367
9,8157,14142,10740.404740976943,640,1.204201903684017,1.1165233036152227,-1.712461191368438e-16,0.6021009518420085,-0.6021009518420087,0.28708423667593724,-0.017738373177566793
10,14142,24516,18620.02341566734,1056,0.9536272731239632,0.8362237342563373,-1.4904165864434068e-16,0.47681363656198156,-0.47681363656198167,0.19514261031995472,-0.021857691359384986
11,24516,42501,32279.32025306605,1728,1.1708152803936407,1.058267610461591,-3.77591476604285e-17,0.5854076401968205,-0.5854076401968203,0.2754617994006783,-0.027159515331591107
12,42501,73680,55959.57183538845,2828,1.0833885379319153,0.9841793593180187,4.339699895735312e-17,0.5416942689659578,-0.5416942689659578,0.2471618826282012,-0.025148645454794498
13,73680,127731,97011.44303637587,4690,1.032536627423086,0.9054342379902169,1.3221484092736565e-16,0.516268313711543,-0.5162683137115429,0.21656003212103925,-0.018214785757524173
14,127731,221434,168178.43575797701,7764,0.9156907106225423,0.8556916873615327,-1.342386849826719e-16,0.457845355311271,-0.4578453553112711,0.19615041813247114,-0.01998095628541371
15,221434,383876,291553.0795309835,12864,1.0112643793034441,0.9014792770736059,-3.029983671372823e-17,0.5056321896517221,-0.5056321896517221,0.22097983017768857,-0.019116649348044305
16,383876,665484,505433.80969618564,21392,0.9813362734558544,0.8717785390245542,6.693141411477181e-18,0.49066813672792714,-0.4906681367279272,0.20786486160416356,-0.017445984491350035
17,665484,1153676,876215.110109384,35588,0.8886282740535311,0.79809905587697,6.912873051767577e-17,0.4443141370267656,-0.4443141370267656,0.18389400208849854,-0.016949896906094428
18,1153676,2000000,1518997.0375217984,59359,0.9256655362264912,0.818645762436931,3.9118014383277e-17,0.4628327681132456,-0.46283276811324553,0.189657269435408,-0.019376044274780336
