state,q_edge_low,q_edge_high,count
0,-inf,0.28247295606997613,18614
1,0.28247295606997613,0.4268622657470873,18613
2,0.4268622657470873,0.5649502065734082,18613
3,0.5649502065734082,0.7889719250484786,18613
4,0.7889719250484786,0.9932007067214836,18614
5,0.9932007067214836,1.3481112393867551,18613
6,1.3481112393867551,1.9139957770392186,18613
7,1.9139957770392186,inf,18614
