model,MAE,RMSE,bias,corr
local_rolling,7.646248658096127,10.224070181210774,0.008432771313267584,0.10681017349385268
combined,7.64625063804629,10.22407111469321,0.00842983482756263,0.10680925562932256
sinusoidal_log,7.648572621692993,10.225011898596815,-5.693613929120591e-16,0.10585677245583851
affine_log,7.648604992173278,10.225022637413554,3.5204788416699836e-15,0.10584696174924475
log_baseline,7.6440391973855455,10.22504240181249,0.019056081893192363,0.10584696174924486
