null_model,metric,real_value,null_mean,null_std,null_q025,null_q50,null_q975,p_value_greater_equal,p_value_less_equal,z_score_vs_null
block_bootstrap,two_step_l2_residual,0.06678632496563655,0.06835042941127624,0.00255124464149638,0.06378154184474774,0.06848860338525757,0.07324978391679651,0.6965174129353234,0.30845771144278605,-0.6130750537205617
block_bootstrap,js_empirical_vs_markov,0.000747782668085696,0.0007881121195822227,5.762303665895502e-05,0.0006847320563869221,0.0007884456508929081,0.0009010470617494833,0.7213930348258707,0.2835820895522388,-0.6998841754074615
block_bootstrap,top_singular_value,0.041368120292948014,0.042438380677742554,0.0022592643543114044,0.03847760156052078,0.04239698395229968,0.046843367177360186,0.6517412935323383,0.35323383084577115,-0.4737207413342924
block_bootstrap,mi_excess_over_shuffle_bits,0.040161392407088645,0.03965183338495584,0.0013040033466793263,0.03686581376178761,0.03975630336084689,0.04179520821877254,0.3681592039800995,0.6368159203980099,0.39076511837979994
block_bootstrap,rank4_improvement,0.7409288542261142,0.7398637809007533,0.03195190341396012,0.679371995108566,0.7359268097723666,0.7994788654425492,0.46766169154228854,0.5373134328358209,0.03333364249265774
iid_shuffle,two_step_l2_residual,0.06678632496563655,0.0180541287598483,0.0017858456920990377,0.014585873671599905,0.017918520722602697,0.021406727452564243,0.004975124378109453,1.0,27.28802181587686
iid_shuffle,js_empirical_vs_markov,0.000747782668085696,5.934600690925801e-05,1.1666445050280437e-05,3.847458723130667e-05,5.80575722841335e-05,8.237232082298896e-05,0.004975124378109453,1.0,59.0099776075223
iid_shuffle,top_singular_value,0.041368120292948014,0.011641106965538918,0.0014438588119029953,0.008790666954359452,0.011681472250157289,0.014753791378797525,0.004975124378109453,1.0,20.588587389807948
iid_shuffle,mi_excess_over_shuffle_bits,0.040161392407088645,4.296288938577671e-06,6.645121186825554e-05,-0.00011959750456054025,8.180095788716714e-06,0.0001281884002496436,0.004975124378109453,1.0,604.3094623731541
iid_shuffle,rank4_improvement,0.7409288542261142,0.7549610284846147,0.05113960059332076,0.6548988968857393,0.7540890292088358,0.8476226562857544,0.6019900497512438,0.40298507462686567,-0.2743895942811326
markov_synthetic,two_step_l2_residual,0.06678632496563655,0.017190514383642785,0.0017089091687092356,0.013806111460334095,0.017218478132319977,0.02015632318291779,0.004975124378109453,1.0,29.02191145680037
markov_synthetic,js_empirical_vs_markov,0.000747782668085696,5.455352208981115e-05,1.057311208112975e-05,3.4943931131293746e-05,5.461853255381414e-05,7.482568439498197e-05,0.004975124378109453,1.0,65.56528869424531
markov_synthetic,top_singular_value,0.041368120292948014,0.011241674551860672,0.0014393729186960537,0.008800081279454615,0.011153145456070691,0.013965661699851167,0.004975124378109453,1.0,20.930257440427095
markov_synthetic,mi_excess_over_shuffle_bits,0.040161392407088645,0.036808372838364925,0.0008774553674392904,0.035069488961707806,0.03681080768680506,0.03837279775493922,0.004975124378109453,1.0,3.82129928557957
markov_synthetic,rank4_improvement,0.7409288542261142,0.7650018459967279,0.05224394660611809,0.6588020513225894,0.7659009808292643,0.8700020877092393,0.6865671641791045,0.31840796019900497,-0.4607804986883328
window_bootstrap,two_step_l2_residual,0.06678632496563655,0.07194694877891125,0.0024705050680036895,0.06725682512430907,0.07178759330547824,0.077375615826212,0.9900497512437811,0.014925373134328358,-2.088894242765016
window_bootstrap,js_empirical_vs_markov,0.000747782668085696,0.0008793183817164968,5.631259389948283e-05,0.000776841077292073,0.0008756009374260888,0.0010098673767823488,0.9950248756218906,0.009950248756218905,-2.3358134392741716
window_bootstrap,top_singular_value,0.041368120292948014,0.04644868212067268,0.001921985776336886,0.043083853792071594,0.04640227554621725,0.05020939697314856,1.0,0.004975124378109453,-2.6433920012705348
window_bootstrap,mi_excess_over_shuffle_bits,0.040161392407088645,0.04004497764291177,0.0037712248706764733,0.03390943513338831,0.03971708509433127,0.04798815387625867,0.4577114427860697,0.5472636815920398,0.030869218402241428
window_bootstrap,rank4_improvement,0.7409288542261142,0.7500701266106675,0.024454805598304392,0.7069989945626501,0.7510473410005645,0.7958053929764308,0.6368159203980099,0.3681592039800995,-0.37380270097862217
