window_index,midpoint,anchor_mod30,z_center,empirical_pdf,exp_pdf,delta
8,6195.053268536115,11,0.03333333333333333,0.0,0.9697991161959337,-0.9697991161959337
8,6195.053268536115,11,0.1,0.0,0.9072538472787854,-0.9072538472787854
8,6195.053268536115,11,0.16666666666666669,0.0,0.8487423113261123,-0.8487423113261123
8,6195.053268536115,11,0.23333333333333334,4.5,0.7940043607374581,3.705995639262542
8,6195.053268536115,11,0.3,0.0,0.7427966256154565,-0.7427966256154565
8,6195.053268536115,11,0.3666666666666667,0.0,0.694891431721175,-0.694891431721175
8,6195.053268536115,11,0.43333333333333335,0.0,0.6500757882137806,-0.6500757882137806
8,6195.053268536115,11,0.5,0.0,0.6081504406739263,-0.6081504406739263
8,6195.053268536115,11,0.5666666666666667,0.0,0.5689289852005146,-0.5689289852005146
8,6195.053268536115,11,0.6333333333333333,0.3,0.5322370396420313,-0.2322370396420313
8,6195.053268536115,11,0.7,5.1000000000000005,0.4979114682776703,4.60208853172233
8,6195.053268536115,11,0.7666666666666666,0.0,0.4657996565011093,-0.4657996565011093
8,6195.053268536115,11,0.8333333333333334,0.0,0.4357588322821159,-0.4357588322821159
8,6195.053268536115,11,0.9,1.2,0.4076554313891406,0.7923445686108593
8,6195.053268536115,11,0.9666666666666667,0.8999999999999999,0.38136450355061846,0.5186354964493815
8,6195.053268536115,11,1.0333333333333332,0.0,0.35676915691471883,-0.35676915691471883
8,6195.053268536115,11,1.1,0.0,0.3337600383375607,-0.3337600383375607
8,6195.053268536115,11,1.1666666666666665,0.0,0.3122348471892086,-0.3122348471892086
8,6195.053268536115,11,1.2333333333333334,0.0,0.29209788051578434,-0.29209788051578434
8,6195.053268536115,11,1.2999999999999998,0.0,0.2732596075354472,-0.2732596075354472
8,6195.053268536115,11,1.3666666666666667,0.8999999999999999,0.2556362715764093,0.6443637284235906
8,6195.053268536115,11,1.4333333333333331,0.3,0.23914951768717055,0.06085048231282944
8,6195.053268536115,11,1.5,0.0,0.2237260442632904,-0.2237260442632904
8,6195.053268536115,11,1.5666666666666667,0.0,0.2092972771418011,-0.2092972771418011
8,6195.053268536115,11,1.6333333333333333,0.0,0.19579906471425323,-0.19579906471425323
8,6195.053268536115,11,1.7000000000000002,0.0,0.18317139270284163,-0.18317139270284163
8,6195.053268536115,11,1.7666666666666666,0.0,0.17135811733147788,-0.17135811733147788
8,6195.053268536115,11,1.8333333333333335,0.0,0.16030671570546504,-0.16030671570546504
8,6195.053268536115,11,1.9,0.0,0.1499680522899403,-0.1499680522899403
