window_index,midpoint,anchor_residue,next_residue,transition_probability,global_transition_probability,delta_from_global
7,2388.519415872519,1,1,0.0,0.02815533980582524,-0.02815533980582524
7,2388.519415872519,1,7,0.5135135135135135,0.2790722761596548,0.2344412373538587
7,2388.519415872519,1,11,0.16216216216216217,0.21429341963322546,-0.052131257471063286
7,2388.519415872519,1,13,0.05405405405405406,0.16251348435814456,-0.1084594303040905
7,2388.519415872519,1,17,0.13513513513513514,0.11558791801510249,0.019547217120032656
7,2388.519415872519,1,19,0.02702702702702703,0.08511326860841424,-0.05808624158138721
7,2388.519415872519,1,23,0.05405405405405406,0.06957928802588997,-0.015525233971835917
7,2388.519415872519,1,29,0.05405405405405406,0.04568500539374326,0.008369048660310796
7,2388.519415872519,7,1,0.0,0.038926174496644296,-0.038926174496644296
7,2388.519415872519,7,7,0.0,0.029798657718120805,-0.029798657718120805
7,2388.519415872519,7,11,0.43243243243243246,0.2886979865771812,0.14373444585525125
7,2388.519415872519,7,13,0.2972972972972973,0.20880536912751677,0.08849192816978055
7,2388.519415872519,7,17,0.21621621621621623,0.16204026845637584,0.05417594775984039
7,2388.519415872519,7,19,0.02702702702702703,0.1181744966442953,-0.09114746961726827
7,2388.519415872519,7,23,0.0,0.08424161073825503,-0.08424161073825503
7,2388.519415872519,7,29,0.02702702702702703,0.06931543624161074,-0.04228840921458371
7,2388.519415872519,11,1,0.0,0.05625268125268125,-0.05625268125268125
7,2388.519415872519,11,7,0.0,0.04895967395967396,-0.04895967395967396
7,2388.519415872519,11,11,0.0,0.03019090519090519,-0.03019090519090519
7,2388.519415872519,11,13,0.46875,0.28716216216216217,0.18158783783783783
7,2388.519415872519,11,17,0.15625,0.21541184041184042,-0.059161840411840416
7,2388.519415872519,11,19,0.25,0.16092878592878593,0.08907121407121407
7,2388.519415872519,11,23,0.09375,0.11599099099099099,-0.022240990990990986
7,2388.519415872519,11,29,0.03125,0.0851029601029601,-0.053852960102960104
7,2388.519415872519,13,1,0.027777777777777776,0.07907575188977645,-0.05129797411199867
7,2388.519415872519,13,7,0.0,0.061062563662681604,-0.061062563662681604
7,2388.519415872519,13,11,0.0,0.050876534605693455,-0.050876534605693455
7,2388.519415872519,13,13,0.0,0.02980753766150217,-0.02980753766150217
7,2388.519415872519,13,17,0.5,0.28606658446362515,0.21393341553637485
7,2388.519415872519,13,19,0.16666666666666666,0.21379938883825658,-0.047132722171589925
7,2388.519415872519,13,23,0.1111111111111111,0.1609392591004128,-0.049828147989301685
7,2388.519415872519,13,29,0.19444444444444445,0.11837237977805179,0.07607206466639266
7,2388.519415872519,17,1,0.08333333333333333,0.13029717841433322,-0.04696384508099989
7,2388.519415872519,17,7,0.027777777777777776,0.07440188820941959,-0.046624110431641816
7,2388.519415872519,17,11,0.0,0.05830919429245789,-0.05830919429245789
7,2388.519415872519,17,13,0.05555555555555555,0.043611200514966204,0.011944355040589348
7,2388.519415872519,17,17,0.0,0.029181418302757216,-0.029181418302757216
7,2388.519415872519,17,19,0.4722222222222222,0.2887565711833494,0.1834656510388728
7,2388.519415872519,17,23,0.2222222222222222,0.215266602295891,0.006955619926331202
7,2388.519415872519,17,29,0.1388888888888889,0.16017594678682545,-0.021287057897936557
7,2388.519415872519,19,1,0.17647058823529413,0.15973753563168935,0.016733052603604776
7,2388.519415872519,19,7,0.029411764705882353,0.1069219598773732,-0.07751019517149085
7,2388.519415872519,19,11,0.08823529411764706,0.09675684397353843,-0.008521549855891361
7,2388.519415872519,19,13,0.058823529411764705,0.058624213413650296,0.0001993159981144091
7,2388.519415872519,19,17,0.0,0.05007260797074168,-0.05007260797074168
7,2388.519415872519,19,19,0.0,0.029312106706825148,-0.029312106706825148
7,2388.519415872519,19,23,0.4411764705882353,0.28634432313236163,0.15483214745587365
7,2388.519415872519,19,29,0.20588235294117646,0.21223040929382025,-0.006348056352643794
7,2388.519415872519,23,1,0.3125,0.21654749744637386,0.09595250255362614
7,2388.519415872519,23,7,0.1875,0.18536637815171228,0.00213362184828772
7,2388.519415872519,23,11,0.03125,0.10391914413203591,-0.07266914413203591
7,2388.519415872519,23,13,0.03125,0.07601741841836461,-0.04476741841836461
7,2388.519415872519,23,17,0.0,0.059512929412397185,-0.059512929412397185
7,2388.519415872519,23,19,0.0,0.046932960593516475,-0.046932960593516475
7,2388.519415872519,23,23,0.0,0.026772754153002527,-0.026772754153002527
7,2388.519415872519,23,29,0.4375,0.28493091769259715,0.15256908230740285
7,2388.519415872519,29,1,0.43243243243243246,0.28678799591990123,0.14564443651253123
7,2388.519415872519,29,7,0.2702702702702703,0.2158157513287164,0.0544545189415539
7,2388.519415872519,29,11,0.1891891891891892,0.15928490900306008,0.029904280186129117
7,2388.519415872519,29,13,0.08108108108108109,0.13550222794867664,-0.054421146867595555
7,2388.519415872519,29,17,0.0,0.08299779889407849,-0.08299779889407849
7,2388.519415872519,29,19,0.02702702702702703,0.054973962527513826,-0.027946935500486797
7,2388.519415872519,29,23,0.0,0.03983464862833521,-0.03983464862833521
7,2388.519415872519,29,29,0.0,0.02480270574971815,-0.02480270574971815
8,5859.598791726273,1,1,0.013513513513513514,0.02815533980582524,-0.014641826292311727
8,5859.598791726273,1,7,0.4189189189189189,0.2790722761596548,0.13984664275926412
8,5859.598791726273,1,11,0.25675675675675674,0.21429341963322546,0.042463337123531286
8,5859.598791726273,1,13,0.14864864864864866,0.16251348435814456,-0.013864835709495898
8,5859.598791726273,1,17,0.08108108108108109,0.11558791801510249,-0.0345068369340214
8,5859.598791726273,1,19,0.06756756756756757,0.08511326860841424,-0.01754570104084667
8,5859.598791726273,1,23,0.0,0.06957928802588997,-0.06957928802588997
8,5859.598791726273,1,29,0.013513513513513514,0.04568500539374326,-0.03217149188022975
8,5859.598791726273,7,1,0.038461538461538464,0.038926174496644296,-0.00046463603510583235
8,5859.598791726273,7,7,0.01282051282051282,0.029798657718120805,-0.016978144897607985
8,5859.598791726273,7,11,0.3974358974358974,0.2886979865771812,0.1087379108587162
8,5859.598791726273,7,13,0.24358974358974358,0.20880536912751677,0.03478437446222682
8,5859.598791726273,7,17,0.11538461538461539,0.16204026845637584,-0.04665565307176045
8,5859.598791726273,7,19,0.07692307692307693,0.1181744966442953,-0.041251419721218374
8,5859.598791726273,7,23,0.0641025641025641,0.08424161073825503,-0.020139046635690938
8,5859.598791726273,7,29,0.05128205128205128,0.06931543624161074,-0.01803338495955946
8,5859.598791726273,11,1,0.0,0.05625268125268125,-0.05625268125268125
8,5859.598791726273,11,7,0.012987012987012988,0.04895967395967396,-0.03597266097266097
8,5859.598791726273,11,11,0.025974025974025976,0.03019090519090519,-0.004216879216879216
8,5859.598791726273,11,13,0.37662337662337664,0.28716216216216217,0.08946121446121447
8,5859.598791726273,11,17,0.3246753246753247,0.21541184041184042,0.10926348426348426
8,5859.598791726273,11,19,0.12987012987012986,0.16092878592878593,-0.03105865605865607
8,5859.598791726273,11,23,0.1038961038961039,0.11599099099099099,-0.012094887094887083
8,5859.598791726273,11,29,0.025974025974025976,0.0851029601029601,-0.05912893412893413
8,5859.598791726273,13,1,0.038461538461538464,0.07907575188977645,-0.04061421342823798
8,5859.598791726273,13,7,0.0,0.061062563662681604,-0.061062563662681604
8,5859.598791726273,13,11,0.01282051282051282,0.050876534605693455,-0.03805602178518064
8,5859.598791726273,13,13,0.02564102564102564,0.02980753766150217,-0.004166512020476531
8,5859.598791726273,13,17,0.38461538461538464,0.28606658446362515,0.09854880015175949
8,5859.598791726273,13,19,0.2564102564102564,0.21379938883825658,0.042610867571999805
8,5859.598791726273,13,23,0.19230769230769232,0.1609392591004128,0.03136843320727953
8,5859.598791726273,13,29,0.08974358974358974,0.11837237977805179,-0.028628790034462046
8,5859.598791726273,17,1,0.09210526315789473,0.13029717841433322,-0.03819191525643849
8,5859.598791726273,17,7,0.05263157894736842,0.07440188820941959,-0.021770309262051174
8,5859.598791726273,17,11,0.02631578947368421,0.05830919429245789,-0.031993404818773684
8,5859.598791726273,17,13,0.0,0.043611200514966204,-0.043611200514966204
8,5859.598791726273,17,17,0.013157894736842105,0.029181418302757216,-0.01602352356591511
8,5859.598791726273,17,19,0.40789473684210525,0.2887565711833494,0.11913816565875585
8,5859.598791726273,17,23,0.2894736842105263,0.215266602295891,0.07420708191463532
8,5859.598791726273,17,29,0.11842105263157894,0.16017594678682545,-0.04175489415524651
8,5859.598791726273,19,1,0.09210526315789473,0.15973753563168935,-0.06763227247379462
8,5859.598791726273,19,7,0.13157894736842105,0.1069219598773732,0.024656987491047846
8,5859.598791726273,19,11,0.02631578947368421,0.09675684397353843,-0.07044105449985422
8,5859.598791726273,19,13,0.039473684210526314,0.058624213413650296,-0.019150529203123982
8,5859.598791726273,19,17,0.013157894736842105,0.05007260797074168,-0.036914713233899575
8,5859.598791726273,19,19,0.039473684210526314,0.029312106706825148,0.010161577503701166
8,5859.598791726273,19,23,0.3815789473684211,0.28634432313236163,0.09523462423605944
8,5859.598791726273,19,29,0.27631578947368424,0.21223040929382025,0.06408538017986398
8,5859.598791726273,23,1,0.2345679012345679,0.21654749744637386,0.018020403788194028
8,5859.598791726273,23,7,0.16049382716049382,0.18536637815171228,-0.02487255099121846
8,5859.598791726273,23,11,0.09876543209876543,0.10391914413203591,-0.005153712033270488
8,5859.598791726273,23,13,0.06172839506172839,0.07601741841836461,-0.014289023356636218
