r,count_int,share_int,count_prime,share_prime
0,33333,0.16666583332916665,0,0.0
1,33334,0.16667083335416677,8988,0.49983316649983317
2,33333,0.16666583332916665,0,0.0
3,33333,0.16666583332916665,0,0.0
4,33333,0.16666583332916665,0,0.0
5,33333,0.16666583332916665,8994,0.5001668335001669
