scenario,kind,adaptive_minus_density_mean_density_error,adaptive_minus_density_mean_gap_drift,adaptive_minus_fixed_mean_density_error,adaptive_minus_fixed_mean_gap_drift,adaptive_minus_fixed_unstable_gap_windows,adaptive_minus_fixed_unstable_density_windows
mixed_keep_75_noise_25,mixed,0.00012155077282714928,-0.0025959050671163775,1.7587569194239816e-05,0.0017091366565950006,0,0
mixed_keep_50_noise_50,mixed,0.00011669703723451649,-0.00037649295700814545,5.8286442471498084e-06,0.00303509267678459,0,0
mixed_keep_25_noise_100,mixed,5.7730250545914505e-05,0.0013022272543425917,-1.4890148410072468e-05,0.00491493102746865,0,0
biased_low_missing_high_noise,biased_range,8.765235193825341e-06,-0.000918440773327589,-4.124841855320145e-05,0.0012627413603196747,0,0
adversarial_mod6_noise_50,adversarial_mod6,0.0001753054228882528,-0.0014032990187223815,2.7685936108424666e-05,0.0026371026763313266,0,0
adversarial_mod6_noise_100,adversarial_mod6,0.0002613085497617518,0.0009823019931639587,2.304926798265064e-05,0.004555727669343312,0,0
