from_state,to_state_after_two_steps,empirical_P2,markov_P2,delta,abs_delta,lift
1,2,0.09907054209423521,0.1232374093874554,-0.02416686729322018,0.02416686729322018,0.8038999082004066
2,2,0.15032504163756513,0.12693981507043064,0.023385226567134487,0.023385226567134487,1.1842229449678598
2,1,0.10288508032020631,0.12335620399664217,-0.02047112367643586,0.02047112367643586,0.8340486897778797
3,3,0.14463786804212336,0.12689110042178217,0.01774676762034119,0.01774676762034119,1.1398582529445453
7,7,0.11346298485011282,0.1268295741945075,-0.013366589344394678,0.013366589344394678,0.8946098382007487
0,2,0.11378532287525518,0.12688389128426672,-0.013098568409011538,0.013098568409011538,0.8967672863960116
3,0,0.11299161831076725,0.12510079473912622,-0.012109176428358973,0.012109176428358973,0.9032046402701633
2,0,0.11475850212217267,0.12667217382369628,-0.011913671701523604,0.011913671701523604,0.9059487862029498
4,3,0.11201848170633429,0.12351425415215093,-0.011495772445816649,0.011495772445816649,0.9069275645500597
7,0,0.13425378747179542,0.12293366073689059,0.011320126734904831,0.011320126734904831,1.0920832151744078
6,0,0.13458335571912106,0.12501100246402555,0.009572353255095506,0.009572353255095506,1.076572086179163
4,1,0.13538924407672057,0.1263201016853741,0.009069142391346457,0.009069142391346457,1.071794926296554
1,4,0.13517434051469404,0.12628298950387742,0.008891351010816617,0.008891351010816617,1.0704081447919254
7,1,0.13403889545503384,0.12541294190322683,0.008625953551807009,0.008625953551807009,1.0687804098989586
1,7,0.13415354859506795,0.1257977286045437,0.00835581999052426,0.00835581999052426,1.0664226618568375
3,4,0.11514076939608854,0.12348560298364615,-0.00834483358755761,0.00834483358755761,0.9324226194239406
2,4,0.11728361897598452,0.12545053654963936,-0.008166917573654842,0.008166917573654842,0.9348993013564498
0,3,0.11706242613086924,0.12494243843640761,-0.007880012305538364,0.007880012305538364,0.9369308586810876
4,4,0.13549669585773383,0.127768395503186,0.007728300354547829,0.007728300354547829,1.0604867919257437
0,6,0.13221231331256045,0.12452012854049865,0.007692184772061794,0.007692184772061794,1.0617746292198713
5,2,0.1318970611937893,0.12443462003466184,0.007462441159127461,0.007462441159127461,1.05997077948234
0,7,0.12984850112818308,0.12262523195406626,0.0072232691741168226,0.0072232691741168226,1.0589052437084372
2,5,0.13076881749314995,0.12426963085794725,0.0064991866352027,0.0064991866352027,1.0522990741123197
6,5,0.11841186267662386,0.12485702044309295,-0.0064451577664690896,0.0064451577664690896,0.9483796926713061
5,4,0.11808950733358406,0.12418316500284482,-0.00609365766926076,0.00609365766926076,0.95093008243048
2,6,0.13103744694568312,0.12520123149420836,0.005836215451474752,0.005836215451474752,1.0466146808683596
0,4,0.12829053400666166,0.12274769800870286,0.005542835997958795,0.005542835997958795,1.0451563335755645
4,0,0.1276527158437651,0.12230446130268775,0.00534825454107736,0.00534825454107736,1.0437290224990026
4,5,0.1192177510342234,0.12403009474863493,-0.004812343714411527,0.004812343714411527,0.9612001931859712
1,1,0.1354429699672272,0.1308117615387167,0.004631208428510503,0.004631208428510503,1.0354036087657483
7,6,0.12136026646610079,0.1256862220831352,-0.004325955617034416,0.004325955617034416,0.9655813059991684
6,7,0.12115188309246226,0.12547376058979648,-0.004321877497334217,0.004321877497334217,0.9655555274825226
3,2,0.1283043197936815,0.12405441752361576,0.004249902270065747,0.004249902270065747,1.0342583710751168
5,5,0.12964057379251062,0.1255844185553371,0.004056155237173509,0.004056155237173509,1.0322982363799686
6,6,0.12190404555955515,0.12580158680702594,-0.0038975412474707843,0.0038975412474707843,0.9690183458940111
1,6,0.12786761940579164,0.12423997844676123,0.003627640959030412,0.003627640959030412,1.0291986605547885
3,6,0.12110466365785515,0.1243745702714824,-0.003269906613627249,0.003269906613627249,0.9737092027135171
2,7,0.12711545693869875,0.12388152883569668,0.0032339281030020622,0.0032339281030020622,1.0261050063909454
6,2,0.12845860420136465,0.12532520229032565,0.003133401911039002,0.003133401911039002,1.025002169178672
5,6,0.1221189491215817,0.12510801651341089,-0.002989067391829192,0.002989067391829192,0.97610810660974
1,0,0.11658518239939827,0.11929907556366186,-0.002713893164263584,0.002713893164263584,0.9772513479051007
4,6,0.12238757857411486,0.12505365426359874,-0.0026660756894838766,0.0026660756894838766,0.9786805455133459
4,2,0.12319346693171439,0.12550539794995405,-0.002311931018239663,0.002311931018239663,0.9815790312051507
7,5,0.12324057161276458,0.12553881250199775,-0.0022982408892331663,0.0022982408892331663,0.9816929852655863
6,4,0.12727663461021865,0.12507454716741234,0.002202087442806311,0.002202087442806311,1.0176061995958394
7,4,0.12324057161276458,0.1250472587946607,-0.0018066871818961106,0.0018066871818961106,0.9855519649107349
2,3,0.1258260355665395,0.12422887937173921,0.0015971561948003032,0.0015971561948003032,1.0128565612268638
5,7,0.12378445172728737,0.12531411017236008,-0.001529658445072704,0.001529658445072704,0.9877934061538914
7,2,0.12490598474266681,0.12355141336651046,0.001354571376156355,0.001354571376156355,1.0109636250872105
1,5,0.1264170203621125,0.12507067116569565,0.0013463491964168517,0.0013463491964168517,1.0107647075278137
3,7,0.12588652482269502,0.12461478937411927,0.001271735448575756,0.001271735448575756,1.0102053332028476
3,5,0.12696110036535568,0.12604071323404079,0.0009203871313148981,0.0009203871313148981,1.0073023002384838
0,1,0.1193187923068658,0.12019165579194249,-0.0008728634850766886,0.0008728634850766886,0.9927377364067569
4,7,0.12464406597539354,0.1255036403944135,-0.0008595744190199595,0.0008595744190199595,0.9931510001039668
0,5,0.12533576877618996,0.12459549422495207,0.0007402745512378878,0.0007402745512378878,1.0059414231215729
0,0,0.13414634146341464,0.13349346175916335,0.0006528797042512913,0.0006528797042512913,1.0048907241945997
5,1,0.12389190350830065,0.1244370645565731,-0.0005451610482724439,0.0005451610482724439,0.995618981762301
7,3,0.12549693778876114,0.1250001164190709,0.0004968213696902313,0.0004968213696902313,1.0039745672477667
3,1,0.12497313561143349,0.12543801145218725,-0.00046487584075376176,0.00046487584075376176,0.9962939795013631
