window_index,window_midpoint,count,rank_k,l1_remaining,l2_remaining,frobenius_remaining,captured_energy,rank90,rank95
1,315.8987179461164,42,0,0.07074524367189924,0.13041257186128918,1.0433005748903135,0.0,2,3
1,315.8987179461164,42,1,0.04483987964804362,0.0850653561369117,0.6805228490952936,0.5745323644865423,2,3
1,315.8987179461164,42,2,0.021821890018944034,0.03917013541913217,0.31336108335305735,0.909786563525421,2,3
1,315.8987179461164,42,3,0.00951138005047592,0.01921129546393816,0.15369036371150527,0.9782992680094763,2,3
1,315.8987179461164,42,4,0.0018211769134261861,0.003461407856668165,0.02769126285334532,0.9992955233047712,2,3
1,315.8987179461164,42,5,8.289676741511412e-15,1.385531149660006e-14,1.1084249197280048e-13,0.9999999999999998,2,3
1,315.8987179461164,42,6,4.723397397335056e-17,7.208560794167595e-17,5.766848635334076e-16,0.9999999999999998,2,3
1,315.8987179461164,42,7,4.7535945670610336e-17,7.212608161286387e-17,5.770086529029109e-16,0.9999999999999998,2,3
1,315.8987179461164,42,8,4.7535945670610336e-17,7.212608161286387e-17,5.770086529029109e-16,0.9999999999999998,2,3
2,676.2987505533335,77,0,0.04093049847556508,0.07004524747637601,0.5603619798110081,0.0,3,3
2,676.2987505533335,77,1,0.028204067396937565,0.046491778335059984,0.3719342266804799,0.5594502400563209,3,3
2,676.2987505533335,77,2,0.016314391944971657,0.031156634059843365,0.24925307247874692,0.8021465083876491,3,3
2,676.2987505533335,77,3,0.007049612501465611,0.013200640132839843,0.10560512106271874,0.9644832976650597,3,3
2,676.2987505533335,77,4,0.001016271053601629,0.001912535887070633,0.015300287096565064,0.9992544756409016,3,3
2,676.2987505533335,77,5,2.549541515174345e-15,3.6576155993932055e-15,2.9260924795145644e-14,0.9999999999999996,3,3
2,676.2987505533335,77,6,2.613399383678424e-17,4.4851236132540426e-17,3.588098890603234e-16,0.9999999999999996,3,3
2,676.2987505533335,77,7,2.6292668090016914e-17,4.4869201612827715e-17,3.589536129026217e-16,0.9999999999999996,3,3
2,676.2987505533335,77,8,2.6292668090016914e-17,4.4869201612827715e-17,3.589536129026217e-16,0.9999999999999996,3,3
3,1448.7235761179563,153,0,0.06863747283988367,0.09160686811011698,0.7328549448809358,0.0,4,4
3,1448.7235761179563,153,1,0.044484828065645805,0.06018856645929758,0.4815085316743806,0.5683100599396148,4,4
3,1448.7235761179563,153,2,0.03347141374859603,0.04242364089504461,0.3393891271603569,0.785533331909649,4,4
3,1448.7235761179563,153,3,0.019992530950289314,0.030071337072164885,0.24057069657731908,0.8922420287710324,4,4
3,1448.7235761179563,153,4,0.009888350534851218,0.012637871268730748,0.10110297014984598,0.9809676777091856,4,4
3,1448.7235761179563,153,5,0.0041552353202866845,0.005723457641470158,0.04578766113176126,0.9960964398582755,4,4
3,1448.7235761179563,153,6,0.00085339698358067,0.0014761728371600466,0.011809382697280373,0.9997403320506737,4,4
3,1448.7235761179563,153,7,4.976786127305899e-15,5.707836791974416e-15,4.566269433579533e-14,0.9999999999999999,4,4
3,1448.7235761179563,153,8,7.270253192873111e-17,1.0364860775715656e-16,8.291888620572525e-16,0.9999999999999999,4,4
4,3101.702758163651,296,0,0.0311142856919916,0.048806074025886236,0.3904485922070899,0.0,3,4
4,3101.702758163651,296,1,0.022593640580302974,0.03443240473854769,0.2754592379083815,0.5022778589321544,3,4
4,3101.702758163651,296,2,0.014527174679648838,0.02064741136360709,0.16517929090885672,0.8210286672148461,3,4
4,3101.702758163651,296,3,0.010220060425193783,0.014827091003794108,0.11861672803035286,0.9077079786939657,3,4
4,3101.702758163651,296,4,0.004027215679584033,0.0075677448178619565,0.06054195854289565,0.9759571907901761,3,4
4,3101.702758163651,296,5,0.001124869351303207,0.002046644427053425,0.0163731554164274,0.9982415215684357,3,4
4,3101.702758163651,296,6,2.110865191335049e-15,2.6833517718150327e-15,2.146681417452026e-14,1.0000000000000002,3,4
4,3101.702758163651,296,7,1.6401285881147692e-17,2.2187183676809277e-17,1.7749746941447422e-16,1.0000000000000002,3,4
4,3101.702758163651,296,8,1.6431818718445837e-17,2.2188525916987447e-17,1.7750820733589958e-16,1.0000000000000002,3,4
5,6639.437626787378,582,0,0.027105741822215108,0.039137075221006276,0.3130966017680502,0.0,3,4
5,6639.437626787378,582,1,0.015460309121499493,0.021335420586915677,0.1706833646953254,0.702815822568397,3,4
5,6639.437626787378,582,2,0.010258129396247272,0.014675684490199225,0.1174054759215938,0.8593887727476298,3,4
5,6639.437626787378,582,3,0.005950556388301276,0.010042636567440887,0.08034109253952709,0.9341556130236759,3,4
5,6639.437626787378,582,4,0.0031633024130573984,0.004780877732945135,0.03824702186356108,0.9850776047061618,3,4
5,6639.437626787378,582,5,0.0005369006431739069,0.0008619782673298837,0.00689582613863907,0.9995149171744522,3,4
5,6639.437626787378,582,6,1.171514971240751e-15,1.4169335010995188e-15,1.133546800879615e-14,1.0000000000000002,3,4
5,6639.437626787378,582,7,2.796684547772568e-17,3.884851853196787e-17,3.1078814825574295e-16,1.0000000000000002,3,4
5,6639.437626787378,582,8,2.797498124728366e-17,3.8848573429056085e-17,3.107885874324487e-16,1.0000000000000002,3,4
6,14212.079439687916,1145,0,0.024919297266446132,0.03872596913497601,0.30980775307980807,0.0,3,4
6,14212.079439687916,1145,1,0.016905292856415635,0.02436868782825516,0.19494950262604127,0.604032356432849,3,4
6,14212.079439687916,1145,2,0.012355949470535019,0.016259736839580523,0.1300778947166442,0.8237121282542481,3,4
6,14212.079439687916,1145,3,0.009593460009762187,0.01219416457742913,0.09755331661943303,0.9008484485039148,3,4
6,14212.079439687916,1145,4,0.005120540772941043,0.00718501957063595,0.0574801565650876,0.9655767936018725,3,4
6,14212.079439687916,1145,5,0.0029016561514580825,0.004277773030711131,0.03422218424568905,0.9877980037750849,3,4
6,14212.079439687916,1145,6,0.001452374052918043,0.002370982347611359,0.018967858780890873,0.9962515471605431,3,4
6,14212.079439687916,1145,7,7.177045687357247e-16,7.888868645937415e-16,6.311094916749932e-15,1.0,3,4
6,14212.079439687916,1145,8,2.927176459121411e-17,4.4656715253628717e-17,3.5725372202902973e-16,1.0,3,4
7,30421.289321789107,2284,0,0.020575539178160393,0.032650907282412475,0.2612072582592998,0.0,3,5
7,30421.289321789107,2284,1,0.01612734323467886,0.02161406841788605,0.1729125473430884,0.5617897453304244,3,5
7,30421.289321789107,2284,2,0.009519859370391282,0.01239503836248386,0.09916030689987088,0.855886308408015,3,5
7,30421.289321789107,2284,3,0.007236827915546389,0.009618541565017444,0.07694833252013955,0.913218341695235,3,5
7,30421.289321789107,2284,4,0.006086757215197736,0.007392055612736013,0.0591364449018881,0.9487445626302944,3,5
7,30421.289321789107,2284,5,0.0033467788233654933,0.004951836754065018,0.039614694032520145,0.9769992429543757,3,5
7,30421.289321789107,2284,6,2.584446312887623e-05,4.491829560634369e-05,0.0003593463648507495,0.9999981074122251,3,5
7,30421.289321789107,2284,7,2.410911995352283e-16,2.825731876586043e-16,2.2605855012688346e-15,0.9999999999999999,3,5
7,30421.289321789107,2284,8,1.7747140189990507e-17,2.3598949630014e-17,1.88791597040112e-16,0.9999999999999999,3,5
8,65117.752326074646,4559,0,0.01749929500165278,0.02298205388133891,0.18385643105071128,0.0,4,4
8,65117.752326074646,4559,1,0.010871220495309747,0.014113381718963229,0.11290705375170583,0.622875715923793,4,4
8,65117.752326074646,4559,2,0.008267892390068497,0.010169957300252525,0.0813596584020202,0.8041784057654141,4,4
8,65117.752326074646,4559,3,0.006132033315786683,0.0074255272467446025,0.05940421797395682,0.895605669128833,4,4
8,65117.752326074646,4559,4,0.00366417478219131,0.005089829317253598,0.040718634538028785,0.9509511577434,4,4
8,65117.752326074646,4559,5,0.0020923986906988736,0.003115742526762415,0.02492594021409932,0.9816200025409006,4,4
8,65117.752326074646,4559,6,0.0004950302440943404,0.0008593810468002597,0.006875048374402078,0.998601720902334,4,4
8,65117.752326074646,4559,7,2.11151761223341e-16,2.1958973521084653e-16,1.7567178816867722e-15,0.9999999999999999,4,4
8,65117.752326074646,4559,8,2.10165814872737e-17,2.7676755810421166e-17,2.2141404648336933e-16,0.9999999999999999,4,4
9,139385.88338852683,9112,0,0.011925597430933809,0.0152246624708819,0.1217972997670552,0.0,3,4
9,139385.88338852683,9112,1,0.008968874614237279,0.01075714366875867,0.08605714935006936,0.500772395260934,3,4
