residue_mod_6,count_integers,share_integers,count_primes_gt3,share_primes_gt3
0,166666,0.16666616666616665,0,0.0
1,166667,0.16666716666716666,39231,0.4997834284549531
2,166667,0.16666716666716666,0,0.0
3,166667,0.16666716666716666,0,0.0
4,166666,0.16666616666616665,0,0.0
5,166666,0.16666616666616665,39265,0.5002165715450468
